#ZVView-data-copy:  18-Feb-2020 06:27:38
#=======================================
#
#name:   30-ZN-64(N,2N)30-ZN-63,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  211
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          12.2          0.1         0.02            0  # 1960,D.R.Koehler+        ## 11807002             
        12.207       0.0525      0.00075    0.0001707  # 2007,W.Mannhart+         ## 22976029  #dY:22.8%  
         12.42         0.14      0.00321      0.00023  # 2013,C.Bhatia+           ## 14330002  #dY:7.2%   
        12.496       0.0525      0.00559   0.00022025  # 2007,W.Mannhart+         ## 22976029  #dY:3.9%   
          12.6        0.055       0.0108       0.0008  # 1965,A.Paulsen+          ## 20386004  #dY:7.4%   
         12.67         0.14      0.00918      0.00047  # 2013,C.Bhatia+           ## 14330002  #dY:5.1%   
         12.69        0.052      0.01301   0.00046186  # 2007,W.Mannhart+         ## 22976029  #dY:3.6%   
          12.7            0         0.03            0  # 1960,D.R.Koehler+        ## 11807002             
         12.76         0.07       0.0199       0.0014  # 1965,A.Paulsen+          ## 20386004  #dY:7.0%   
          12.9          0.1         0.05            0  # 1960,D.R.Koehler+        ## 11807002             
         12.92         0.14      0.02219      0.00088  # 2013,C.Bhatia+           ## 14330002  #dY:4.0%   
        12.967        0.052      0.02621   0.00093832  # 2007,W.Mannhart+         ## 22976029  #dY:3.6%   
         12.98        0.085       0.0338       0.0024  # 1965,A.Paulsen+          ## 20386004  #dY:7.1%   
            13         0.05        0.045        0.005  # 1961,F.Gabbard+          ## 11814002  #dY:11.1%  
         13.05         0.15         0.12        0.025  # 1956,A.V.Cohen+          ## 21115006  #dY:20.8%  
          13.1         0.09       0.0409       0.0029  # 1965,A.Paulsen+          ## 20386004  #dY:7.1%   
         13.15         0.15        0.135         0.02  # 1956,A.V.Cohen+          ## 21115006  #dY:14.8%  
         13.16         0.14       0.0346      0.00123  # 2013,C.Bhatia+           ## 14330002  #dY:3.6%   
        13.177        0.052      0.04109    0.0014957  # 2007,W.Mannhart+         ## 22976029  #dY:3.6%   
          13.2         0.15          0.2         0.02  # 1956,A.V.Cohen+          ## 21115006  #dY:10.0%  
          13.2         0.15        0.045        0.007  # 1963,M.Bormann+          ## 21343005  #dY:15.6%  
