#ZVView-data-copy:  23-Feb-2020 09:03:47
#=======================================
#
#name:   30-ZN-64(N,P)29-CU-64,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  320
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          0.99            0         4e-5       1.6e-6  # 1966,A.Paulsen+          ## 21741005  #dY:4.0%   
          1.05            0      0.00014       5.6e-6  # 1966,A.Paulsen+          ## 21741005  #dY:4.0%   
          1.11            0      0.00011       4.4e-6  # 1966,A.Paulsen+          ## 21741005  #dY:4.0%   
         1.159        0.051    0.0002265     1.768e-5  # 1975,D.L.Smith+          ## 10238043  #dY:7.8%   
          1.17            0       0.0002         8e-6  # 1966,A.Paulsen+          ## 21741005  #dY:4.0%   
          1.23            0      0.00028      1.12e-5  # 1966,A.Paulsen+          ## 21741005  #dY:4.0%   
          1.29            0      0.00033      1.32e-5  # 1966,A.Paulsen+          ## 21741005  #dY:4.0%   
          1.36            0      0.00049      1.96e-5  # 1966,A.Paulsen+          ## 21741005  #dY:4.0%   
         1.363        0.052    0.0004917     3.147e-5  # 1975,D.L.Smith+          ## 10238043  #dY:6.4%   
          1.43            0      0.00058      2.32e-5  # 1966,A.Paulsen+          ## 21741005  #dY:4.0%   
          1.49            0      0.00102      4.08e-5  # 1966,A.Paulsen+          ## 21741005  #dY:4.0%   
           1.5         0.04       0.0005            0  # 1972,D.C.Santry+         ## 10224002             
          1.56            0      0.00141      5.64e-5  # 1966,A.Paulsen+          ## 21741005  #dY:4.0%   
         1.571        0.051     0.001212         8e-5  # 1975,D.L.Smith+          ## 10238043  #dY:6.6%   
          1.63            0       0.0018       7.2e-5  # 1966,A.Paulsen+          ## 21741005  #dY:4.0%   
          1.69            0      0.00231      9.24e-5  # 1966,A.Paulsen+          ## 21741005  #dY:4.0%   
          1.76            0      0.00367    0.0001468  # 1966,A.Paulsen+          ## 21741005  #dY:4.0%   
         1.774        0.051     0.002417    0.0001378  # 1975,D.L.Smith+          ## 10238043  #dY:5.7%   
          1.82            0       0.0041     0.000164  # 1966,A.Paulsen+          ## 21741005  #dY:4.0%   
          1.84        0.025       0.0074        0.002  # 1962,K.Nakai+            ## 20291005  #dY:27.0%  
          1.88            0       0.0053     0.000212  # 1966,A.Paulsen+          ## 21741005  #dY:4.0%   
          1.94            0       0.0068     0.000272  # 1966,A.Paulsen+          ## 21741005  #dY:4.0%   
