#ZVView-data-copy:   6-Feb-2020 06:59:26
#=======================================
#
#name:   30-ZN-68(N,A)28-NI-65,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  56
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          6.24         0.21      0.00071         8e-5  # 1999,C.Nesaraja+         ## 22466005  #dY:11.3%  
          6.51         0.14       0.0004       0.0004  # 1972,D.C.Santry+         ## 10224006  #dY:100.0% 
          7.16         0.24      0.00181       0.0002  # 1999,C.Nesaraja+         ## 22466005  #dY:11.0%  
           7.5         0.12       0.0015       0.0004  # 1972,D.C.Santry+         ## 10224006  #dY:26.7%  
           7.8         0.12       0.0028       0.0006  # 1972,D.C.Santry+         ## 10224006  #dY:21.4%  
          8.01         0.11       0.0028       0.0005  # 1972,D.C.Santry+         ## 10224006  #dY:17.9%  
          8.16         0.28      0.00349      0.00038  # 1999,C.Nesaraja+         ## 22466005  #dY:10.9%  
          8.27         0.11       0.0026        0.001  # 1972,D.C.Santry+         ## 10224006  #dY:38.5%  
          9.02         0.11       0.0042       0.0008  # 1972,D.C.Santry+         ## 10224006  #dY:19.0%  
          9.28         0.16      0.00278      0.00031  # 1999,C.Nesaraja+         ## 22466005  #dY:11.2%  
          9.63         0.11       0.0038       0.0011  # 1972,D.C.Santry+         ## 10224006  #dY:28.9%  
         10.03         0.11       0.0055       0.0008  # 1972,D.C.Santry+         ## 10224006  #dY:14.5%  
         10.23         0.17      0.00336      0.00035  # 1999,C.Nesaraja+         ## 22466005  #dY:10.4%  
            11         0.11       0.0075       0.0023  # 1972,D.C.Santry+         ## 10224006  #dY:30.7%  
         11.15          0.2      0.00431      0.00048  # 1999,C.Nesaraja+         ## 22466005  #dY:11.1%  
         11.61         0.11       0.0077       0.0016  # 1972,D.C.Santry+         ## 10224006  #dY:20.8%  
         12.08        0.465       0.0048      0.00051  # 1999,C.Nesaraja+         ## 22466005  #dY:10.6%  
          12.1         0.11       0.0072       0.0011  # 1972,D.C.Santry+         ## 10224006  #dY:15.3%  
          12.6         0.12       0.0089       0.0018  # 1972,D.C.Santry+         ## 10224006  #dY:20.2%  
            13          0.2         0.01        0.002  # 1980,M.Herman+           ## 30552005  #dY:20.0%  
         13.08         0.12       0.0095       0.0021  # 1972,D.C.Santry+         ## 10224006  #dY:22.1%  
         13.33            0      0.00856       0.0006  # 1993,C.Konno+            ## 22637011  #dY:7.0%   
          13.4          0.1         0.01        0.001  # 1980,M.Herman+           ## 30552005  #dY:10.0%  
         13.57            0      0.00865      0.00059  # 1993,C.Konno+            ## 22637011  #dY:6.8%   
          13.6          0.1       0.0068       0.0006  # 1971,J.Sato+             ## 20322002  #dY:8.8%   
          13.9         0.15        0.007        0.001  # 1980,M.Herman+           ## 30552005  #dY:14.3%  
          13.9            0       0.0095        0.001  # 1994,N.I.Molla+          ## 31449012  #dY:10.5%  
         13.98            0      0.00909      0.00064  # 1993,C.Konno+            ## 22637011  #dY:7.0%   
            14            0       0.0076       0.0008  # 1955,H.G.Blosser+        ## 11803002  #dY:10.5%  
          14.1         0.25        0.008        0.001  # 1971,J.Sato+             ## 20322002  #dY:12.5%  
          14.2          0.1         0.01       0.0007  # 1995,S.K.Ghorai+         ## 13597007  #dY:7.0%   
         14.22            0      0.00904      0.00063  # 1993,C.Konno+            ## 22637011  #dY:7.0%   
          14.4         0.15        0.009        0.001  # 1968,N.Ranakumar+        ## 11515011  #dY:11.1%  
          14.4          0.3       0.0103       0.0018  # 1982,J.L.Barreira Filh   ## 21902002  #dY:17.5%  
          14.5         0.15       0.0105       0.0016  # 1972,D.C.Santry+         ## 10224006  #dY:15.2%  
          14.5         0.15        0.008        0.001  # 1980,M.Herman+           ## 30552005  #dY:12.5%  
         14.51            0         0.01       0.0011  # 1994,N.I.Molla+          ## 31449012  #dY:11.0%  
          14.6          0.1        0.011       0.0007  # 1991,A.Ercan+            ## 22338022  #dY:6.4%   
          14.6            0         0.01        0.001  # 1980,U.Garuska+          ## 30553005  #dY:10.0%  
         14.67            0      0.00956      0.00065  # 1993,C.Konno+            ## 22637011  #dY:6.8%   
          14.7          0.1        0.018        0.005  # 1963,E.T.Bramlitt+       ## 11590025  #dY:27.8%  
          14.7          0.3        0.015       0.0025  # 1971,S.M.Qaim+           ## 20554007  #dY:16.7%  
          14.7          0.3        0.011        0.002  # 1976,M.Valkonen+         ## 20673014  #dY:18.2%  
         14.71            0       0.0119       0.0012  # 1994,N.I.Molla+          ## 31449012  #dY:10.1%  
          14.8         0.45        0.051         0.01  # 1960,I.L.Preiss+         ## 11740021  #dY:19.6%  
          14.8          0.1        0.008       0.0005  # 1971,J.Sato+             ## 20322002  #dY:6.2%   
          14.8            0         0.01        0.001  # 1967,G.P.Vinitskaya+     ## 40009006  #dY:10.0%  
         14.93            0      0.00945      0.00065  # 1993,C.Konno+            ## 22637011  #dY:6.9%   
            15         0.15        0.008        0.001  # 1980,M.Herman+           ## 30552005  #dY:12.5%  
          15.2          0.1        0.009       0.0007  # 1995,S.K.Ghorai+         ## 13597007  #dY:7.8%   
          15.4          0.1        0.008        0.001  # 1980,M.Herman+           ## 30552005  #dY:12.5%  
          15.9         0.25        0.008        0.002  # 1980,M.Herman+           ## 30552005  #dY:25.0%  
          16.2          0.1        0.007        0.001  # 1995,S.K.Ghorai+         ## 13597007  #dY:14.3%  
          16.6         0.05        0.006        0.001  # 1980,M.Herman+           ## 30552005  #dY:16.7%  
          17.4          0.2        0.006        0.002  # 1980,M.Herman+           ## 30552005  #dY:33.3%  
          17.9         0.05        0.005        0.001  # 1980,M.Herman+           ## 30552005  #dY:20.0%  
//
#-------------------------------------------------------------------------------
