#ZVView-data-copy:   6-Feb-2020 03:07:34
#=======================================
#
#name:   30-ZN-0(N,X)28-NI-65,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  30
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
           9.5            0    0.0005352     0.000301  # 1994,Y.Uwamino+          ## 22700016  #dY:56.2%  
          10.5            0    0.0008406     0.000705  # 1994,Y.Uwamino+          ## 22700016  #dY:83.9%  
          11.5            0     0.001065     0.000717  # 1994,Y.Uwamino+          ## 22700016  #dY:67.3%  
          12.5            0     0.001452      0.00103  # 1994,Y.Uwamino+          ## 22700016  #dY:70.9%  
          13.5            0     0.001337      0.00137  # 1994,Y.Uwamino+          ## 22700016  #dY:102.5% 
          14.5            0     0.001625     0.000934  # 1994,Y.Uwamino+          ## 22700016  #dY:57.5%  
          15.5            0     0.002224      0.00127  # 1994,Y.Uwamino+          ## 22700016  #dY:57.1%  
          16.5            0     0.001764      0.00104  # 1994,Y.Uwamino+          ## 22700016  #dY:59.0%  
          17.5            0     0.001576     0.000669  # 1994,Y.Uwamino+          ## 22700016  #dY:42.4%  
          18.5            0     0.001667     0.000829  # 1994,Y.Uwamino+          ## 22700016  #dY:49.7%  
          19.5            0     0.001333     0.000519  # 1994,Y.Uwamino+          ## 22700016  #dY:38.9%  
          20.5            0    0.0006583     0.000345  # 1994,Y.Uwamino+          ## 22700016  #dY:52.4%  
          21.5            0    0.0004279     0.000231  # 1994,Y.Uwamino+          ## 22700016  #dY:54.0%  
          22.5            0    0.0003537     0.000192  # 1994,Y.Uwamino+          ## 22700016  #dY:54.3%  
          23.5            0    0.0002551     0.000141  # 1994,Y.Uwamino+          ## 22700016  #dY:55.3%  
          24.5            0    0.0002198     0.000121  # 1994,Y.Uwamino+          ## 22700016  #dY:55.1%  
          25.5            0    0.0002978     0.000161  # 1994,Y.Uwamino+          ## 22700016  #dY:54.1%  
          26.5            0    0.0003294     0.000178  # 1994,Y.Uwamino+          ## 22700016  #dY:54.0%  
          27.5            0    0.0003925     0.000209  # 1994,Y.Uwamino+          ## 22700016  #dY:53.2%  
          28.5            0    0.0002938     0.000159  # 1994,Y.Uwamino+          ## 22700016  #dY:54.1%  
          29.5            0    0.0003108     0.000167  # 1994,Y.Uwamino+          ## 22700016  #dY:53.7%  
          30.5            0    0.0003055     0.000167  # 1994,Y.Uwamino+          ## 22700016  #dY:54.7%  
          31.5            0    0.0002713      0.00015  # 1994,Y.Uwamino+          ## 22700016  #dY:55.3%  
          32.5            0    0.0002851     0.000158  # 1994,Y.Uwamino+          ## 22700016  #dY:55.4%  
          33.5            0    0.0002829     0.000156  # 1994,Y.Uwamino+          ## 22700016  #dY:55.1%  
          34.5            0    0.0002776     0.000152  # 1994,Y.Uwamino+          ## 22700016  #dY:54.8%  
          35.5            0    0.0002793     0.000153  # 1994,Y.Uwamino+          ## 22700016  #dY:54.8%  
          36.5            0     0.000281     0.000155  # 1994,Y.Uwamino+          ## 22700016  #dY:55.2%  
          37.5            0    0.0002772     0.000152  # 1994,Y.Uwamino+          ## 22700016  #dY:54.8%  
          38.5            0    0.0002855     0.000158  # 1994,Y.Uwamino+          ## 22700016  #dY:55.3%  
//
#-------------------------------------------------------------------------------
