E	I	sigma_I
0 0 0
Cs137 0 0
31	0.0563	0.00111803398874989
36	0.01233	0.00021
661	0.851	0.002


Ba133 0 0
53	0.0214	0.0003
80	0.3555	0.00304138126514911
160	0.00638	0.00005
223	0.00453	0.00003
276	0.0716	0.0005
303	0.1834	0.0013
356	0.6205	0.0019
383	0.0894	0.0006

Eu152 0 0
121	0.2853	0.0016
244	0.0755	0.0004
296	0.0044	0.00004
344	0.265998	0.00200000624999023
367	0.00859	0.00006
411	0.02237	0.00013
444	0.03125	0.000178044938147649
503	0.001524	0.00002
586	0.00455	0.00004
678	0.00473	0.00004
688	0.00856	0.00006
719	0.00345	0.0000854400374531753
778	0.1293	0.0008
810	0.00317	0.00003
867	0.0423	0.0003
963	0.1465	0.000702566722810012
1111	0.1367	0.0008
1212	0.01415	0.00008
1298	0.01633	0.00011
1407	0.2087	0.0009
