Be,
3.5138,5390000000
4.4322,5390000000
5.4325,6160000000
6.4376,7870000000
7.5197,10200000000
8.3702,12500000000
9.4444,13400000000
10.4426,14500000000
11.5163,15300000000
12.4374,16400000000
13.4342,17100000000
14.4287,16900000000
15.347,17000000000
16.4148,15500000000
17.4858,15400000000
18.5516,13500000000
19.543,12300000000
20.4531,10100000000
21.4425,8840000000
22.5074,7570000000
23.4978,6780000000
24.4835,5440000000
25.6287,5090000000
26.3056,3820000000
27.4508,3570000000
28.4405,3160000000
29.4264,2540000000
30.4167,2270000000
31.4849,2100000000
32.384,1320000000
33.6085,1320000000
,
C,
3.3368,3030000000
4.3304,2930000000
5.4806,3100000000
6.4156,4620000000
7.4224,6170000000
8.4238,7210000000
9.4219,7790000000
10.42,8420000000
11.4924,8610000000
12.4901,9210000000
13.3328,9420000000
14.4025,9010000000
15.5463,8160000000
16.4615,7560000000
17.4522,6840000000
18.5168,5800000000
19.503,4700000000
20.4144,3980000000
21.4038,3490000000
22.3891,2760000000
23.4555,2450000000
24.366,2030000000
25.5099,1840000000
26.4975,1540000000
27.4099,1330000000
28.3993,1170000000
29.3776,784000000
30.5255,784000000
31.3583,628000000
32.3288,349000000
33.7829,350000000
,
Ta,
3.3258,609000000
4.3272,697000000
5.2709,1060000000
6.4407,1540000000
7.4442,1820000000
8.4456,2080000000
9.5158,2130000000
10.4258,1950000000
11.4122,1780000000
12.4689,1480000000
13.4516,1280000000
14.4267,989000000
15.482,807000000
16.38,615000000
17.2796,480000000
18.3303,366000000
19.2943,238000000
20.2784,211000000
21.3344,174000000
22.2407,150000000
23.2196,123000000
24.2823,112000000
25.2709,106000000
26.3359,100000000
27.2504,97800000
28.3169,94500000
29.3848,93500000
30.2245,93500000
31.2116,86400000
32.4323,85400000
,
Au,
4.4275,537000000
5.4962,963000000
6.4122,1460000000
7.4809,1770000000
8.3969,2050000000
9.542,2070000000
10.3817,1930000000
11.4504,1690000000
12.4426,1530000000
13.4351,1280000000
14.5038,996000000
15.3435,805000000
16.4122,643000000
17.3282,480000000
18.4733,379000000
19.4656,277000000
20.3053,216000000
21.2977,191000000
22.2901,161000000
23.3588,151000000
24.3511,138000000
25.3435,126000000
26.4122,116000000
27.3282,105000000
28.2443,101000000
29.4656,94000000
30.458,84000000
31.5267,84000000
32.5191,79400000
