
                       be used for evaluation purposes
                                                            14-Mar-2019 10:42
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AN083118_10cm_Al01.Chn           
 Sample Title : Cs137                                            

 Spectrum saved on 25-Oct-2018 at 16:22    Collected on 27-Aug-2018 at 11:20
 Sample  Taken  on 27-Aug-2018 at 11:20    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 13-Mar-2019 at 17:27
            Peak Shape Calibration Performed on 13-Mar-2019 at 17:31

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   46.3   247.9   0.84    15.4    0.74      2412    8.0   6.9323e-03    8.0     2466
   53.2   284.6   0.92     8.9    0.84      1473   13.4   4.2325e-03   13.4     3008
   59.2   316.5   0.93     3.4    1.09       549   38.4   1.5782e-03   38.4     3277
   63.1   337.6   0.87    28.4    0.61      7958    3.3   2.2873e-02    3.3     3488
   72.7   388.5   0.94    19.8    0.79      5037    4.7   1.4477e-02    4.7     3421
   74.8   400.0   0.95    30.7    0.79      9514    2.7   2.7346e-02    2.7     3801
   76.8   410.8   0.95     5.3    0.79       735   27.3   2.1140e-03   27.3     3801
   84.5   451.7   1.10!   11.3    2.82      5197    7.4   1.4936e-02    7.4     2847
   87.2   466.0   1.11!    8.4    2.82      1620   17.7   4.6576e-03   17.7     2847
   89.8   479.9   1.11!    6.8    2.82       863   32.8   2.4815e-03   32.8     2847
   92.5   494.4   1.11!   26.5    2.82     11875    2.9   3.4132e-02    2.9     2847
   98.3   525.5   0.97     4.6    1.17       434   38.1   1.2474e-03   38.1     2252
  105.4   563.3   0.98     3.4    1.04       233   55.3   6.7004e-04   55.3     2497
  109.2   583.4   0.99     3.5    1.04       405   31.5   1.1648e-03   31.5     2497
  112.7   602.2   0.99     3.8    1.04       464   28.6   1.3335e-03   28.6     2497
  139.8   746.7   1.00     6.5    0.83       742   18.6   2.1322e-03   18.6     2251
  143.7   767.7   1.01    11.2    0.83      1848    8.0   5.3114e-03    8.0     2251
  163.3   872.0   1.05     6.2    0.95       826   18.5   2.3741e-03   18.5     2155
  185.7   991.7   1.08    30.5    0.82      8885    2.7   2.5538e-02    2.7     2275
  198.3  1059.2   1.09     5.9    1.15       796   17.1   2.2873e-03   17.1     2136
  202.0  1078.9   1.09     3.6    1.15       221   55.0   6.3610e-04   55.0     2136
  205.3  1096.6   1.10     4.0    1.15       796   17.6   2.2867e-03   17.6     2136
  238.6  1274.2   0.96!   10.5    1.20      1197   11.3   3.4393e-03   11.3     1787
  295.1  1575.5   1.20     4.3    1.07       422   30.8   1.2117e-03   30.8     1554
  338.2  1805.7   1.24     3.5    1.02       308   41.4   8.8608e-04   41.4     1542
  351.8  1878.3   1.26     5.4    1.14       797   16.1   2.2918e-03   16.1     1407
  510.9  2727.2   2.66    11.0    1.21      7301    3.5   2.0985e-02    3.5     2151
  569.5  3040.1   1.51     4.0    1.24       296   38.1   8.5205e-04   38.1     1029
  583.0  3112.4   1.52     5.5    0.82       423   25.9   1.2163e-03   25.9     1058
  595.9  3181.0   1.53     4.8    1.19       251   45.7   7.2051e-04   45.7     1062
  609.2  3252.0   1.55     7.1    0.84       623   19.6   1.7900e-03   19.6     1276
  766.0  4089.0   1.73     3.6    0.47       174   56.0   5.0079e-04   56.0      821
  802.9  4285.7   1.77     3.6    0.99       283   36.3   8.1275e-04   36.3      843
  910.9  4862.0   1.89     5.7    1.00       425   23.3   1.2222e-03   23.3      671
 1000.5  5340.8   1.99     4.9    1.06       332   30.1   9.5413e-04   30.1      677
 1460.4  7794.9   2.36    10.1    1.27       877   11.5   2.5194e-03   11.5      404
 1763.7  9414.0   2.85     4.1    1.17       224   31.4   6.4402e-04   31.4      238
 2102.2 11220.6   3.23     3.6    0.98        93   59.7   2.6712e-04   59.7      178
 2222.2 11861.0   3.37     3.4    1.18       103   54.9   2.9619e-04   54.9      179
 2613.5 13949.5   3.81     7.8    0.87       527   12.5   1.5143e-03   12.5      127

 ! indicates the Iterative Peak Width fitting reached a limiting value.
