
                       be used for evaluation purposes
                                                            14-Mar-2019 13:25
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: Sum_Spec.dat                     
 Sample Title : Cs137                                            

 Spectrum saved on 25-Oct-2018 at 16:23    Collected on  5-Oct-2018 at 15:22
 Sample  Taken  on  5-Oct-2018 at 15:22    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 13-Mar-2019 at 17:27
            Peak Shape Calibration Performed on 13-Mar-2019 at 17:31

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   46.4   248.2   0.92     7.7    1.25       721   16.7   7.1538e-03   16.7      983
   53.3   285.0   0.92     5.3    0.75       403   29.2   3.9942e-03   29.2     1228
   63.2   337.7   0.84    16.5    1.41      2181    7.2   2.1637e-02    7.2     1358
   67.6   361.6   0.84    12.4    1.41      1383   11.3   1.3721e-02   11.3     1358
   72.7   388.6   0.91    11.3    0.81      1653    7.5   1.6399e-02    7.5     1122
   74.8   400.0   0.92    17.5    0.81      2936    4.7   2.9130e-02    4.7     1247
   77.0   411.5   0.92     3.6    0.81       273   38.5   2.7108e-03   38.5     1122
   84.5   451.9   0.96     7.3    2.83      1649    9.6   1.6355e-02    9.6     1118
   87.2   466.1   0.96     4.5    2.83       298   39.6   2.9567e-03   39.6     1118
   92.6   494.6   1.09    14.0    1.28      3292    4.7   3.2659e-02    4.7     1175
  100.1   534.7   0.98     5.7    1.57       589   17.6   5.8426e-03   17.6      885
  139.9   747.1   1.02     3.4    0.66       247   34.4   2.4532e-03   34.4      794
  143.7   767.7   1.03     5.0    0.66       520   16.6   5.1604e-03   16.6      794
  152.4   813.8   1.04     4.3    0.94       304   30.9   3.0153e-03   30.9      741
  163.4   872.7   1.05     3.3    1.24       247   38.4   2.4472e-03   38.4      850
  179.8   960.2   1.07     3.6    0.67       147   57.5   1.4624e-03   57.5      792
  185.8   992.0   1.12    15.0    0.94      2622    5.3   2.6011e-02    5.3      862
  198.3  1059.2   1.09     3.7    0.84       214   43.0   2.1258e-03   43.0      833
  205.3  1096.6   1.10     3.4    1.15       234   37.2   2.3191e-03   37.2      800
  222.0  1185.7   1.11     3.4    1.07       200   43.5   1.9870e-03   43.5      767
  238.7  1274.4   1.13     4.9    1.17       372   25.1   3.6874e-03   25.1      750
  295.1  1575.9   1.20     3.4    1.04       134   59.1   1.3256e-03   59.1      662
  351.8  1878.4   1.26     3.5    0.78       199   38.1   1.9739e-03   38.1      601
  511.0  2728.0   2.88     5.1    1.29      2403    6.8   2.3838e-02    6.8      959
  583.1  3112.9   1.52     3.8    0.78       170   42.6   1.6904e-03   42.6      449
  609.4  3252.9   1.55     4.7    1.26       253   34.4   2.5085e-03   34.4      511
  813.9  4344.7   1.78     3.6    0.64       149   42.3   1.4758e-03   42.3      316
  898.0  4793.5   1.89    35.8    1.42     10924    1.9   1.0837e-01    1.9      308
  911.3  4864.4   1.89     3.4    1.07       124   48.0   1.2281e-03   48.0      253
 1001.3  5344.8   1.99     3.5    1.24       124   49.7   1.2275e-03   49.7      254
 1121.0  5983.8   2.13     4.0    0.95       326   19.8   3.2350e-03   19.8      242
 1188.8  6345.4   2.20     3.8    0.99       123   46.3   1.2159e-03   46.3      218
 1221.3  6519.1   2.24     4.2    1.06       234   26.2   2.3219e-03   26.2      224
 1324.7  7071.0   2.36     3.7    1.29       188   33.8   1.8620e-03   33.8      217
 1460.8  7797.0   2.51     5.1    0.73       310   21.4   3.0742e-03   21.4      244
 1835.8  9798.7   2.96    26.9    1.30      6576    2.5   6.5240e-02    2.5       64
 2614.1 13952.6   3.81     4.2    0.63       159   21.9   1.5794e-03   21.9       34
 2732.9 14586.7   3.94     3.4    0.66        66   42.5   6.4996e-04   42.5       23
