
                       be used for evaluation purposes
                                                            14-Mar-2019 13:43
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: Sum_Spec.dat                     
 Sample Title : Cs137                                            

 Spectrum saved on 25-Oct-2018 at 16:26    Collected on 10-Oct-2018 at  7:23
 Sample  Taken  on 10-Oct-2018 at  7:23    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 13-Mar-2019 at 17:27
            Peak Shape Calibration Performed on 13-Mar-2019 at 17:31

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   46.5   248.6   0.78!   10.2    1.65      1031   13.3   7.1621e-03   13.3     1225
   53.3   284.9   0.92     5.3    0.71       569   25.1   3.9513e-03   25.1     1757
   59.3   317.0   0.93     6.0    2.33       717   25.7   4.9823e-03   25.7     1962
   63.2   337.9   0.88    19.5    1.70      3342    5.0   2.3209e-02    5.0     1852
   67.6   361.4   0.89    10.9    1.70      1818    8.8   1.2627e-02    8.8     1852
   72.7   388.5   0.94    12.1    0.96      2360    7.1   1.6391e-02    7.1     1673
   74.9   400.2   0.95    19.8    0.96      4261    4.0   2.9587e-02    4.0     1859
   77.0   411.4   0.95     3.7    0.96       329   40.2   2.2827e-03   40.2     1673
   84.5   451.9   1.10!   10.4    1.63      2470    6.1   1.7152e-02    6.1     1608
   87.3   466.5   1.11!    5.2    1.63       591   22.0   4.1032e-03   22.0     1608
   89.8   480.1   1.11!    4.4    1.63       279   48.0   1.9403e-03   48.0     1608
   92.5   494.5   1.11!   17.7    1.63      4827    4.1   3.3519e-02    4.1     1608
  100.0   534.3   0.98     6.4    0.85       756   16.2   5.2474e-03   16.2     1321
  112.9   603.2   0.99     3.8    0.98       278   42.2   1.9305e-03   42.2     1248
  140.0   747.8   1.02     3.9    1.26       298   34.1   2.0671e-03   34.1     1146
  143.8   768.0   1.03     6.1    1.26       736   14.8   5.1126e-03   14.8     1146
  152.3   813.6   1.04     3.8    1.01       386   25.5   2.6833e-03   25.5     1227
  156.3   834.9   1.04     3.6    1.01       195   49.9   1.3572e-03   49.9     1115
  163.4   872.6   1.05     5.0    0.94       416   27.1   2.8883e-03   27.1     1179
  179.3   957.7   1.07     3.6    0.99       219   49.6   1.5208e-03   49.6     1170
  185.7   992.0   1.01    20.5    1.18      3561    4.6   2.4726e-02    4.6     1081
  198.4  1059.6   1.09     5.7    1.43       402   28.9   2.7925e-03   28.9     1163
  205.1  1095.3   1.09     3.4    0.70       238   41.8   1.6524e-03   41.8     1147
  222.3  1186.9   1.11     4.7    0.85       288   34.8   2.0007e-03   34.8     1100
  238.7  1274.6   1.13     5.2    0.81       549   19.1   3.8095e-03   19.1     1040
  264.4  1411.6   1.16     3.3    0.98       175   56.3   1.2138e-03   56.3      935
  352.1  1879.7   1.26     3.9    0.86       227   41.1   1.5776e-03   41.1      870
  511.0  2728.1   2.88     6.5    1.28      3647    5.3   2.5324e-02    5.3     1233
  583.2  3113.4   1.52     3.3    1.11       154   59.3   1.0701e-03   59.3      691
  609.6  3254.2   1.55     3.9    0.69       304   31.2   2.1122e-03   31.2      759
  803.4  4288.3   1.77     3.5    0.84       131   54.7   9.1081e-04   54.7      435
  898.0  4793.6   1.93    40.5    1.37     15319    1.7   1.0638e-01    1.7      424
  911.0  4862.8   1.89     3.6    0.84       131   54.3   9.0734e-04   54.3      398
 1001.2  5344.3   1.99     3.4    1.13       121   58.2   8.4034e-04   58.2      367
 1121.1  5984.2   2.13     5.6    0.75       439   17.6   3.0511e-03   17.6      352
 1189.0  6346.8   2.20     3.9    1.09       185   36.3   1.2862e-03   36.3      308
 1221.5  6520.2   2.24     3.6    1.02       289   21.5   2.0049e-03   21.5      316
 1230.8  6569.9   2.25     4.2    1.02       144   42.2   1.0006e-03   42.2      331
 1324.8  7071.3   2.36     3.6    1.16       247   30.2   1.7131e-03   30.2      323
 1460.6  7796.3   2.51     5.2    0.71       417   17.9   2.8952e-03   17.9      312
 1764.4  9417.4   2.85     4.4    1.00        84   59.5   5.8109e-04   59.5      128
 1835.9  9799.3   2.90    33.0    1.19      8918    2.1   6.1931e-02    2.1      104
 2614.3 13953.5   3.81     5.3    0.90       251   16.8   1.7415e-03   16.8       48
 2733.4 14589.4   3.94     3.8    0.89       111   32.3   7.7089e-04   32.3       49

 ! indicates the Iterative Peak Width fitting reached a limiting value.
