
                       be used for evaluation purposes
                                                            14-Mar-2019 16:06
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: Sum_Spec.dat                     
 Sample Title : Cs137                                            

 Spectrum saved on 25-Oct-2018 at 16:21    Collected on 14-Aug-2018 at 21:38
 Sample  Taken  on 14-Aug-2018 at 21:38    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 13-Mar-2019 at 17:27
            Peak Shape Calibration Performed on 13-Mar-2019 at 17:31

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.6   388.1   0.98    55.5    1.75     39309    3.5   9.3593e+00    3.5    30037
   74.8   399.6   0.98    77.1    1.75     71657    2.0   1.7061e+01    2.0    30037
   84.6   452.2   1.10!   33.5    2.48     31558    3.8   7.5138e+00    3.8    25378
   87.2   466.0   1.11!   17.0    2.48      8970   12.0   2.1358e+00   12.0    25378
  138.2   738.1   1.08    79.3    1.42     72128    1.1   1.7173e+01    1.1    22210
  156.4   835.6   1.10    11.9    1.24      5256   10.1   1.2514e+00   10.1    25092
  171.2   914.2   1.06     3.6    1.32      1449   36.0   3.4503e-01   36.0    22807
  190.1  1015.4   1.08     6.6    1.29      1993   25.1   4.7444e-01   25.1    23476
  245.1  1308.8   1.14     3.9    0.95      1939   23.6   4.6171e-01   23.6    24214
  263.0  1404.1   1.16     6.1    0.69      1730   23.9   4.1185e-01   23.9    20394
  271.7  1450.7   1.17     3.9    1.00       892   46.5   2.1232e-01   46.5    18925
  278.6  1487.3   1.18     5.0    0.93      1735   22.6   4.1320e-01   22.6    18052
  303.7  1621.5   1.21     4.1    0.77      1479   24.9   3.5225e-01   24.9    15219
  336.2  1794.9   1.33   151.6    5.91    221480    0.7   5.2733e+01    0.7    14881
  355.4  1897.4   1.34    18.8    0.74      8021    4.6   1.9097e+00    4.6    12002
  391.6  2090.7   1.38    63.8    1.44     44190    1.3   1.0521e+01    1.3    10238
  416.8  2225.2   1.42   164.7    6.26    265166    0.6   6.3135e+01    0.6    10889
  463.1  2472.4   1.49    17.1    1.01      6537    5.3   1.5565e+00    5.3     9031
  510.9  2727.2   2.77    29.4    1.89     83530    1.0   1.9888e+01    1.0    15211
  606.6  3238.3   1.55     3.4    0.84       519   54.6   1.2357e-01   54.6     7703
  617.4  3295.7   1.70    12.6    1.00      3879    8.4   9.2360e-01    8.4     8491
  655.2  3497.4   1.60     5.2    0.98       674   41.1   1.6053e-01   41.1     6744
  688.6  3676.1   1.64     4.9    1.15      1045   27.3   2.4874e-01   27.3     6936
  705.8  3767.5   1.66     4.8    0.78       986   28.3   2.3480e-01   28.3     6852
  779.8  4162.8   1.74     5.9    1.19      1309   24.5   3.1160e-01   24.5     8281
  818.5  4369.0   1.87    82.5    1.77     68996    0.9   1.6428e+01    0.9     9292
  972.3  5189.7   1.96     9.1    1.05      2529   12.7   6.0204e-01   12.7     8007
 1089.7  5816.4   2.16     4.5    4.73      1468   26.5   3.4960e-01   26.5     7241
 1097.0  5855.5   2.17   168.2    4.73    264004    0.6   6.2858e+01    0.6     7241
 1293.2  6902.8   2.38   192.5    8.61    334901    0.5   7.9738e+01    0.5     1756
 1368.2  7302.7   2.40     4.3    0.66       299   40.9   7.1110e-02   40.9     1148
 1460.5  7795.6   2.51     5.2    0.85       494   24.5   1.1754e-01   24.5      913
 1507.2  8044.8   2.59    59.4    1.60     35020    1.1   8.3382e+00    1.1      922
 1600.5  8542.6   2.67     8.8    2.24      2101    8.0   5.0018e-01    8.0     1009
 1752.0  9351.1   2.91    26.0    1.03      7382    2.9   1.7576e+00    2.9     1086
 2111.6 11270.8   3.23    68.7    2.30     40869    1.1   9.7308e+00    1.1      112
 2225.0 11876.1   3.37     4.5    1.05       123   30.6   2.9268e-02   30.6       59
 2390.0 12756.6   3.56     4.5    0.91       198   19.0   4.7086e-02   19.0       36
 2528.0 13493.2   3.71     4.3    0.94        70   39.7   1.6773e-02   39.7       24
 2614.1 13952.4   3.81     3.3    0.65        81   34.7   1.9345e-02   34.7       23
 2753.3 14695.5   3.97     3.8    0.78        84   34.6   1.9882e-02   34.6       14

 ! indicates the Iterative Peak Width fitting reached a limiting value.
