
                       be used for evaluation purposes
                                                            14-Mar-2019 15:33
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: Sum_Spec.dat                     
 Sample Title : Cs137                                            

 Spectrum saved on 25-Oct-2018 at 16:19    Collected on 14-Aug-2018 at 21:10
 Sample  Taken  on 14-Aug-2018 at 21:10    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 13-Mar-2019 at 17:27
            Peak Shape Calibration Performed on 13-Mar-2019 at 17:31

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.6   388.1   0.99    29.4    1.69     11437    6.0   9.5307e+00    6.0     8214
   74.8   399.6   0.99    42.0    1.69     20693    3.5   1.7244e+01    3.5     8214
   84.6   452.3   1.10!   18.1    1.69      9489    3.7   7.9076e+00    3.7     6895
   87.2   465.9   1.11!    8.5    1.69      2687   10.9   2.2394e+00   10.9     6895
  138.2   738.1   1.09    41.9    0.89     20722    1.9   1.7268e+01    1.9     6345
  156.4   835.6   1.04     6.1    1.20      1269   21.5   1.0571e+00   21.5     7204
  190.2  1015.9   1.08     3.4    0.85       492   50.0   4.1033e-01   50.0     6657
  245.1  1309.0   1.14     3.7    1.09       646   37.9   5.3824e-01   37.9     6872
  263.0  1404.6   1.16     3.9    0.85       495   44.7   4.1240e-01   44.7     5308
  303.7  1621.5   1.21     3.5    0.99       458   43.4   3.8147e-01   43.4     3949
  336.2  1794.9   1.33    81.6    2.45     63736    0.9   5.3114e+01    0.9     4129
  355.4  1897.3   1.39    10.1    1.10      2353    9.0   1.9606e+00    9.0     3428
  391.6  2090.7   1.39    34.5    1.08     12954    2.2   1.0795e+01    2.2     2848
  416.8  2225.2   1.42    88.9    2.98     76308    0.8   6.3590e+01    0.8     3059
  463.1  2472.4   1.39     9.0    0.71      1765    9.5   1.4711e+00    9.5     2268
  510.9  2727.2   2.73    15.1    1.01     21620    1.8   1.8017e+01    1.8     4364
  617.3  3295.4   1.56     5.0    1.18       981   16.6   8.1774e-01   16.6     2104
  688.6  3675.8   1.64     3.5    1.03       307   48.3   2.5551e-01   48.3     1939
  779.9  4163.2   1.74     4.4    1.10       384   43.8   3.2035e-01   43.8     2387
  818.5  4369.1   1.84    45.6    0.88     19902    1.6   1.6585e+01    1.6     2649
  972.3  5190.1   1.96     4.4    1.23       727   24.5   6.0551e-01   24.5     2191
 1097.0  5855.4   2.16    91.6    3.02     76084    0.9   6.3403e+01    0.9     1970
 1293.2  6902.8   2.38   102.6    3.34     95974    0.8   7.9979e+01    0.8      536
 1460.6  7796.0   2.51     4.0    1.03       214   30.3   1.7793e-01   30.3      235
 1507.2  8045.0   2.55    33.4    1.38      9996    2.0   8.3298e+00    2.0      245
 1600.5  8542.7   2.67     4.9    1.31       636   12.9   5.3028e-01   12.9      269
 1752.0  9351.2   2.90    14.9    0.92      2081    5.4   1.7343e+00    5.4      292
 2111.6 11270.8   3.23    35.9    1.37     11704    1.8   9.7531e+00    1.8       29
 2389.7 12755.1   3.55     3.6    0.66        50   49.6   4.1496e-02   49.6       15

 ! indicates the Iterative Peak Width fitting reached a limiting value.
