
                       be used for evaluation purposes
                                                            18-Mar-2019 10:49
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: Sum_Spec.dat                     
 Sample Title : Cs137                                            

 Spectrum saved on 25-Oct-2018 at 16:30    Collected on 15-Aug-2018 at  5:00
 Sample  Taken  on 15-Aug-2018 at  5:00    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 13-Mar-2019 at 17:27
            Peak Shape Calibration Performed on 13-Mar-2019 at 17:31

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   40.7   217.7   0.81    11.2    0.75      1873   12.1   3.9020e-01   12.1     4158
   72.7   388.4   0.96    16.6    1.36      4525    6.5   9.4263e-01    6.5     5583
   74.8   399.9   0.97    24.0    1.36      7585    4.3   1.5802e+00    4.3     6204
   84.6   452.4   0.97    11.7    1.09      3225    7.0   6.7194e-01    7.0     4818
   87.3   466.4   0.97     3.6    1.09       893   23.4   1.8610e-01   23.4     5354
   91.1   487.1   0.97    17.1    1.09      4428    5.2   9.2258e-01    5.2     5354
   93.2   498.0   0.97    30.4    1.09     10411    2.7   2.1690e+00    2.7     5354
  184.5   985.4   1.08    48.8    0.81     25128    1.7   5.2350e+00    1.7     8252
  243.3  1299.4   1.14     3.3    0.77       442   50.0   9.2048e-02   50.0     6393
  246.8  1317.9   1.14     3.6    0.77       398   55.4   8.3003e-02   55.4     6974
  366.3  1955.8   1.28     4.0    0.82       614   30.3   1.2788e-01   30.3     3647
  393.8  2102.4   1.31     3.7    1.11       253   57.1   5.2654e-02   57.1     2177
  438.6  2341.4   1.40    64.7    1.71     38653    1.1   8.0527e+00    1.1     1053
  510.9  2727.4   3.09    60.8   85.35    448042    0.8   9.3342e+01    0.8    12575
  548.4  2927.4   1.48     9.9    1.07      1263    7.3   2.6305e-01    7.3      296
  596.6  3184.8   1.66    13.4    1.01      1989    5.2   4.1447e-01    5.2      277
  846.7  4519.8   1.82     3.5    1.16       106   49.8   2.2103e-02   49.8      214
 1038.8  5544.9   2.03     3.5    1.56       108   52.1   2.2422e-02   52.1      200
 1115.3  5953.0   2.22    16.4    1.11      2686    4.4   5.5954e-01    4.4      297
 1345.5  7181.9   2.49    16.8    1.06      2849    3.8   5.9344e-01    3.8       65
 1368.3  7303.4   2.49    23.4    1.13      4859    2.9   1.0123e+00    2.9       45
 1481.4  7906.9   2.62    11.8    1.05       992    6.9   2.0661e-01    6.9       52
 1730.9  9238.9   2.81     4.2    1.06       236   16.2   4.9083e-02   16.2       50
 2242.2 11967.4   3.39     4.1    1.08       373   12.9   7.7781e-02   12.9       57
 2753.2 14695.0   4.06    17.2    0.87      2528    3.8   5.2660e-01    3.8        8
