
                       be used for evaluation purposes
                                                            21-Mar-2019 12:57
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AG03202019_FP09_10cm_HPGE2.Chn   
 Sample Title :                                                  

 Spectrum saved on 20-Mar-2019 at  9:34    Collected on 19-Mar-2019 at  9:41
 Sample  Taken  on 19-Mar-2019 at  9:41    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   68.6   365.5   1.09!    5.0    1.28      3075   22.4   3.5879e-02   22.4    35034
   70.5   375.2   1.09!    9.4    1.28      5351   13.0   6.2436e-02   13.0    35034
   74.6   397.4   1.10!    9.1    1.28      6781   10.6   7.9120e-02   10.6    35034
   76.8   408.8   1.10!   17.9    1.28     15190    5.2   1.7722e-01    5.2    35034
   79.3   422.3   1.10!    4.9    1.28      4188   17.5   4.8868e-02   17.5    35034
   86.9   462.7   0.97     5.9    1.69      4922   13.3   5.7426e-02   13.3    36136
   89.5   476.7   0.97     6.0    1.69      2063   29.7   2.4065e-02   29.7    36136
   95.1   506.4   0.98     3.5    1.06      1676   36.1   1.9549e-02   36.1    37902
  106.4   566.3   0.99     3.9    1.31      1881   31.5   2.1945e-02   31.5    39309
  108.8   579.6   1.00     4.2    1.31      2630   23.2   3.0688e-02   23.2    39309
  125.3   667.0   1.17!   36.6    1.33     34119    2.5   3.9807e-01    2.5    46781
  140.1   746.1   1.03     6.2    1.03      3727   16.5   4.3486e-02   16.5    36536
  190.9  1016.6   1.24     5.5    0.92      4034   13.2   4.7062e-02   13.2    31697
  195.4  1040.8   1.24    28.0    0.92     20697    2.9   2.4147e-01    2.9    29259
  215.4  1147.0   1.12     5.4    0.98      2734   16.9   3.1898e-02   16.9    24901
  234.4  1248.3   1.25    14.6    0.92      7277    6.6   8.4902e-02    6.6    21553
  245.1  1305.5   1.32!   20.5    1.06     12115    4.1   1.4134e-01    4.1    20620
  248.4  1323.0   1.33!    5.6    1.06      3828   12.2   4.4668e-02   12.2    20620
  277.6  1478.7   1.19     3.5    0.92      1047   34.7   1.2212e-02   34.7    14556
  285.2  1519.0   1.32    21.5    0.72     10751    4.2   1.2544e-01    4.2    13640
  303.3  1615.2   1.32    18.5    1.03      8121    4.2   9.4754e-02    4.2    12477
  308.5  1643.0   1.33     3.3    1.03       835   36.3   9.7413e-03   36.3    13436
  324.6  1728.8   1.24     5.6    0.80      1150   27.0   1.3422e-02   27.0    10260
  343.4  1829.1   1.26     3.5    0.80      1233   22.8   1.4390e-02   22.8     9327
  347.5  1850.9   1.27     8.1    0.80      2375   11.7   2.7712e-02   11.7     9327
  361.5  1925.3   1.42    29.0    0.92     15535    2.6   1.8125e-01    2.6     9430
  420.5  2239.8   1.35     5.0    1.44       435   60.0   5.0722e-03   60.0     6497
  475.5  2532.8   1.41     3.7    1.29       934   27.5   1.0901e-02   27.5     5693
  524.8  2795.2   1.69!   15.8   67.60     21459    5.9   2.5037e-01    5.9    11533
  573.6  3055.3   1.52     6.1    1.04      1764   13.7   2.0583e-02   13.7     5040
  599.0  3190.4   1.54    21.0    1.23      6644    4.7   7.7512e-02    4.7     5036
  625.8  3333.3   1.70    36.2    0.79     17091    2.1   1.9941e-01    2.1     5096
  683.4  3640.0   1.65     3.6    1.27       368   54.5   4.2896e-03   54.5     3605
  744.8  3967.0   1.72     6.1    1.37      1867   10.8   2.1781e-02   10.8     2932
  747.1  3979.2   1.72     5.7    1.37      1458   14.0   1.7011e-02   14.0     2932
  777.3  4139.9   1.75     4.1    1.35       808   19.5   9.4324e-03   19.5     2792
  786.8  4190.5   1.76     3.4    1.35       728   21.4   8.4932e-03   21.4     2792
  789.3  4204.0   1.77     9.5    1.35      1753   10.1   2.0454e-02   10.1     2792
  807.4  4300.4   1.79     4.9    1.03       535   28.4   6.2415e-03   28.4     2582
  816.6  4349.4   1.80     5.0    1.03       832   18.5   9.7119e-03   18.5     2582
  833.0  4436.4   1.84    83.2    2.78     66248    1.0   7.7294e-01    1.0     2857
  858.0  4570.0   1.85     3.8    0.95       364   47.6   4.2414e-03   47.6     2526
  869.9  4633.2   1.86     3.8    0.91       347   48.3   4.0514e-03   48.3     2313
  884.1  4709.0   1.88     6.2    1.18       910   18.8   1.0612e-02   18.8     2281
  887.7  4728.2   1.88     4.0    1.18       478   35.1   5.5746e-03   35.1     2281
  929.1  4948.3   1.92     3.3    1.08       279   54.1   3.2580e-03   54.1     2252
  934.1  4975.0   1.93     9.5    1.08      2422    7.7   2.8255e-02    7.7     2133
  936.2  4986.3   1.93    16.3    1.08      5110    4.0   5.9623e-02    4.0     2252
  959.7  5111.6   1.96     6.0    1.05      1078   17.0   1.2574e-02   17.0     2150
  991.0  5278.4   2.11     5.4    1.13      1137   15.2   1.3268e-02   15.2     2138
  995.5  5302.5   2.11    15.8    1.13      3221    6.1   3.7578e-02    6.1     2245
 1028.7  5479.0   2.04     3.4    0.69       449   35.3   5.2387e-03   35.3     2111
 1146.3  6105.3   2.14     5.6    0.82       969   17.9   1.1308e-02   17.9     2041
 1151.1  6130.8   2.15    20.6    0.82      4906    4.4   5.7241e-02    4.4     2041
 1186.7  6320.4   2.22     4.0    1.02       492   34.6   5.7448e-03   34.6     2141
 1205.2  6419.4   2.24     3.5    0.97       301   55.2   3.5153e-03   55.2     2094
 1272.2  6775.8   2.36    12.0    1.00      2221    8.8   2.5911e-02    8.8     2234
 1316.3  7010.8   2.36     4.1    1.12       444   34.2   5.1755e-03   34.2     1557
 1369.2  7292.9   2.42     3.5    0.80       241   52.6   2.8171e-03   52.6     1185
 1415.6  7539.9   2.38    10.2    0.80      1361    8.9   1.5885e-02    8.9      910
 1423.3  7581.1   2.39     3.9    0.80       296   34.9   3.4575e-03   34.9      910
 1440.0  7670.0   2.51     4.0    1.03       428   25.8   4.9889e-03   25.8      917
 1446.7  7705.2   2.51     5.9    1.03       804   14.7   9.3769e-03   14.7      917
 1501.0  7994.6   2.43    70.4    2.43     42254    1.2   4.9299e-01    1.2     1122
 1536.8  8185.1   2.61     3.5    0.99       152   49.6   1.7739e-03   49.6      593
 1550.9  8260.3   2.63     5.9    0.99       630   14.3   7.3453e-03   14.3      618
 1632.1  8692.8   2.72     6.2    1.08       414   25.4   4.8343e-03   25.4      668
 1636.3  8715.4   2.73     3.8    1.08       492   21.0   5.7350e-03   21.0      642
 1665.1  8868.7   2.76     4.3    1.01       247   29.3   2.8830e-03   29.3      425
 1675.3  8923.3   2.77     3.5    1.01       246   29.9   2.8721e-03   29.9      425
 1706.9  9091.5   2.81     4.4    0.94       367   18.9   4.2873e-03   18.9      392
 1720.9  9165.9   2.82     3.3    0.94       194   34.1   2.2672e-03   34.1      378
 1777.4  9466.9   2.89    10.0    1.06       920   10.2   1.0738e-02   10.2      336
 1813.1  9656.8   2.79    23.1    1.10      4765    3.4   5.5595e-02    3.4      336
 1888.6 10059.1   3.01     3.5    0.88       163   40.2   1.9052e-03   40.2      329
 1898.3 10110.9   3.02     7.1    0.88       672   12.2   7.8418e-03   12.2      329
 2161.5 11512.7   3.32     5.9    1.00       695   11.0   8.1106e-03   11.0      296
 2176.6 11593.4   3.34     5.7    1.00       371   18.3   4.3259e-03   18.3      296
 2264.7 12062.2   3.04    13.0    1.10      1376    7.3   1.6053e-02    7.3      259
