
                       be used for evaluation purposes
                                                            29-Mar-2019 15:39
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AY022819_FP06_5cm_room131.Chn    
 Sample Title :                                                  

 Spectrum saved on 28-Feb-2019 at 20:50    Collected on 28-Feb-2019 at 20:15
 Sample  Taken  on 28-Feb-2019 at 20:15    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  28-Feb-2019 20:15
   Live:      2052.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.9   387.9   0.95     4.1    1.29       276   22.3   1.3461e-01   22.3      306
   75.0   399.0   0.95     6.1    1.29       508   14.3   2.4778e-01   14.3      306
   84.8   451.4   0.96     3.8    1.09       150   44.3   7.3155e-02   44.3      327
  122.2   650.7   0.97    14.1    0.48      1579    5.3   7.6959e-01    5.3      288
  127.4   678.1   1.01    12.2    0.86      1201    7.2   5.8548e-01    7.2      287
  136.7   728.0   1.02     3.7    0.71       199   27.7   9.6863e-02   27.7      261
  171.5   913.4   1.06     5.7    0.83       587   11.9   2.8588e-01   11.9      322
  184.9   984.7   1.08     4.4    1.31       295   23.4   1.4366e-01   23.4      341
  190.5  1014.4   1.03    11.4    0.93      1101    7.4   5.3663e-01    7.4      323
  245.7  1308.4   1.15     6.4    0.51       478   12.6   2.3294e-01   12.6      259
  336.5  1792.1   1.26     3.4    0.96       120   46.6   5.8414e-02   46.6      291
  511.4  2723.6   2.92     9.7    1.36      9319    2.1   4.5414e+00    2.1      388
  559.0  2977.0   1.52     3.7    0.62       102   42.6   4.9563e-02   42.6      150
  725.6  3864.4   1.71     3.6    0.77       102   39.4   4.9930e-02   39.4      129
  811.2  4320.8   1.81    17.1    1.28      2313    4.0   1.1273e+00    4.0       49
  909.7  4845.0   1.94    30.0    1.48      7623    2.2   3.7151e+00    2.2       30
 1116.5  5946.6   2.17     3.4    1.06        57   52.8   2.7893e-02   52.8       49
 1369.4  7293.8   2.44    11.4    0.92       825    6.8   4.0194e-01    6.8       14
 1378.2  7340.9   2.45    12.2    0.92      1023    6.2   4.9860e-01    6.2       14
 1758.6  9367.0   2.93     3.4    0.80        51   46.0   2.4935e-02   46.0       13
 1920.2 10227.5   3.12     3.4    0.76       108   25.9   5.2738e-02   25.9       15
 2242.9 11946.4   3.49     3.4    0.64        53   46.3   2.5647e-02   46.3       17
 2754.7 14672.8   4.10     7.1    0.70       421   10.7   2.0514e-01   10.7        4
