
                       be used for evaluation purposes
                                                            29-Mar-2019 15:42
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: BB022819_FP09_5cm_room131.Chn    
 Sample Title :                                                  

 Spectrum saved on 28-Feb-2019 at 22:41    Collected on 28-Feb-2019 at 22:00
 Sample  Taken  on 28-Feb-2019 at 22:00    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  28-Feb-2019 22:00
   Live:      2394.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.9   387.8   0.95     3.9    0.53       254   23.0   1.0610e-01   23.0      323
   75.0   399.1   0.95     6.2    0.53       483   13.3   2.0169e-01   13.3      323
   84.9   451.7   0.96     4.2    0.80       201   30.7   8.3805e-02   30.7      336
  122.2   650.7   0.99    11.3    0.92      1669    5.4   6.9727e-01    5.4      288
  127.4   678.1   0.99     8.4    0.92       967    7.3   4.0412e-01    7.3      288
  136.6   727.1   1.02     3.7    0.58       165   33.4   6.8925e-02   33.4      279
  171.5   913.3   1.06     4.2    0.92       352   18.0   1.4714e-01   18.0      316
  184.9   984.3   1.08     4.3    1.09       206   51.3   8.6039e-02   51.3      387
  190.5  1014.3   1.10    10.2    0.83      1133    7.8   4.7346e-01    7.8      317
  245.6  1308.1   1.15     4.5    0.72       270   23.0   1.1274e-01   23.0      324
  336.6  1792.5   1.26     3.5    0.59       145   38.2   6.0709e-02   38.2      312
  439.1  2338.6   1.38     3.3    1.14        90   47.0   3.7507e-02   47.0      138
  511.4  2723.7   2.92     8.3    1.37      9000    2.2   3.7593e+00    2.2      449
  558.8  2976.3   1.52     3.8    0.86       120   39.6   5.0273e-02   39.6      182
  725.4  3863.3   1.71     3.5    1.30       128   32.3   5.3544e-02   32.3      110
  756.9  4031.1   1.75     3.4    0.96        71   47.0   2.9769e-02   47.0       77
  811.3  4320.9   1.82    23.9    1.04      4321    2.9   1.8050e+00    2.9       40
  909.6  4844.8   1.94    26.8    1.09      6622    2.3   2.7662e+00    2.3       35
 1116.4  5946.1   2.17     3.5    1.23        57   48.9   2.3940e-02   48.9       39
 1369.3  7293.2   2.38    12.4    1.16       901    6.4   3.7634e-01    6.4       15
 1378.2  7340.9   2.40    10.5    1.16       789    7.0   3.2950e-01    7.0       14
 1732.0  9224.9   2.89     3.3    0.53        42   51.9   1.7614e-02   51.9       15
 1758.0  9363.9   2.93     3.6    0.65        44   49.8   1.8213e-02   49.8       14
 1920.1 10227.3   3.12     3.8    0.64        92   28.7   3.8338e-02   28.7       18
 2755.0 14674.0   4.10     9.6    0.75       580    8.9   2.4211e-01    8.9        1
