
                       be used for evaluation purposes
                                                            29-Mar-2019 15:14
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AC022619_FP03_5cm_131.Chn        
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at  7:35    Collected on 26-Feb-2019 at  7:27
 Sample  Taken  on 26-Feb-2019 at  7:27    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  26-Feb-2019  7:27
   Live:       298.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   67.4   358.9   0.92    11.0    0.64      1398    8.7   4.6908e+00    8.7      939
   72.8   387.4   0.99     7.0    1.16       781   13.2   2.6200e+00   13.2      861
   75.0   399.1   0.99    10.8    1.16      1386    9.6   4.6506e+00    9.6      861
   84.8   451.5   0.96     5.1    0.69       562   16.1   1.8856e+00   16.1      771
   87.5   465.9   0.96     3.5    0.69       177   47.4   5.9446e-01   47.4      857
  122.3   651.1   1.00     3.4    1.11       181   44.8   6.0639e-01   44.8      894
  127.3   677.9   1.01     4.6    1.11       446   19.5   1.4969e+00   19.5      894
  138.4   737.1   1.06    14.4    0.80      2367    5.6   7.9428e+00    5.6      892
  156.7   834.4   1.04     3.8    0.88       339   30.4   1.1377e+00   30.4     1084
  202.7  1079.2   1.10     9.4    1.21      1308    9.3   4.3890e+00    9.3     1038
  336.5  1792.1   1.28    42.4    1.01     15466    1.6   5.1900e+01    1.6      727
  355.8  1894.7   1.28     4.6    1.09       250   30.7   8.3992e-01   30.7      521
  392.0  2087.5   1.30    17.3    1.38      3029    4.2   1.0166e+01    4.2      488
  417.2  2221.8   1.41    30.3    0.91      8487    2.2   2.8480e+01    2.2      348
  439.0  2337.8   1.38     3.6    0.90       136   44.2   4.5751e-01   44.2      329
  463.6  2468.9   1.41     4.3    0.89       215   29.2   7.2159e-01   29.2      316
  479.9  2555.7   1.42     6.4    0.71       619   11.8   2.0787e+00   11.8      309
  511.3  2723.0   2.97    11.6    3.13     21270    1.6   7.1377e+01    1.6      926
  555.9  2960.7   1.51     6.1    0.85       381   16.5   1.2800e+00   16.5      279
  617.8  3290.6   1.59     3.4    1.31       216   29.8   7.2559e-01   29.8      274
  670.0  3568.5   1.65     7.5    1.06       669   11.5   2.2464e+00   11.5      285
  819.0  4362.2   1.91    14.2    1.03      2154    5.1   7.2290e+00    5.1      323
  909.5  4844.0   2.05    10.2    0.90      1462    6.6   4.9075e+00    6.6      358
  962.4  5125.9   1.99     5.4    0.89       454   16.5   1.5251e+00   16.5      313
 1097.7  5846.3   2.19    31.1    0.98      8536    2.1   2.8643e+01    2.1      254
 1294.0  6892.0   2.45    33.0    1.49     10518    1.8   3.5295e+01    1.8       66
 1369.1  7292.3   2.50    13.6    1.09      1718    4.7   5.7665e+00    4.7       57
 1378.0  7339.6   2.51     5.6    1.09       329   14.0   1.1029e+00   14.0       57
 1508.0  8032.2   2.83    10.8    1.07      1153    5.8   3.8689e+00    5.8       27
 1601.4  8529.5   2.74     3.3    1.01        72   40.0   2.4270e-01   40.0       37
 1732.5  9227.9   2.90     3.5    0.95        86   35.8   2.8704e-01   35.8       42
 1752.9  9336.3   2.92     5.5    1.11       249   17.2   8.3713e-01   17.2       49
 2112.7 11252.7   3.36    11.8    0.92      1320    5.3   4.4306e+00    5.3       12
 2243.1 11947.5   3.49     3.9    1.01       121   27.8   4.0743e-01   27.8       25
 2391.0 12735.1   3.67     3.9    0.68        73   37.6   2.4628e-01   37.6       25
 2754.4 14671.2   4.10     9.6    0.84       865    7.0   2.9013e+00    7.0        5
