
                       be used for evaluation purposes
                                                            29-Mar-2019 15:16
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AD022619_FP04_5cm_131.Chn        
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at  7:43    Collected on 26-Feb-2019 at  7:36
 Sample  Taken  on 26-Feb-2019 at  7:36    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  26-Feb-2019  7:36
   Live:       361.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   67.4   359.0   0.92    11.6    1.04      1414    8.4   3.9160e+00    8.4      940
   72.8   387.6   0.97     5.9    1.13       739   13.9   2.0484e+00   13.9      794
   75.0   398.9   0.97    11.8    1.13      1449    8.2   4.0129e+00    8.2      882
   84.8   451.4   0.96     3.7    1.04       535   19.3   1.4821e+00   19.3      829
  122.2   650.7   1.00     3.4    1.05       171   47.7   4.7401e-01   47.7      900
  127.3   677.9   1.01     3.8    1.05       373   23.8   1.0345e+00   23.8      900
  138.5   737.2   1.07    14.7    0.67      2508    5.3   6.9472e+00    5.3      925
  156.5   833.3   1.04     3.7    0.74       212   49.8   5.8690e-01   49.8     1165
  202.7  1079.3   1.13    10.1    1.18      1196    9.8   3.3120e+00    9.8     1026
  336.5  1792.1   1.30    43.8    0.72     17784    1.5   4.9263e+01    1.5      689
  355.6  1893.9   1.28     3.5    1.13       267   29.4   7.3874e-01   29.4      461
  388.7  2070.3   1.39     3.4    1.25       200   35.5   5.5398e-01   35.5      402
  392.0  2087.5   1.39    19.1    1.25      3390    3.8   9.3912e+00    3.8      402
  417.2  2221.7   1.39    31.9    0.86      9328    1.9   2.5839e+01    1.9      372
  439.0  2337.9   1.38     3.4    1.28       144   43.8   3.9862e-01   43.8      327
  463.6  2469.2   1.41     3.5    1.13       214   29.4   5.9226e-01   29.4      333
  479.7  2554.9   1.42     7.3    1.23       704   10.6   1.9501e+00   10.6      313
  511.3  2723.0   2.99    13.6    3.06     18661    1.8   5.1692e+01    1.8      941
  555.9  2960.6   1.51     4.5    0.99       317   20.9   8.7799e-01   20.9      294
  617.8  3290.2   1.59     3.3    0.79       163   38.6   4.5024e-01   38.6      329
  670.1  3569.0   1.65     8.1    0.91       581   13.4   1.6102e+00   13.4      317
  810.9  4319.1   1.84     3.6    1.10       142   41.4   3.9429e-01   41.4      354
  819.0  4362.2   1.85    15.5    1.10      2361    4.5   6.5407e+00    4.5      354
  909.5  4844.1   2.03    11.9    0.90      1493    6.7   4.1362e+00    6.7      358
  962.4  5126.0   1.99     4.5    0.85       355   16.8   9.8378e-01   16.8      304
  972.7  5181.0   2.00     3.4    0.85       104   49.9   2.8925e-01   49.9      320
 1097.6  5846.3   2.18    32.2    1.01      9340    2.0   2.5873e+01    2.0      296
 1294.0  6892.0   2.41    35.9    1.24     11533    1.8   3.1947e+01    1.8       75
 1369.0  7291.8   2.60    13.1    1.03      1510    5.3   4.1826e+00    5.3       50
 1378.0  7339.4   2.61     5.9    1.03       336   13.0   9.3060e-01   13.0       53
 1508.0  8032.2   2.82    12.0    0.87      1254    5.8   3.4747e+00    5.8       43
 1601.6  8530.6   2.74     3.6    1.16        64   49.0   1.7709e-01   49.0       46
 1752.9  9336.7   2.92     4.5    1.01       288   16.1   7.9793e-01   16.1       55
 1920.3 10228.0   3.12     3.4    1.01        69   43.0   1.9136e-01   43.0       38
 2112.7 11252.8   3.36    13.3    0.80      1467    5.1   4.0645e+00    5.1       24
 2243.0 11946.8   3.49     3.6    1.02        80   38.1   2.2183e-01   38.1       26
 2390.8 12734.5   3.67     3.9    0.77        64   43.0   1.7680e-01   43.0       21
 2754.4 14671.2   3.84    10.2    0.85       779    7.3   2.1565e+00    7.3       12
