
                       be used for evaluation purposes
                                                            29-Mar-2019 15:18
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AF022619_FP06_5cm_131.Chn        
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at  7:57    Collected on 26-Feb-2019 at  7:52
 Sample  Taken  on 26-Feb-2019 at  7:52    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  26-Feb-2019  7:52
   Live:       275.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   67.4   358.9   0.90    12.1    0.54      1527    7.9   5.5544e+00    7.9      949
   72.8   387.5   0.95     6.3    0.88       877   12.1   3.1883e+00   12.1      933
   75.0   398.9   0.95     9.7    0.88      1463    7.9   5.3188e+00    7.9     1036
   84.9   451.7   0.96     6.0    0.72       569   18.4   2.0705e+00   18.4     1020
  127.4   678.1   1.01     4.6    0.69       524   20.2   1.9046e+00   20.2     1044
  138.4   737.0   1.06    15.4    0.63      2448    5.6   8.9004e+00    5.6     1030
  190.2  1012.9   1.08     3.6    1.16       221   50.6   8.0416e-01   50.6     1276
  202.7  1079.4   1.06    11.8    1.25      1482    8.7   5.3896e+00    8.7     1120
  245.6  1307.7   1.15     3.3    0.67       171   54.1   6.2155e-01   54.1      942
  336.5  1792.1   1.31    52.9    1.38     27096    1.5   9.8531e+01    1.5      729
  355.7  1894.4   1.28     4.1    0.77       282   26.3   1.0246e+00   26.3      506
  388.7  2070.0   1.39     3.5    0.75       231   29.8   8.4127e-01   29.8      432
  392.0  2087.5   1.39    18.2    0.75      4079    3.3   1.4833e+01    3.3      401
  417.2  2221.7   1.41    32.5    1.37      9112    2.3   3.3133e+01    2.3      355
  439.0  2337.9   1.38     3.7    0.94       216   29.6   7.8422e-01   29.6      346
  463.5  2468.6   1.41     3.5    0.94       146   45.4   5.3146e-01   45.4      316
  479.8  2555.1   1.42     6.1    1.05       705   10.8   2.5626e+00   10.8      309
  511.3  2723.0   2.98    13.0    2.56     17675    1.8   6.4272e+01    1.8      904
  555.8  2960.3   1.51     3.6    0.80       297   22.4   1.0811e+00   22.4      316
  617.7  3290.0   1.59     3.7    1.25       194   33.9   7.0720e-01   33.9      317
  670.0  3568.5   1.65     6.3    0.93       518   14.5   1.8844e+00   14.5      313
  810.8  4318.3   1.85     3.4    0.88       215   29.0   7.8333e-01   29.0      359
  819.0  4362.1   1.86    15.7    0.88      2342    4.4   8.5154e+00    4.4      359
  909.5  4844.0   2.01    12.6    0.84      1771    5.8   6.4399e+00    5.8      383
  962.6  5127.0   1.99     5.2    0.93       299   23.4   1.0868e+00   23.4      310
 1097.6  5846.2   2.22    31.3    1.48      8963    2.3   3.2592e+01    2.3      273
 1236.2  6584.0   2.31     3.4    1.15        85   50.5   3.0908e-01   50.5      108
 1294.0  6892.0   2.40    36.2    1.45     11470    1.9   4.1710e+01    1.9       76
 1369.0  7291.6   2.60    14.0    1.18      1967    4.6   7.1526e+00    4.6       56
 1377.8  7338.6   2.61     4.3    1.18       396   11.8   1.4383e+00   11.8       56
 1508.1  8032.4   2.67    13.3    1.16      1212    5.7   4.4088e+00    5.7       33
 1731.9  9224.6   2.89     3.5    0.97        78   41.1   2.8310e-01   41.1       50
 1752.8  9336.1   2.92     5.5    1.05       213   22.0   7.7288e-01   22.0       70
 2112.7 11252.8   3.54    11.1    0.74      1420    5.1   5.1635e+00    5.1       24
 2242.6 11945.0   3.49     3.4    1.05       144   23.1   5.2502e-01   23.1       26
 2390.7 12733.9   3.67     3.8    0.69        54   51.1   1.9616e-01   51.1       30
 2754.5 14671.7   4.21    10.9    0.69      1034    6.2   3.7604e+00    6.2       -3
