
                       be used for evaluation purposes
                                                            29-Mar-2019 15:23
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AJ022619_FP01_10cm_room131.Chn   
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at 14:56    Collected on 26-Feb-2019 at 14:36
 Sample  Taken  on 26-Feb-2019 at 14:36    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  26-Feb-2019 14:36
   Live:      1127.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   67.5   359.1   0.94     3.4    0.87       136   57.6   1.2080e-01   57.6      543
   72.8   387.6   0.95     9.3    1.23       775   12.4   6.8733e-01   12.4      523
   75.0   399.2   0.95    11.1    1.23      1438    7.2   1.2760e+00    7.2      582
   84.9   452.0   0.96     3.7    1.08       525   16.2   4.6613e-01   16.2      551
   87.4   465.0   0.96     3.8    1.08       256   29.6   2.2758e-01   29.6      551
  122.1   650.1   1.00     3.3    1.20       271   24.2   2.4055e-01   24.2      487
  127.3   677.9   1.01     7.4    1.20       669   11.5   5.9346e-01   11.5      487
  171.5   913.0   1.06     3.4    0.83       129   57.6   1.1412e-01   57.6      473
  190.5  1014.2   1.08     5.4    1.28       243   32.7   2.1567e-01   32.7      471
  202.8  1079.8   1.10     6.1    0.89       442   15.9   3.9211e-01   15.9      403
  336.6  1792.3   1.25    29.8    1.11      7322    2.2   6.4972e+00    2.2      226
  388.8  2070.6   1.32     3.6    0.89        73   50.9   6.5192e-02   50.9      124
  392.0  2087.7   1.32     5.0    0.89       240   18.3   2.1268e-01   18.3      124
  438.9  2337.4   1.38     5.4    0.99       196   21.1   1.7350e-01   21.1       97
  479.9  2555.8   1.42     5.9    1.05       246   17.4   2.1796e-01   17.4       93
  511.3  2723.2   2.92     6.8    1.32      5510    2.8   4.8890e+00    2.8      301
  609.8  3247.5   1.58     3.7    0.76        73   46.6   6.4790e-02   46.6       82
  811.2  4320.5   1.81     5.6    1.31       269   15.5   2.3898e-01   15.5       57
  909.5  4844.1   1.93    17.8    0.71      2489    3.8   2.2089e+00    3.8       55
 1293.7  6890.4   2.38     3.5    0.72        60   38.9   5.2960e-02   38.9       22
 1369.0  7291.9   2.45    18.4    1.18      2208    4.4   1.9595e+00    4.4       11
 1377.9  7339.0   2.46     7.8    1.18       529    8.8   4.6948e-01    8.8       12
 1461.2  7782.8   2.58     3.9    0.66       160   18.3   1.4173e-01   18.3       14
 1731.8  9224.1   2.89     3.7    0.77        91   28.8   8.1019e-02   28.8       20
 1919.8 10225.5   3.12     3.6    0.97        88   32.2   7.8435e-02   32.2       15
 2243.0 11947.1   3.49     3.7    0.83       164   20.8   1.4511e-01   20.8       30
 2754.5 14671.4   3.96    13.3    0.81      1209    5.5   1.0725e+00    5.5        6
