
                       be used for evaluation purposes
                                                            29-Mar-2019 15:24
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AK022619_FP02_5cm_room131.Chn    
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at 15:09    Collected on 26-Feb-2019 at 14:57
 Sample  Taken  on 26-Feb-2019 at 14:57    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  26-Feb-2019 14:57
   Live:       639.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   67.6   359.7   0.94     3.4    0.96       167   43.7   2.6091e-01   43.7      426
   72.9   387.8   0.95     6.0    0.71       506   14.5   7.9247e-01   14.5      439
   75.0   399.3   0.95     9.0    0.71       904    9.0   1.4153e+00    9.0      395
   84.9   451.7   0.96     3.7    1.46       276   29.0   4.3192e-01   29.0      510
  122.2   650.6   1.00     5.4    0.83       455   14.9   7.1266e-01   14.9      425
  127.3   677.7   1.01     9.4    0.83       853    9.1   1.3355e+00    9.1      425
  171.6   913.7   1.06     3.7    1.00       233   32.2   3.6494e-01   32.2      506
  184.8   984.2   1.08     3.6    0.80       173   35.7   2.7089e-01   35.7      491
  190.5  1014.4   1.08     5.0    0.80       297   22.3   4.6533e-01   22.3      491
  202.8  1079.7   1.10     6.2    0.67       582   12.4   9.1090e-01   12.4      394
  245.9  1309.5   1.15     3.6    0.64       168   33.6   2.6356e-01   33.6      305
  336.5  1792.3   1.27    36.0    1.41     10547    1.9   1.6505e+01    1.9      226
  388.6  2069.7   1.32     3.7    1.08        80   47.9   1.2522e-01   47.9      125
  392.0  2087.5   1.32     5.6    1.08       275   16.8   4.2974e-01   16.8      125
  416.8  2220.0   1.35     3.5    0.87       103   32.9   1.6177e-01   32.9       88
  439.0  2338.2   1.38     5.3    0.46       258   16.4   4.0342e-01   16.4      113
  479.9  2555.8   1.42     6.1    0.80       293   15.1   4.5801e-01   15.1      102
  511.3  2723.1   2.92     7.7    1.79      7030    2.5   1.1002e+01    2.5      328
  617.8  3290.3   1.59     3.5    0.98        70   51.3   1.0901e-01   51.3       89
  811.1  4320.2   1.81     6.2    0.86       382   11.4   5.9840e-01   11.4       51
  909.5  4844.0   1.99    19.3    0.93      3209    3.5   5.0223e+00    3.5       54
 1097.9  5847.4   2.15     3.4    1.19        81   45.7   1.2647e-01   45.7       79
 1294.1  6892.5   2.38     3.4    0.69        64   35.7   1.0015e-01   35.7       19
 1369.1  7291.9   2.56    16.6    0.92      2827    3.4   4.4249e+00    3.4       16
 1378.0  7339.5   2.57    10.1    0.92       740    7.4   1.1579e+00    7.4       16
 1461.4  7784.0   2.58     3.5    0.79        78   30.7   1.2215e-01   30.7       14
 1731.8  9224.1   2.89     3.3    0.60       138   21.6   2.1658e-01   21.6       30
 1920.1 10227.3   3.12     3.6    1.00        92   31.2   1.4386e-01   31.2       23
 2243.2 11948.1   3.50     3.6    1.00       172   21.6   2.6924e-01   21.6       36
 2754.5 14671.3   4.02    14.6    0.72      1485    5.1   2.3242e+00    5.1       -2
