
                       be used for evaluation purposes
                                                            29-Mar-2019 15:25
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AL022619_FP03_5cm_room131.Chn    
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at 15:24    Collected on 26-Feb-2019 at 15:10
 Sample  Taken  on 26-Feb-2019 at 15:10    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  26-Feb-2019 15:10
   Live:       832.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.9   387.8   0.95     7.1    1.33       326   22.5   3.9176e-01   22.5      418
   75.0   399.2   0.95     5.2    1.33       499   14.5   5.9972e-01   14.5      418
   84.8   451.3   0.96     3.5    0.65       204   31.8   2.4576e-01   31.8      399
  122.1   650.0   1.00     3.7    1.04       223   26.1   2.6843e-01   26.1      389
  127.3   677.7   1.01     8.3    1.04       500   14.3   6.0111e-01   14.3      389
  171.5   913.2   1.06     3.4    0.69       247   30.4   2.9659e-01   30.4      539
  184.8   983.9   1.08     3.8    1.10       246   27.4   2.9564e-01   27.4      525
  190.4  1013.8   1.08     4.4    1.10       331   20.5   3.9729e-01   20.5      525
  202.8  1079.7   1.10     7.4    1.10       683   11.2   8.2066e-01   11.2      400
  245.6  1308.1   1.15     4.0    0.87       182   33.0   2.1902e-01   33.0      354
  336.6  1792.3   1.25    38.6    1.00     12771    1.7   1.5350e+01    1.7      276
  388.9  2071.4   1.32     3.3    1.10       105   38.6   1.2586e-01   38.6      142
  392.0  2087.7   1.32     3.7    1.10       308   16.6   3.7062e-01   16.6      142
  417.1  2221.2   1.35     3.3    0.98        71   53.5   8.5125e-02   53.5      111
  439.0  2338.3   1.38     5.1    0.81       348   13.8   4.1787e-01   13.8      109
  479.8  2555.3   1.42     6.7    0.84       367   13.1   4.4129e-01   13.1      103
  511.3  2723.1   3.04    10.1    2.11      9429    2.4   1.1333e+01    2.4      348
  617.9  3291.0   1.59     3.4    0.47        88   40.1   1.0598e-01   40.1      101
  811.0  4319.6   1.81     6.2    0.99       404   11.6   4.8553e-01   11.6       57
  909.5  4844.0   1.95    19.3    0.81      3949    3.0   4.7463e+00    3.0       71
 1369.0  7291.9   2.45    19.3    1.03      3439    3.2   4.1336e+00    3.2       19
 1378.0  7339.3   2.46     9.0    1.03       732    7.3   8.8032e-01    7.3       19
 1732.1  9225.4   2.89     3.9    0.87       173   19.8   2.0744e-01   19.8       30
 1757.9  9363.2   2.93     3.5    0.74        54   45.6   6.5120e-02   45.6       26
 1920.0 10226.5   3.12     3.9    0.92        90   32.5   1.0859e-01   32.5       27
 2243.3 11948.8   3.50     3.7    0.98       270   15.9   3.2471e-01   15.9       43
 2754.5 14671.5   4.13    14.4    0.92      1921    4.4   2.3094e+00    4.4       -4
