
                       be used for evaluation purposes
                                                            29-Mar-2019 15:26
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AM022619_FP04_5cm_room131.Chn    
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at 15:38    Collected on 26-Feb-2019 at 15:25
 Sample  Taken  on 26-Feb-2019 at 15:25    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  26-Feb-2019 15:25
   Live:       723.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.8   387.5   0.95     4.0    1.26       280   21.4   3.8763e-01   21.4      268
   75.0   399.3   0.95     7.7    1.26       411   16.5   5.6849e-01   16.5      268
   84.9   451.9   0.96     3.4    0.90       148   38.7   2.0460e-01   38.7      298
  122.2   650.6   1.00     3.6    0.97       181   29.3   2.5035e-01   29.3      299
  127.3   677.9   1.01     4.2    0.97       363   15.6   5.0256e-01   15.6      299
  171.5   913.3   1.06     4.0    1.12       190   36.6   2.6225e-01   36.6      424
  184.9   984.5   1.08     3.4    1.08       176   32.9   2.4316e-01   32.9      396
  190.4  1013.9   1.08     3.9    1.08       232   25.3   3.2021e-01   25.3      360
  202.7  1079.5   1.10     5.5    0.74       492   13.3   6.8063e-01   13.3      323
  245.6  1307.9   1.15     3.5    0.65       130   37.0   1.7930e-01   37.0      246
  336.6  1792.3   1.25    35.1    1.41     10170    1.9   1.4066e+01    1.9      208
  388.9  2071.0   1.32     3.4    0.83        71   48.2   9.7848e-02   48.2       90
  392.0  2087.5   1.32     4.7    0.83       242   16.6   3.3514e-01   16.6       98
  438.9  2337.7   1.38     5.9    0.87       293   14.4   4.0523e-01   14.4       76
  479.8  2555.4   1.42     4.0    0.98       233   18.0   3.2194e-01   18.0       76
  511.3  2723.2   2.92     6.9    1.83      6879    2.6   9.5139e+00    2.6      274
  811.2  4320.4   1.81     6.2    1.04       296   13.7   4.0952e-01   13.7       39
  909.5  4844.1   1.96    18.4    0.66      2952    3.3   4.0832e+00    3.3       37
 1293.7  6890.5   2.38     3.5    0.64        66   34.5   9.1164e-02   34.5       15
 1369.0  7291.9   2.53    14.8    0.87      2342    3.9   3.2399e+00    3.9       13
 1377.9  7339.3   2.54     6.8    0.87       569    8.0   7.8699e-01    8.0       13
 1731.7  9223.4   2.89     3.4    1.01        80   32.5   1.1091e-01   32.5       24
 1919.8 10225.3   3.11     4.0    0.73        65   39.5   8.9479e-02   39.5       17
 2243.4 11949.2   3.49     3.8    0.90       178   19.9   2.4574e-01   19.9       31
 2754.5 14671.5   4.17    11.7    0.78      1227    5.7   1.6972e+00    5.7        2
