
                       be used for evaluation purposes
                                                            29-Mar-2019 15:29
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AO022619_FP06_5cm_room131.Chn    
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at 16:05    Collected on 26-Feb-2019 at 15:54
 Sample  Taken  on 26-Feb-2019 at 15:54    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  26-Feb-2019 15:54
   Live:       471.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.8   387.3   0.95     4.9    0.77       253   24.4   5.3701e-01   24.4      318
   75.0   399.2   0.95     6.2    0.77       526   12.7   1.1174e+00   12.7      353
   84.9   451.8   0.96     3.4    0.74       247   24.4   5.2540e-01   24.4      319
   87.4   465.0   0.96     3.7    0.74       113   47.7   2.4033e-01   47.7      319
  122.2   650.8   1.00     5.8    1.12       183   32.2   3.8814e-01   32.2      336
  127.3   677.9   1.01     6.4    1.12       428   14.5   9.0831e-01   14.5      336
  171.6   913.4   1.06     3.4    0.69       212   33.1   4.5020e-01   33.1      479
  184.8   983.8   1.08     4.3    1.00       181   34.8   3.8485e-01   34.8      468
  190.5  1014.3   1.08     4.4    1.00       276   22.5   5.8622e-01   22.5      468
  202.7  1079.6   1.10     5.3    1.01       478   14.0   1.0153e+00   14.0      344
  245.5  1307.5   1.15     3.4    1.08       157   35.0   3.3379e-01   35.0      265
  336.5  1792.3   1.25    40.4    1.61     12890    1.8   2.7368e+01    1.8      223
  392.0  2087.9   1.32     3.9    0.94       209   20.7   4.4328e-01   20.7      125
  438.9  2337.6   1.38     4.8    0.74       301   13.6   6.3858e-01   13.6       76
  479.9  2555.7   1.42     6.0    0.73       226   17.4   4.8053e-01   17.4       88
  511.3  2723.0   2.92     6.8    1.98      7514    2.4   1.5953e+01    2.4      287
  617.6  3289.4   1.59     3.5    0.75        56   56.7   1.1811e-01   56.7       77
  811.1  4319.9   1.81     6.4    0.95       408   11.4   8.6700e-01   11.4       52
  909.5  4843.9   1.97    16.6    0.82      2927    3.6   6.2150e+00    3.6       51
 1369.0  7291.7   2.53    16.3    1.07      2538    3.9   5.3891e+00    3.9       13
 1377.9  7339.0   2.54     8.3    1.07       625    7.7   1.3270e+00    7.7       13
 1732.1  9225.6   2.89     3.4    0.80       100   27.4   2.1279e-01   27.4       26
 1757.9  9363.1   2.92     3.6    0.63        45   49.7   9.5989e-02   49.7       16
 1919.7 10225.0   3.11     3.6    0.66        79   33.9   1.6746e-01   33.9       26
 2243.2 11948.3   3.50     3.8    0.89       185   18.4   3.9305e-01   18.4       33
 2754.6 14672.0   4.02    13.6    0.75      1370    5.2   2.9096e+00    5.2        4
