
                       be used for evaluation purposes
                                                            29-Mar-2019 15:31
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AQ022619_FP08_5cm_room131.Chn    
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at 16:20    Collected on 26-Feb-2019 at 16:12
 Sample  Taken  on 26-Feb-2019 at 16:12    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  26-Feb-2019 16:12
   Live:       436.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.9   387.8   0.95     5.6    0.72       364   19.6   8.3460e-01   19.6      456
   75.0   399.3   0.95     7.9    0.72       708   11.0   1.6233e+00   11.0      411
   84.9   451.7   0.96     4.0    0.95       290   24.8   6.6576e-01   24.8      437
  122.1   650.0   1.00     3.4    0.94       217   27.6   4.9730e-01   27.6      449
  127.4   678.2   1.01     6.3    0.94       395   17.2   9.0553e-01   17.2      449
  184.8   983.8   1.08     3.6    0.97       237   29.9   5.4278e-01   29.9      641
  190.6  1014.8   1.08     3.9    0.97       254   28.0   5.8205e-01   28.0      641
  202.8  1079.7   1.10     6.1    0.80       491   14.6   1.1271e+00   14.6      445
  245.6  1307.8   1.15     3.4    1.14       128   48.0   2.9444e-01   48.0      352
  336.5  1792.3   1.27    47.3    1.23     20575    1.4   4.7189e+01    1.4      290
  392.0  2087.7   1.32     6.5    1.01       252   19.5   5.7749e-01   19.5      140
  439.0  2338.1   1.38     4.8    0.93       308   14.8   7.0670e-01   14.8      100
  479.7  2555.0   1.42     4.6    1.22       237   17.8   5.4340e-01   17.8       88
  511.3  2723.1   2.92     8.4    1.20      8957    2.2   2.0545e+01    2.2      450
  811.1  4320.1   1.81     7.0    1.14       620    9.0   1.4228e+00    9.0       50
  909.5  4844.0   1.98    18.1    0.74      2897    3.4   6.6448e+00    3.4       52
 1294.1  6892.9   2.38     3.5    0.79        38   57.4   8.6419e-02   57.4       22
 1369.0  7291.8   2.49    19.2    0.83      3178    3.2   7.2885e+00    3.2       14
 1378.0  7339.7   2.50     7.8    0.83       564    8.2   1.2928e+00    8.2       14
 1731.9  9224.7   2.89     3.7    0.89       113   25.8   2.5921e-01   25.8       27
 1920.0 10226.6   3.12     3.5    0.79        72   37.8   1.6465e-01   37.8       21
 2243.2 11948.0   3.49     3.5    0.96       210   18.3   4.8276e-01   18.3       40
 2754.5 14671.7   4.16    13.4    1.05      1586    5.0   3.6368e+00    5.0        0
