
                       be used for evaluation purposes
                                                            29-Mar-2019 15:32
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AR022619_FP09_5cm_room131.Chn    
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at 16:26    Collected on 26-Feb-2019 at 16:22
 Sample  Taken  on 26-Feb-2019 at 16:22    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  26-Feb-2019 16:22
   Live:       241.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.8   387.6   0.95     3.5    0.79       200   24.7   8.2965e-01   24.7      188
   75.0   399.4   0.95     5.0    0.79       332   16.0   1.3769e+00   16.0      188
   84.8   451.2   0.96     3.4    1.05       135   36.4   5.6022e-01   36.4      221
  122.2   650.8   1.00     3.3    0.98       101   43.2   4.1701e-01   43.2      215
  127.3   677.9   1.01     3.3    0.98       146   29.6   6.0438e-01   29.6      215
  190.4  1013.9   1.08     3.4    1.72       133   47.0   5.4986e-01   47.0      254
  202.6  1079.1   1.10     5.0    0.96       219   23.3   9.0860e-01   23.3      219
  245.6  1307.8   1.15     3.5    0.86        76   50.5   3.1375e-01   50.5      136
  336.5  1792.2   1.28    36.4    1.35     11120    1.8   4.6139e+01    1.8       93
  392.2  2088.6   1.32     3.8    1.07       115   27.1   4.7570e-01   27.1       50
  439.0  2338.1   1.38     3.7    0.80       131   21.2   5.4297e-01   21.2       33
  479.9  2555.8   1.42     4.6    0.74        90   28.8   3.7321e-01   28.8       37
  511.3  2723.2   2.92     7.6    1.46      3946    3.3   1.6372e+01    3.3      141
  811.2  4320.3   1.81     6.4    0.87       326   11.4   1.3511e+00   11.4       20
  909.5  4844.0   1.93     9.5    0.81      1082    5.6   4.4886e+00    5.6       28
 1369.0  7291.9   2.47    13.1    0.68      1397    4.8   5.7950e+00    4.8        8
 1378.0  7339.3   2.48     4.7    0.68       165   16.4   6.8357e-01   16.4        8
 1731.9  9224.6   2.89     3.7    0.64        54   42.1   2.2268e-01   42.1       14
 2243.5 11949.5   3.50     3.8    0.68        88   31.8   3.6407e-01   31.8       23
 2754.6 14672.2   4.10     9.4    0.62       690    7.9   2.8650e+00    7.9        3
