
                       be used for evaluation purposes
                                                            21-Mar-2019 10:13
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AS022719_FP01_5cm_room131.Chn    
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 27-Feb-2019 at  8:15    Collected on 26-Feb-2019 at 18:52
 Sample  Taken  on 26-Feb-2019 at 18:52    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   40.8   216.9   0.92     4.4    1.08       962   37.3   2.0052e-02   37.3    12395
   63.4   337.4   0.94     4.2    0.63      1053   36.5   2.1934e-02   36.5    13275
   72.8   387.8   0.94    30.4    1.31     12772    3.5   2.6617e-01    3.5    15179
   75.0   399.3   0.94    44.0    1.31     21924    2.3   4.5689e-01    2.3    13661
   84.8   451.7   1.11    18.7    1.15      9862    3.9   2.0551e-01    3.9    15633
   87.4   465.5   1.11!    8.9    1.15      2998   12.2   6.2486e-02   12.2    15633
   91.4   486.6   1.12!    7.1    1.15      3246   10.8   6.7646e-02   10.8    15633
   93.3   496.9   1.12!   19.0    1.15      7943    5.4   1.6554e-01    5.4    17055
  122.2   650.6   0.98    37.7    0.70     16584    2.5   3.4559e-01    2.5    14590
  127.3   678.0   0.98    53.5    0.70     28408    1.6   5.9201e-01    1.6    14590
  136.6   727.6   1.03     8.4    1.15      2583   15.0   5.3835e-02   15.0    15223
  171.5   913.5   1.07    24.6    0.88     11014    4.6   2.2953e-01    4.6    17773
  184.8   984.0   1.12    30.6    2.89     15258    3.9   3.1798e-01    3.9    20501
  190.5  1014.3   1.10    41.6    1.01     23933    2.2   4.9874e-01    2.2    17388
  202.7  1079.6   1.14    19.4    1.11      8008    5.3   1.6688e-01    5.3    16562
  245.6  1308.2   1.12    25.5    0.95      9499    4.5   1.9796e-01    4.5    14039
  267.0  1422.0   1.18     3.4    1.22       795   45.9   1.6573e-02   45.9    13950
  336.5  1792.4   1.26   141.1    3.44    180373    0.7   3.7589e+00    0.7    14550
  388.9  2071.4   1.31     5.0    1.60       650   42.8   1.3536e-02   42.8     7367
  392.2  2089.0   1.32     3.6    1.60       893   31.2   1.8601e-02   31.2     7367
  438.9  2337.8   1.41    38.9    0.68     16689    2.2   3.4780e-01    2.2     6134
  479.8  2555.7   1.43    13.0    0.67      3427    7.6   7.1413e-02    7.6     5997
  511.3  2723.2   3.00    57.4   27.70    459774    0.6   9.5814e+00    0.6    19522
  528.2  2813.1   1.47     6.9    0.60      1430   16.6   2.9798e-02   16.6     5297
  548.8  2922.9   1.49     3.4    0.82       359   56.4   7.4882e-03   56.4     5358
  555.9  2960.5   1.49     6.2    0.82      1200   17.1   2.5004e-02   17.1     5741
  558.8  2976.1   1.50    11.0    0.82      2662    8.2   5.5479e-02    8.2     5358
  597.2  3180.7   1.55     3.4    0.84       465   54.3   9.6960e-03   54.3     6172
  658.6  3507.8   1.62     3.3    0.69       533   51.1   1.1114e-02   51.1     7335
  725.4  3863.7   1.70     7.0    1.55      2393   12.2   4.9871e-02   12.2     5933
  750.0  3994.5   1.72     3.4    0.78       403   50.2   8.4035e-03   50.2     4968
  757.1  4032.4   1.73     5.5    0.78       892   22.6   1.8584e-02   22.6     4968
  811.2  4320.4   1.83    54.9    0.99     29894    1.4   6.2297e-01    1.4     3245
  847.1  4511.9   1.83     4.7    1.15       368   44.0   7.6655e-03   44.0     3372
  857.8  4568.8   1.84     3.4    1.15       548   30.3   1.1425e-02   30.3     3372
  909.5  4844.3   1.94   167.5    9.03    254306    0.6   5.2996e+00    0.6     2970
 1116.0  5943.8   2.14     8.5    0.72      1294   21.2   2.6976e-02   21.2     5849
 1346.3  7170.7   2.40     7.8    0.97      1120   13.6   2.3345e-02   13.6     1339
 1369.2  7292.4   2.44   132.2    5.29    159726    0.8   3.3286e+00    0.8      812
 1378.1  7340.1   2.45    66.5    5.29     43243    1.1   9.0116e-01    1.1      847
 1409.2  7505.5   2.47     3.5    1.08       232   52.6   4.8424e-03   52.6     1019
 1714.0  9129.0   2.82     9.0    0.95      1219   11.8   2.5404e-02   11.8     1068
 1732.1  9225.9   3.26!   17.4    2.09      8352    3.3   1.7405e-01    3.3     1410
 1758.2  9364.5   2.89    14.2    1.03      2799    6.5   5.8325e-02    6.5     1301
 1888.8 10060.5   3.01     3.7    0.81       430   33.9   8.9524e-03   33.9     1478
 1920.1 10226.8   3.00    23.6    0.85      6084    3.5   1.2679e-01    3.5     1366
 2243.6 11949.8   3.93!   20.9    2.24     13859    2.5   2.8882e-01    2.5     2145
 2754.9 14673.1   3.75    97.0    6.64     85765    0.8   1.7873e+00    0.8      -16

 ! indicates the Iterative Peak Width fitting reached a limiting value.
