
                       be used for evaluation purposes
                                                            21-Mar-2019 10:23
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AV022819_FP02_5cm_room131.Chn    
 Sample Title :                                                  

 Spectrum saved on 28-Feb-2019 at 18:19    Collected on 28-Feb-2019 at 16:03
 Sample  Taken  on 28-Feb-2019 at 16:03    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   63.3   337.0   0.94     3.8    1.09       192   54.5   2.3953e-02   54.5      922
   72.9   387.9   0.95     7.2    0.88       895   11.8   1.1152e-01   11.8      991
   75.0   399.5   0.95    13.1    0.88      1593    7.8   1.9848e-01    7.8      892
   84.8   451.3   0.97     3.6    1.10       645   17.3   8.0405e-02   17.3      987
   87.4   465.4   0.97     3.6    1.10       179   52.6   2.2260e-02   52.6      888
   93.3   496.9   0.98     5.9    1.14       680   16.6   8.4788e-02   16.6     1086
  122.2   650.8   1.00    17.3    0.79      2604    4.9   3.2447e-01    4.9      927
  127.4   678.3   1.01    13.8    0.79      2086    5.4   2.5993e-01    5.4      927
  136.6   727.4   1.03     5.1    0.70       329   29.3   4.0982e-02   29.3      970
  171.6   913.7   1.07     9.3    0.60      1233    9.4   1.5368e-01    9.4     1007
  184.8   984.1   1.08     9.8    1.35      1465   13.8   1.8260e-01   13.8     1126
  190.5  1014.4   1.07    17.4    0.89      3452    4.2   4.3024e-01    4.2     1026
  245.7  1308.3   1.15     9.1    0.87      1115   10.0   1.3896e-01   10.0      911
  336.5  1792.2   1.25     4.0    1.15       439   23.7   5.4733e-02   23.7      934
  439.0  2338.3   1.37     4.9    0.70       326   22.5   4.0642e-02   22.5      444
  511.4  2723.6   2.98    14.9    1.60     30279    1.2   3.7735e+00    1.2     1280
  558.9  2976.7   1.51     5.5    1.14       385   21.1   4.8014e-02   21.1      497
  725.4  3863.8   1.69     3.8    0.83       383   19.8   4.7741e-02   19.8      411
  757.2  4033.2   1.73     3.3    0.72       132   48.9   1.6429e-02   48.9      346
  811.3  4321.1   1.78    25.1    1.13      5213    2.7   6.4964e-01    2.7      172
  909.7  4845.0   1.92    55.3    1.88     27038    1.3   3.3697e+00    1.3      115
 1116.0  5943.8   2.14     3.4    0.88       217   25.0   2.7088e-02   25.0      188
 1369.3  7293.4   2.42    19.7    1.26      3837    2.9   4.7818e-01    2.9       25
 1378.3  7341.1   2.43    18.6    1.26      3088    3.6   3.8486e-01    3.6       25
 1714.2  9130.3   2.82     3.6    0.77       128   22.7   1.5997e-02   22.7       23
 1732.5  9227.6   2.84     3.7    0.97       161   22.5   2.0042e-02   22.5       47
 1758.5  9366.2   2.87     4.5    0.94       227   16.3   2.8276e-02   16.3       27
 1920.4 10228.5   3.05     6.9    0.87       441   10.1   5.4922e-02   10.1       26
 2243.7 11950.8   3.42     3.9    0.94       285   14.6   3.5531e-02   14.6       37
 2755.2 14674.8   3.65    15.4    0.71      1888    4.3   2.3526e-01    4.3        3
