
                       be used for evaluation purposes
                                                            21-Mar-2019 10:27
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AW022819_FP03_5cm_room131.Chn    
 Sample Title :                                                  

 Spectrum saved on 28-Feb-2019 at 19:33    Collected on 28-Feb-2019 at 18:20
 Sample  Taken  on 28-Feb-2019 at 18:20    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   63.2   336.7   0.94     3.4    0.64       131   52.6   3.0436e-02   52.6      398
   72.9   388.0   0.96     6.0    0.73       444   17.0   1.0295e-01   17.0      486
   75.0   399.2   0.96     9.0    0.73       797   10.8   1.8474e-01   10.8      486
   84.9   451.8   0.97     3.8    0.79       364   21.3   8.4336e-02   21.3      499
   87.4   465.6   0.97     3.6    0.79       118   54.7   2.7475e-02   54.7      449
   93.2   496.4   0.98     3.4    1.01       165   46.1   3.8288e-02   46.1      509
  122.2   650.7   1.00    18.1    1.03      2566    4.4   5.9499e-01    4.4      429
  127.3   678.1   1.01    14.5    1.03      1788    5.6   4.1465e-01    5.6      429
  136.7   728.1   1.03     4.4    1.03       309   24.1   7.1595e-02   24.1      433
  171.5   913.3   1.07     8.0    1.07       752   11.4   1.7447e-01   11.4      488
  184.8   984.3   1.08     6.6    1.31       444   33.2   1.0298e-01   33.2      670
  190.5  1014.5   1.04    12.6    1.25      1789    5.9   4.1493e-01    5.9      502
  245.7  1308.3   1.15     7.0    1.04       585   13.5   1.3570e-01   13.5      447
  336.6  1792.7   1.25     4.9    0.95       263   27.5   6.0995e-02   27.5      448
  438.9  2337.5   1.37     3.8    0.77       144   34.8   3.3452e-02   34.8      209
  511.4  2723.7   3.03    10.6    1.24     14746    1.7   3.4198e+00    1.7      544
  558.9  2976.5   1.51     3.8    0.99       211   27.4   4.8903e-02   27.4      237
  725.5  3864.4   1.69     3.6    0.94       188   29.3   4.3655e-02   29.3      207
  811.3  4321.0   1.84    18.2    1.09      2910    3.6   6.7487e-01    3.6       87
  909.6  4844.9   1.95    37.5    1.47     12637    1.7   2.9308e+00    1.7       55
 1116.0  5944.2   2.14     3.3    0.69        71   53.8   1.6363e-02   53.8       96
 1369.3  7293.4   2.50    12.7    1.04      1631    4.9   3.7813e-01    4.9       11
 1378.2  7340.7   2.51    12.7    1.04      1567    4.9   3.6351e-01    4.9       11
 1714.0  9129.1   2.82     3.6    0.68        44   52.6   1.0317e-02   52.6       24
 1732.5  9227.5   2.84     3.5    0.83        63   40.5   1.4500e-02   40.5       21
 1758.3  9365.1   2.87     3.4    0.79        93   29.3   2.1559e-02   29.3       22
 1920.2 10227.7   3.05     4.1    0.77       235   15.2   5.4603e-02   15.2       13
 2243.7 11950.5   3.42     3.5    0.90       110   28.2   2.5413e-02   28.2       25
 2755.2 14674.8   4.00     9.1    0.83       875    6.8   2.0283e-01    6.8       -9
