
                       be used for evaluation purposes
                                                            21-Mar-2019 10:30
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AX022819_FP04_5cm_room131.Chn    
 Sample Title :                                                  

 Spectrum saved on 28-Feb-2019 at 20:14    Collected on 28-Feb-2019 at 19:34
 Sample  Taken  on 28-Feb-2019 at 19:34    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.9   387.9   0.95     4.0    1.34       211   25.2   9.0213e-02   25.2      221
   75.1   399.6   0.96     7.6    1.34       364   15.8   1.5584e-01   15.8      199
   84.7   450.8   0.97     3.6    0.33        98   50.7   4.2126e-02   50.7      259
   93.2   496.2   0.98     3.4    1.36       120   46.1   5.1363e-02   46.1      234
  122.2   650.7   1.02    11.2    0.84      1180    6.4   5.0532e-01    6.4      209
  127.4   678.3   0.96    10.4    0.86       831    7.9   3.5595e-01    7.9      203
  136.6   727.5   1.03     3.4    0.91       139   35.0   5.9340e-02   35.0      214
  171.5   913.5   1.07     7.8    1.25       387   16.2   1.6573e-01   16.2      216
  184.7   983.8   1.08     5.0    1.26       270   19.0   1.1550e-01   19.0      231
  190.5  1014.3   1.09     9.8    1.26       777    8.7   3.3291e-01    8.7      231
  245.7  1308.6   1.15     6.0    0.63       291   18.5   1.2482e-01   18.5      214
  336.7  1793.3   1.25     3.5    0.89       100   47.8   4.2782e-02   47.8      205
  511.4  2723.7   2.90     7.1    1.43      6437    2.7   2.7570e+00    2.7      283
  811.3  4320.9   1.85    11.3    1.13      1379    5.2   5.9060e-01    5.2       31
  909.7  4845.1   1.91    25.9    0.88      5525    2.4   2.3663e+00    2.4       20
 1116.3  5945.4   2.14     3.3    1.08        43   57.6   1.8242e-02   57.6       34
 1369.3  7293.1   2.42     8.3    0.76       628    7.4   2.6913e-01    7.4        6
 1378.4  7341.5   2.44     8.5    0.76       667    7.3   2.8553e-01    7.3        6
 1758.6  9367.0   2.87     3.3    0.46        39   53.3   1.6720e-02   53.3        7
 1920.5 10229.1   3.05     3.6    0.57        69   33.4   2.9584e-02   33.4        6
 2755.3 14675.4   4.00     7.0    0.69       357   11.9   1.5288e-01   11.9       -6
