
                       be used for evaluation purposes
                                                            21-Mar-2019 10:32
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AY022819_FP06_5cm_room131.Chn    
 Sample Title :                                                  

 Spectrum saved on 28-Feb-2019 at 20:50    Collected on 28-Feb-2019 at 20:15
 Sample  Taken  on 28-Feb-2019 at 20:15    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.9   387.9   0.96     4.2    1.29       278   22.3   1.3525e-01   22.3      306
   74.9   399.0   0.96     6.2    1.29       510   14.2   2.4850e-01   14.2      306
   84.8   451.4   0.97     3.8    1.05       152   43.0   7.3856e-02   43.0      327
  122.2   650.7   0.98    14.1    0.75      1580    5.2   7.7007e-01    5.2      291
  127.3   678.1   0.98    12.2    0.75      1188    6.7   5.7891e-01    6.7      291
  136.7   728.0   1.03     3.7    0.69       201   27.7   9.7770e-02   27.7      258
  171.5   913.4   1.07     5.8    0.86       586   12.0   2.8578e-01   12.0      322
  184.9   984.7   1.08     4.5    1.35       295   23.6   1.4374e-01   23.6      341
  190.5  1014.4   1.03    11.4    0.93      1099    7.4   5.3555e-01    7.4      323
  245.7  1308.3   1.15     6.4    0.51       478   12.7   2.3290e-01   12.7      258
  336.5  1792.1   1.25     3.4    0.96       119   46.6   5.8168e-02   46.6      291
  511.4  2723.6   2.90     9.5    1.40      9306    2.1   4.5349e+00    2.1      393
  558.9  2977.0   1.51     3.6    0.62       101   42.4   4.9353e-02   42.4      150
  725.5  3864.4   1.70     3.5    0.78       102   39.4   4.9574e-02   39.4      129
  811.2  4320.8   1.80    16.8    1.28      2314    4.0   1.1276e+00    4.0       49
  909.7  4845.0   1.92    29.5    1.46      7627    2.2   3.7168e+00    2.2       29
 1116.5  5946.5   2.14     3.4    1.06        58   51.3   2.8293e-02   51.3       48
 1369.4  7293.9   2.37    11.1    0.89       832    6.7   4.0554e-01    6.7       12
 1378.3  7341.0   2.38    11.9    0.89      1025    6.1   4.9941e-01    6.1       12
 1758.7  9367.1   2.87     3.4    0.79        52   44.7   2.5344e-02   44.7       12
 1920.3 10227.8   3.05     3.3    0.72       112   24.9   5.4427e-02   24.9       13
 2242.9 11946.4   3.42     3.3    0.64        54   44.0   2.6525e-02   44.0       16
 2754.9 14673.4   4.00     6.9    0.67       435   10.4   2.1183e-01   10.4       -2
