
                       be used for evaluation purposes
                                                            21-Mar-2019 10:36
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AZ022819_FP07_5cm_room131.Chn    
 Sample Title :                                                  

 Spectrum saved on 28-Feb-2019 at 21:26    Collected on 28-Feb-2019 at 20:51
 Sample  Taken  on 28-Feb-2019 at 20:51    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.9   387.9   0.96     4.5    0.64       228   22.2   1.1075e-01   22.2      225
   75.1   399.6   0.96     5.9    0.64       422   13.2   2.0521e-01   13.2      203
   84.8   451.4   0.97     3.7    0.86       159   35.5   7.7247e-02   35.5      245
  122.2   650.6   0.99    12.4    0.86      1237    6.3   6.0174e-01    6.3      233
  127.3   678.1   1.00     9.1    0.86       792    8.0   3.8530e-01    8.0      233
  136.6   727.6   1.03     3.6    0.78       123   40.9   5.9882e-02   40.9      248
  171.5   913.1   1.07     4.2    1.09       350   16.6   1.7044e-01   16.6      214
  184.8   984.3   1.08     4.3    0.92       220   23.2   1.0698e-01   23.2      278
  190.5  1014.4   1.09     9.6    0.92       911    7.6   4.4321e-01    7.6      278
  245.8  1308.9   1.15     4.7    0.97       289   18.6   1.4071e-01   18.6      235
  336.5  1792.4   1.25     3.5    0.86       127   40.9   6.1722e-02   40.9      252
  511.4  2723.5   2.90     7.7    1.02      7270    2.4   3.5380e+00    2.4      315
  559.0  2977.3   1.51     3.4    0.79        84   45.5   4.0801e-02   45.5      117
  725.4  3863.5   1.70     3.5    1.20       113   33.0   5.5136e-02   33.0       90
  811.3  4320.9   1.80    17.9    1.03      2443    3.9   1.1886e+00    3.9       40
  909.6  4844.9   1.91    24.9    1.34      5799    2.4   2.8221e+00    2.4       19
 1369.3  7293.0   2.42     8.2    1.05       733    7.5   3.5687e-01    7.5        7
 1378.4  7341.4   2.44     7.9    1.05       645    7.7   3.1394e-01    7.7        8
 1920.5 10229.0   3.05     3.5    0.79        70   34.9   3.3884e-02   34.9       11
 2243.9 11951.7   3.42     3.8    0.71        46   53.6   2.2467e-02   53.6       17
 2755.3 14675.7   4.00     8.7    1.01       385   12.0   1.8737e-01   12.0       -4
