
                       be used for evaluation purposes
                                                            21-Mar-2019 10:38
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: BA022819_FP08_5cm_room131.Chn    
 Sample Title :                                                  

 Spectrum saved on 28-Feb-2019 at 21:59    Collected on 28-Feb-2019 at 21:27
 Sample  Taken  on 28-Feb-2019 at 21:27    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.8   387.7   0.96     5.5    0.41       330   18.3   1.7687e-01   18.3      318
   75.0   399.4   0.96     6.3    0.41       514   12.6   2.7553e-01   12.6      286
   84.9   451.9   0.97     3.5    1.12       178   34.8   9.5188e-02   34.8      335
   93.2   496.4   0.98     3.7    1.36       141   43.5   7.5562e-02   43.5      330
  122.2   650.7   0.98    15.1    0.80      1747    5.1   9.3550e-01    5.1      320
  127.3   678.1   0.98    11.7    0.80      1162    6.5   6.2264e-01    6.5      320
  136.6   727.3   1.03     4.2    0.73       202   28.4   1.0829e-01   28.4      281
  171.6   913.9   1.07     4.2    1.05       377   18.1   2.0170e-01   18.1      327
  184.8   984.1   1.06     4.5    0.97       293   20.4   1.5691e-01   20.4      318
  190.5  1014.3   1.07    11.4    0.97      1160    6.8   6.2148e-01    6.8      350
  245.6  1308.0   1.15     5.5    0.82       328   18.7   1.7586e-01   18.7      328
  336.5  1792.0   1.25     3.4    0.51        99   55.7   5.3216e-02   55.7      307
  439.2  2339.2   1.37     3.7    1.13       102   41.7   5.4462e-02   41.7      142
  511.4  2723.7   3.04    10.3    1.69      9935    2.2   5.3216e+00    2.2      433
  558.8  2976.3   1.51     3.8    0.76       115   39.2   6.1657e-02   39.2      170
  725.1  3861.9   1.69     3.6    1.22       110   40.4   5.9082e-02   40.4      133
  811.2  4320.8   1.80    20.5    1.04      3598    3.1   1.9271e+00    3.1       37
  909.7  4845.0   1.93    29.0    0.77      7629    2.1   4.0864e+00    2.1       23
 1116.2  5944.9   2.14     3.9    0.93        61   50.1   3.2625e-02   50.1       54
 1369.3  7293.4   2.40    10.7    0.71      1004    5.6   5.3786e-01    5.6       12
 1378.3  7341.0   2.41    11.0    0.71       946    6.2   5.0656e-01    6.2       11
 1758.6  9366.6   2.87     3.5    0.81        48   47.3   2.5705e-02   47.3       12
 1920.7 10230.1   3.05     3.9    0.90       116   25.5   6.2273e-02   25.5       10
 2244.4 11954.4   3.42     3.5    0.73        75   35.7   3.9940e-02   35.7       11
 2755.4 14676.0   4.00     7.8    0.75       549    9.3   2.9426e-01    9.3       -2
