
                       be used for evaluation purposes
                                                            21-Mar-2019 10:42
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: BB022819_FP09_5cm_room131.Chn    
 Sample Title :                                                  

 Spectrum saved on 28-Feb-2019 at 22:41    Collected on 28-Feb-2019 at 22:00
 Sample  Taken  on 28-Feb-2019 at 22:00    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.8   387.8   0.95     3.3    0.53       255   22.9   1.0668e-01   22.9      322
   75.0   399.1   0.96     6.3    0.53       484   13.4   2.0207e-01   13.4      322
   84.8   451.7   0.97     4.2    0.80       201   30.9   8.3891e-02   30.9      335
  122.2   650.7   0.99    13.0    0.93      1667    5.4   6.9627e-01    5.4      288
  127.3   678.1   0.99     9.8    0.93       966    7.4   4.0338e-01    7.4      288
  136.5   727.1   1.03     3.7    0.54       167   33.1   6.9885e-02   33.1      276
  171.5   913.3   1.07     4.2    0.92       352   18.1   1.4706e-01   18.1      316
  184.8   984.4   1.08     4.3    1.09       206   51.5   8.5902e-02   51.5      387
  190.5  1014.3   1.10    10.3    0.84      1129    7.8   4.7173e-01    7.8      318
  245.6  1308.1   1.15     4.5    0.72       269   23.0   1.1246e-01   23.0      324
  336.6  1792.5   1.25     3.5    0.60       145   38.7   6.0693e-02   38.7      311
  439.1  2338.6   1.37     3.3    1.13        90   46.8   3.7406e-02   46.8      138
  511.4  2723.7   2.90     8.3    1.45      8983    2.2   3.7522e+00    2.2      453
  558.8  2976.2   1.51     3.8    0.86       120   39.4   5.0084e-02   39.4      183
  725.4  3863.4   1.70     3.5    1.30       127   32.3   5.3192e-02   32.3      110
  756.9  4031.2   1.73     3.4    0.96        71   46.8   2.9606e-02   46.8       73
  811.3  4320.9   1.81    23.4    1.02      4323    2.9   1.8058e+00    2.9       40
  909.6  4844.8   1.93    26.2    1.08      6612    2.3   2.7618e+00    2.3       38
 1116.4  5946.0   2.14     3.5    1.25        59   47.3   2.4502e-02   47.3       37
 1369.3  7293.3   2.33    12.1    1.11       910    6.3   3.8007e-01    6.3       13
 1378.3  7341.0   2.34    10.2    1.11       793    7.1   3.3121e-01    7.1       13
 1732.0  9225.0   2.84     3.5    0.52        43   49.5   1.8109e-02   49.5       13
 1758.1  9364.0   2.87     3.5    0.64        45   48.1   1.8632e-02   48.1       13
 1920.2 10227.5   3.05     3.6    0.61        94   27.5   3.9467e-02   27.5       16
 2755.2 14674.8   4.00     9.3    0.75       593    8.7   2.4751e-01    8.7       -5
