
                       be used for evaluation purposes
                                                            20-Mar-2019 15:30
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AB022619_FP02_5cm_131.Chn        
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at  7:27    Collected on 26-Feb-2019 at  7:21
 Sample  Taken  on 26-Feb-2019 at  7:21    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   67.4   359.0   1.00    11.2    1.05      1629    8.3   5.4840e+00    8.3      947
   72.8   387.6   0.88     8.2    1.05       685   24.7   2.3068e+00   24.7     1021
   74.9   399.0   0.88    11.4    1.05      1251   13.9   4.2115e+00   13.9     1021
   84.8   451.5   0.97     5.0    1.31       527   22.1   1.7738e+00   22.1      905
  122.0   649.9   1.01     3.3    0.87       183   46.2   6.1774e-01   46.2      991
  127.3   677.7   1.02     5.5    0.87       455   20.1   1.5326e+00   20.1      991
  138.4   737.1   1.03    14.7    0.93      2352    5.6   7.9190e+00    5.6      982
  156.7   834.7   1.05     3.9    0.93       312   35.1   1.0515e+00   35.1     1214
  202.7  1079.5   1.10     8.7    0.95      1334    9.1   4.4929e+00    9.1     1103
  336.5  1792.1   1.31    41.5    0.81     15910    1.6   5.3570e+01    1.6      851
  355.6  1893.7   1.28     4.2    0.65       281   28.3   9.4680e-01   28.3      581
  388.9  2071.0   1.36     3.6    0.73       226   31.7   7.5961e-01   31.7      500
  391.9  2087.5   1.37    17.5    0.73      3242    3.8   1.0915e+01    3.8      464
  417.1  2221.7   1.40    30.1    1.00      8903    2.1   2.9976e+01    2.1      425
  438.9  2337.4   1.37     3.7    0.73       182   34.3   6.1429e-01   34.3      331
  463.6  2469.0   1.40     3.3    1.04       222   29.4   7.4703e-01   29.4      348
  479.8  2555.4   1.42     6.9    1.17       645   11.9   2.1702e+00   11.9      348
  511.2  2722.9   2.93    14.9    3.11     25084    1.4   8.4456e+01    1.4     1121
  555.8  2960.3   1.50     4.9    1.21       313   21.0   1.0548e+00   21.0      298
  617.9  3291.1   1.57     3.4    0.73       215   30.7   7.2281e-01   30.7      320
  670.0  3568.7   1.63     9.3    0.93       890    9.2   2.9964e+00    9.2      324
  819.0  4362.1   1.87    15.5    1.25      2222    5.0   7.4830e+00    5.0      360
  909.5  4843.9   1.97    11.2    0.97      1573    6.5   5.2961e+00    6.5      357
  962.5  5126.2   1.96     6.3    0.76       476   15.8   1.6019e+00   15.8      326
 1097.7  5846.4   2.15    30.3    1.32      8712    2.3   2.9335e+01    2.3      300
 1294.0  6892.0   2.41    33.9    1.20     11093    1.9   3.7349e+01    1.9       68
 1369.0  7291.9   2.42    13.9    1.04      1896    4.5   6.3827e+00    4.5       49
 1378.0  7339.8   2.43     5.3    1.04       370   12.0   1.2472e+00   12.0       49
 1412.6  7523.9   2.47     3.3    1.03        67   42.3   2.2671e-01   42.3       44
 1508.1  8032.4   2.69    11.7    0.75      1198    5.6   4.0338e+00    5.6       45
 1601.8  8531.6   2.69     3.4    0.99        59   45.0   1.9949e-01   45.0       38
 1732.0  9224.9   2.84     3.5    1.06        74   43.3   2.4769e-01   43.3       52
 1752.9  9336.7   2.86     4.4    0.86       228   18.8   7.6639e-01   18.8       57
 2112.8 11253.6   3.16    11.8    0.93      1370    5.4   4.6137e+00    5.4       18
 2243.4 11948.8   3.42     3.6    0.84       145   22.9   4.8869e-01   22.9       29
 2391.1 12735.9   3.58     3.3    0.83        66   42.7   2.2266e-01   42.7       31
 2754.7 14672.3   4.00     9.7    0.83       959    6.5   3.2289e+00    6.5       -9
