
                       be used for evaluation purposes
                                                            20-Mar-2019 15:37
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AC022619_FP03_5cm_131.Chn        
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at  7:35    Collected on 26-Feb-2019 at  7:27
 Sample  Taken  on 26-Feb-2019 at  7:27    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   67.4   358.9   0.92    11.2    0.64      1396    8.7   4.6832e+00    8.7      940
   72.8   387.4   0.99     7.1    1.16       780   13.3   2.6164e+00   13.3      862
   75.0   399.1   1.00    11.0    1.16      1383    9.6   4.6406e+00    9.6      862
   84.8   451.5   0.97     5.2    0.71       565   16.2   1.8960e+00   16.2      770
   87.5   465.9   0.97     3.5    0.71       178   47.9   5.9747e-01   47.9      855
  122.3   651.1   1.01     3.4    1.11       181   44.9   6.0697e-01   44.9      894
  127.3   677.9   1.02     4.6    1.11       447   19.6   1.4991e+00   19.6      894
  138.4   737.1   1.06    14.4    0.80      2360    5.6   7.9210e+00    5.6      894
  156.7   834.3   1.05     3.8    0.88       342   30.7   1.1465e+00   30.7     1082
  202.6  1079.2   1.10     9.5    1.22      1306    9.3   4.3818e+00    9.3     1039
  336.5  1792.1   1.29    42.3    1.01     15457    1.6   5.1870e+01    1.6      730
  355.8  1894.7   1.28     4.6    1.12       249   31.1   8.3485e-01   31.1      521
  392.0  2087.5   1.31    17.2    1.33      3028    4.2   1.0160e+01    4.2      490
  417.2  2221.8   1.41    30.1    0.91      8484    2.2   2.8470e+01    2.2      349
  438.9  2337.8   1.37     3.6    0.92       136   44.7   4.5478e-01   44.7      306
  463.6  2468.9   1.40     4.3    0.89       214   29.2   7.1796e-01   29.2      316
  479.9  2555.7   1.42     6.3    0.72       616   11.8   2.0665e+00   11.8      310
  511.3  2723.0   2.97    11.5    3.13     21270    1.6   7.1377e+01    1.6      926
  555.9  2960.7   1.50     6.0    0.83       379   16.8   1.2716e+00   16.8      279
  617.8  3290.6   1.57     3.3    1.31       215   29.8   7.2098e-01   29.8      274
  670.0  3568.5   1.63     7.3    1.06       666   11.5   2.2365e+00   11.5      286
  819.0  4362.2   1.90    13.9    1.02      2154    5.1   7.2277e+00    5.1      324
  909.5  4844.0   1.90    10.0    1.01      1405    6.8   4.7157e+00    6.8      340
  962.4  5125.9   1.96     5.3    0.89       455   16.2   1.5263e+00   16.2      295
 1097.7  5846.4   2.15    30.3    1.06      8532    2.1   2.8632e+01    2.1      257
 1294.0  6891.9   2.44    32.1    1.50     10484    1.8   3.5182e+01    1.8       75
 1369.2  7292.4   2.42    13.2    1.13      1716    4.7   5.7587e+00    4.7       54
 1378.0  7339.8   2.43     5.5    1.13       329   13.9   1.1040e+00   13.9       54
 1508.1  8032.5   2.73    10.4    1.04      1160    5.7   3.8912e+00    5.7       23
 1601.4  8529.6   2.69     3.6    1.02        73   39.9   2.4338e-01   39.9       37
 1732.5  9228.0   2.84     3.3    0.95        89   33.5   2.9791e-01   33.5       37
 1752.9  9336.5   2.86     5.3    1.18       253   16.8   8.4992e-01   16.8       47
 2112.8 11253.2   3.15    11.4    0.90      1321    5.3   4.4326e+00    5.3       12
 2243.1 11947.5   3.42     3.7    0.97       125   26.9   4.2012e-01   26.9       22
 2391.1 12735.9   3.58     3.7    0.70        74   36.7   2.4818e-01   36.7       26
 2754.8 14672.8   4.00     9.2    0.92       878    6.9   2.9448e+00    6.9       -4
