
                       be used for evaluation purposes
                                                            20-Mar-2019 15:41
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AD022619_FP04_5cm_131.Chn        
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at  7:43    Collected on 26-Feb-2019 at  7:36
 Sample  Taken  on 26-Feb-2019 at  7:36    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   67.4   359.0   0.92    11.7    1.06      1408    8.6   3.8989e+00    8.6      944
   72.8   387.6   0.97     5.9    1.15       743   14.0   2.0578e+00   14.0      790
   74.9   398.9   0.97    11.9    1.15      1448    8.3   4.0099e+00    8.3      878
   84.8   451.4   0.97     3.7    1.02       540   19.5   1.4949e+00   19.5      828
  122.2   650.7   1.01     3.5    1.05       171   48.0   4.7378e-01   48.0      900
  127.3   677.9   1.02     3.8    1.05       374   23.9   1.0354e+00   23.9      900
  138.4   737.2   1.07    14.8    0.66      2502    5.3   6.9302e+00    5.3      927
  156.5   833.3   1.05     3.7    0.70       216   49.2   5.9808e-01   49.2     1162
  202.7  1079.3   1.13    10.1    1.21      1194    9.9   3.3088e+00    9.9     1026
  336.5  1792.1   1.30    43.7    0.70     17755    1.5   4.9183e+01    1.5      699
  355.6  1893.9   1.28     3.5    1.05       269   29.3   7.4397e-01   29.3      459
  388.8  2070.5   1.39     3.4    1.14       193   37.1   5.3333e-01   37.1      409
  391.9  2087.5   1.39    19.0    1.14      3379    3.8   9.3596e+00    3.8      409
  417.2  2221.7   1.39    31.7    0.86      9326    1.9   2.5833e+01    1.9      373
  439.0  2337.9   1.37     3.4    1.31       143   44.2   3.9628e-01   44.2      327
  463.6  2469.2   1.40     3.5    1.02       216   29.1   5.9875e-01   29.1      327
  479.7  2554.9   1.42     7.2    1.22       701   10.6   1.9407e+00   10.6      314
  511.3  2723.0   2.99    13.4    3.06     18661    1.8   5.1692e+01    1.8      941
  555.9  2960.6   1.50     4.5    1.00       316   21.0   8.7585e-01   21.0      294
  617.7  3290.2   1.57     3.3    0.79       162   38.5   4.4748e-01   38.5      309
  670.1  3569.0   1.63     8.0    0.91       579   13.3   1.6032e+00   13.3      318
  810.9  4319.1   1.83     3.5    1.11       140   41.9   3.8830e-01   41.9      355
  819.0  4362.2   1.84    15.5    1.11      2364    4.5   6.5491e+00    4.5      355
  909.5  4844.1   2.02    11.7    0.89      1502    6.7   4.1602e+00    6.7      354
  962.4  5126.0   1.96     4.4    0.86       358   16.5   9.9279e-01   16.5      287
  972.7  5181.0   1.98     3.4    0.86       104   49.6   2.8721e-01   49.6      287
 1097.6  5846.3   2.16    31.4    1.04      9340    2.0   2.5873e+01    2.0      295
 1294.0  6892.1   2.38    34.9    1.23     11528    1.8   3.1932e+01    1.8       77
 1369.1  7292.0   2.53    12.7    0.98      1524    5.1   4.2208e+00    5.1       48
 1378.0  7339.6   2.54     5.7    0.98       337   12.8   9.3390e-01   12.8       48
 1508.1  8032.5   2.73    11.7    0.83      1266    5.6   3.5081e+00    5.6       36
 1601.7  8531.0   2.69     3.6    1.13        66   46.9   1.8239e-01   46.9       44
 1753.0  9337.0   2.86     4.2    1.06       292   15.8   8.0870e-01   15.8       50
 1920.3 10228.1   3.05     3.3    1.13        71   42.1   1.9607e-01   42.1       36
 2112.8 11253.3   3.15    12.9    0.75      1473    4.9   4.0796e+00    4.9       21
 2242.9 11946.5   3.42     3.6    1.03        80   37.6   2.2283e-01   37.6       25
 2390.9 12734.5   3.58     3.8    0.74        66   41.0   1.8226e-01   41.0       20
 2754.7 14672.1   4.00     9.8    0.95       802    7.4   2.2208e+00    7.4       -6
