
                       be used for evaluation purposes
                                                            20-Mar-2019 16:25
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AL022619_FP03_5cm_room131.Chn    
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at 15:24    Collected on 26-Feb-2019 at 15:10
 Sample  Taken  on 26-Feb-2019 at 15:10    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.8   387.8   0.96     7.2    1.32       327   22.5   3.9273e-01   22.5      417
   75.0   399.2   0.96     5.2    1.32       501   14.5   6.0171e-01   14.5      417
   84.8   451.3   0.97     3.6    0.65       205   31.9   2.4637e-01   31.9      399
  122.1   650.0   1.01     3.8    1.05       222   26.6   2.6714e-01   26.6      390
  127.3   677.7   1.02     8.4    1.05       500   14.4   6.0112e-01   14.4      390
  171.5   913.2   1.07     3.4    0.68       247   30.5   2.9666e-01   30.5      539
  184.7   983.9   1.08     3.8    1.10       248   27.4   2.9859e-01   27.4      523
  190.4  1013.8   1.09     4.5    1.10       330   20.7   3.9674e-01   20.7      523
  202.7  1079.7   1.10     7.4    1.11       682   11.2   8.1927e-01   11.2      400
  245.6  1308.1   1.15     4.0    0.87       182   33.1   2.1848e-01   33.1      354
  336.5  1792.3   1.25    38.5    1.04     12768    1.7   1.5347e+01    1.7      276
  388.9  2071.4   1.31     3.3    1.09       106   38.2   1.2732e-01   38.2      140
  392.0  2087.7   1.32     3.6    1.09       307   16.7   3.6929e-01   16.7      140
  417.0  2221.1   1.35     3.3    0.98        71   53.4   8.4746e-02   53.4      111
  439.0  2338.3   1.37     5.0    0.81       346   13.8   4.1582e-01   13.8      109
  479.8  2555.3   1.42     6.7    0.84       365   13.1   4.3929e-01   13.1      104
  511.3  2723.1   2.90    10.0    2.42      9334    2.2   1.1219e+01    2.2      384
  617.9  3291.0   1.57     3.4    0.47        88   40.0   1.0534e-01   40.0      101
  811.0  4319.7   1.79     6.1    1.00       403   11.6   4.8423e-01   11.6       58
  909.5  4844.0   1.93    19.0    0.80      3951    3.0   4.7487e+00    3.0       70
 1369.1  7292.1   2.38    18.7    1.02      3445    3.2   4.1401e+00    3.2       15
 1378.0  7339.5   2.39     8.7    1.02       738    7.3   8.8644e-01    7.3       16
 1732.1  9225.6   2.84     3.8    0.87       175   19.4   2.1080e-01   19.4       28
 1758.0  9363.4   2.87     3.4    0.72        56   44.0   6.6938e-02   44.0       25
 1920.0 10226.7   3.05     3.8    0.90        92   31.8   1.1054e-01   31.8       27
 2243.5 11949.3   3.42     3.6    1.04       279   15.3   3.3513e-01   15.3       41
 2754.7 14672.3   3.74    13.8    0.96      1913    4.4   2.2989e+00    4.4       -3
