
                       be used for evaluation purposes
                                                            20-Mar-2019 16:50
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AM022619_FP04_5cm_room131.Chn    
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at 15:38    Collected on 26-Feb-2019 at 15:25
 Sample  Taken  on 26-Feb-2019 at 15:25    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.8   387.5   0.95     4.1    1.29       284   21.5   3.9212e-01   21.5      265
   75.0   399.3   0.96     7.8    1.29       412   16.7   5.7002e-01   16.7      295
   84.9   451.9   0.97     3.4    0.90       148   38.8   2.0508e-01   38.8      298
  122.2   650.6   1.01     3.6    0.97       181   29.4   2.5064e-01   29.4      299
  127.3   677.9   1.02     4.3    0.97       364   15.7   5.0293e-01   15.7      299
  171.5   913.3   1.07     4.0    1.16       189   37.3   2.6196e-01   37.3      423
  184.9   984.5   1.08     3.4    1.09       178   32.9   2.4553e-01   32.9      394
  190.4  1013.9   1.09     3.9    1.09       231   25.5   3.2000e-01   25.5      358
  202.7  1079.4   1.10     5.5    0.73       492   13.3   6.8004e-01   13.3      323
  245.6  1308.0   1.15     3.5    0.65       129   37.1   1.7882e-01   37.1      246
  336.5  1792.3   1.26    35.0    1.40     10166    1.9   1.4061e+01    1.9      209
  388.9  2071.0   1.31     3.4    0.83        70   48.3   9.7244e-02   48.3       91
  391.9  2087.4   1.32     4.6    0.83       241   16.6   3.3361e-01   16.6       98
  438.9  2337.7   1.37     5.8    0.73       294   14.3   4.0711e-01   14.3       74
  479.8  2555.4   1.42     4.0    0.99       231   18.2   3.1941e-01   18.2       77
  511.3  2723.2   2.90     6.8    1.90      6866    2.6   9.4972e+00    2.6      268
  811.2  4320.4   1.79     6.1    1.04       295   13.7   4.0870e-01   13.7       39
  909.5  4844.1   1.94    18.0    0.66      2954    3.2   4.0854e+00    3.2       37
 1293.7  6890.5   2.34     3.4    0.65        67   33.8   9.2163e-02   33.8       15
 1369.1  7292.1   2.44    14.4    0.93      2340    3.9   3.2360e+00    3.9       12
 1378.0  7339.4   2.45     6.5    0.93       568    8.0   7.8493e-01    8.0       12
 1919.8 10225.3   3.05     3.9    0.72        64   39.7   8.8887e-02   39.7       18
 2243.5 11949.4   3.42     3.7    0.89       183   19.3   2.5250e-01   19.3       30
 2754.7 14672.5   3.77    11.4    0.76      1227    5.6   1.6974e+00    5.6        1
