
                       be used for evaluation purposes
                                                            21-Mar-2019  9:50
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AN022619_FP05_5cm_room131.Chn    
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at 15:50    Collected on 26-Feb-2019 at 15:41
 Sample  Taken  on 26-Feb-2019 at 15:41    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.8   387.8   0.95     3.7    1.00       261   20.8   5.0686e-01   20.8      250
   75.0   399.5   0.96     6.2    1.00       429   13.6   8.3388e-01   13.6      225
   84.9   451.8   0.97     4.3    0.88       213   26.9   4.1369e-01   26.9      269
  122.2   650.7   1.01     4.6    0.85       259   19.7   5.0344e-01   19.7      261
  127.3   678.1   1.02     5.8    0.85       556   11.9   1.0822e+00   11.9      261
  171.6   913.8   1.07     3.9    1.36       163   41.0   3.1639e-01   41.0      378
  184.9   984.7   1.08     3.7    1.14       159   35.1   3.0958e-01   35.1      340
  190.5  1014.6   1.09     4.6    1.14       231   24.5   4.4892e-01   24.5      340
  202.7  1079.5   1.10     4.9    0.85       320   18.6   6.2314e-01   18.6      284
  245.6  1308.2   1.15     4.1    0.74       174   27.5   3.3790e-01   27.5      215
  336.5  1792.3   1.29    33.9    0.65     10302    1.7   2.0042e+01    1.7      181
  392.0  2087.9   1.32     4.8    1.20       186   21.5   3.6219e-01   21.5       94
  438.9  2337.3   1.37     4.9    0.65       221   18.1   4.2949e-01   18.1       68
  479.7  2555.1   1.42     3.7    0.97       190   18.1   3.7006e-01   18.1       59
  511.3  2723.0   2.90     7.5    1.96      5534    2.7   1.0766e+01    2.7      199
  811.2  4320.4   1.79     5.9    1.03       335   11.4   6.5211e-01   11.4       34
  909.4  4843.8   1.91    15.8    0.88      2308    4.0   4.4912e+00    4.0       33
 1293.6  6890.2   2.34     3.6    0.71        38   54.2   7.3590e-02   54.2       18
 1369.1  7292.0   2.41    13.7    0.91      1831    4.4   3.5625e+00    4.4       10
 1378.0  7339.7   2.42     7.5    0.91       497    8.9   9.6775e-01    8.9       11
 1732.1  9225.6   2.84     3.8    0.68        91   27.9   1.7758e-01   27.9       17
 1920.1 10226.8   3.05     3.4    0.78        79   32.1   1.5286e-01   32.1       15
 2243.6 11950.2   3.42     3.4    0.85       145   22.0   2.8267e-01   22.0       21
 2754.5 14671.1   4.00     9.9    0.99       969    6.8   1.8853e+00    6.8       -8
