
                       be used for evaluation purposes
                                                            21-Mar-2019 10:00
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AP022619_FP07_5cm_room131.Chn    
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at 16:12    Collected on 26-Feb-2019 at 16:05
 Sample  Taken  on 26-Feb-2019 at 16:05    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.9   387.9   0.95     3.8    1.01       206   25.9   5.5736e-01   25.9      245
   75.0   399.2   0.96     6.3    1.01       358   17.0   9.7119e-01   17.0      245
   84.8   451.4   0.97     4.0    1.00        97   56.4   2.6174e-01   56.4      232
  122.1   650.1   1.01     4.2    0.90        91   50.6   2.4695e-01   50.6      236
  127.4   678.4   1.02     3.5    0.90       224   21.0   6.0792e-01   21.0      236
  184.7   983.4   1.08     3.9    1.37       185   29.4   5.0261e-01   29.4      322
  190.3  1013.4   1.09     3.3    1.37       153   34.2   4.1520e-01   34.2      322
  202.7  1079.4   1.10     5.6    0.76       291   20.1   7.8914e-01   20.1      266
  336.5  1792.3   1.27    35.2    0.59     10622    1.7   2.8787e+01    1.7      167
  392.0  2087.6   1.32     4.4    1.25       147   23.7   3.9747e-01   23.7       73
  438.9  2337.3   1.37     3.9    1.01       207   16.2   5.6125e-01   16.2       48
  479.9  2555.7   1.42     3.5    0.70       128   23.0   3.4656e-01   23.0       44
  511.3  2723.3   2.90     7.4    1.83      5081    2.9   1.3769e+01    2.9      192
  811.1  4320.1   1.79     6.9    0.86       307   11.5   8.3333e-01   11.5       29
  909.5  4844.2   1.92    14.3    0.72      1712    4.4   4.6391e+00    4.4       35
 1369.1  7292.0   2.40    14.5    0.79      1750    4.2   4.7433e+00    4.2       11
 1378.1  7340.1   2.41     5.5    0.79       308   11.5   8.3527e-01   11.5       11
 1731.7  9223.7   2.84     3.7    0.61        80   30.5   2.1682e-01   30.5       12
 1920.1 10227.0   3.05     3.5    0.70        47   47.9   1.2801e-01   47.9       12
 2242.9 11946.4   3.42     3.4    0.91       111   27.3   3.0060e-01   27.3       28
 2754.7 14672.5   3.70    10.3    0.61       827    6.9   2.2414e+00    6.9        4
