
                       be used for evaluation purposes
                                                            14-Mar-2019 13:38
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: Sum_Spec.dat                     
 Sample Title : Cs137                                            

 Spectrum saved on 25-Oct-2018 at 16:25    Collected on  8-Oct-2018 at 15:23
 Sample  Taken  on  8-Oct-2018 at 15:23    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 13-Mar-2019 at 17:27
            Peak Shape Calibration Performed on 13-Mar-2019 at 17:31

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   46.4   248.3   0.78!   10.9    1.13       918   14.7   6.3754e-03   14.7     1267
   53.3   285.0   0.92     5.4    1.54       733   20.0   5.0891e-03   20.0     1673
   57.8   309.1   0.93     3.4    1.06       400   35.0   2.7790e-03   35.0     1745
   59.3   317.0   0.93     6.0    1.06       899   17.6   6.2461e-03   17.6     1745
   63.2   337.9   0.89    18.1    1.13      3191    5.0   2.2163e-02    5.0     1810
   67.6   361.6   0.89    11.4    1.13      1855    7.7   1.2884e-02    7.7     1810
   72.7   388.8   0.93    12.8    1.02      2294    7.3   1.5934e-02    7.3     1841
   74.9   400.3   0.93    21.1    1.02      4306    4.2   2.9906e-02    4.2     1657
   77.0   411.3   0.93     3.7    1.02       328   41.0   2.2762e-03   41.0     1657
   84.5   451.9   1.10!    7.9    2.21      2583    7.1   1.7937e-02    7.1     1602
   87.3   466.5   1.11!    3.7    2.21       595   21.9   4.1296e-03   21.9     1602
   90.0   480.9   1.11!    3.5    2.21       237   54.0   1.6424e-03   54.0     1602
   92.6   494.7   1.11!   17.1    2.21      4864    3.8   3.3777e-02    3.8     1602
  100.0   534.6   0.98     6.7    1.40       751   16.3   5.2167e-03   16.3     1293
  139.9   747.2   1.02     4.9    1.03       351   28.9   2.4405e-03   28.9     1150
  143.8   768.0   1.03     5.2    1.03       689   16.0   4.7882e-03   16.0     1150
  152.5   814.5   1.04     3.5    1.58       360   32.6   2.5034e-03   32.6     1246
  163.4   872.6   1.05     3.9    0.66       410   26.5   2.8461e-03   26.5     1203
  185.8   992.2   1.01    20.8    0.72      3503    4.4   2.4328e-02    4.4     1086
  198.4  1059.6   1.09     5.4    1.18       532   22.3   3.6955e-03   22.3     1159
  205.4  1097.1   1.10     3.5    1.04       244   43.5   1.6935e-03   43.5     1216
  222.1  1186.0   1.11     3.9    1.19       311   33.9   2.1600e-03   33.9     1220
  238.7  1274.6   1.13     6.3    1.13       513   21.1   3.5628e-03   21.1     1101
  295.3  1576.5   1.20     3.6    1.20       191   52.6   1.3266e-03   52.6      845
  352.2  1880.2   1.26     4.4    0.81       268   33.7   1.8609e-03   33.7      768
  511.1  2728.7   2.88     6.9    1.61      3643    5.7   2.5299e-02    5.7     1300
  583.3  3113.9   1.52     3.8    0.98       223   40.3   1.5491e-03   40.3      681
  609.5  3253.9   1.55     4.7    0.66       271   34.3   1.8839e-03   34.3      771
  803.4  4288.5   1.77     3.3    0.98       154   51.4   1.0710e-03   51.4      461
  813.7  4343.5   1.78     3.5    0.97       194   38.9   1.3464e-03   38.9      434
  846.7  4519.4   1.82     3.4    1.12       130   58.9   9.0490e-04   58.9      437
  898.1  4794.2   1.90    41.2    1.71     15241    1.7   1.0584e-01    1.7      384
  911.6  4866.0   1.89     3.4    0.75       205   35.3   1.4215e-03   35.3      376
 1001.4  5345.0   1.99     3.7    1.08       182   38.9   1.2653e-03   38.9      356
 1121.2  5984.8   2.13     4.9    1.15       450   17.8   3.1257e-03   17.8      358
 1188.9  6346.3   2.20     4.2    1.26       217   34.0   1.5092e-03   34.0      319
 1221.5  6520.2   2.24     5.6    0.96       285   22.1   1.9787e-03   22.1      329
 1231.0  6570.5   2.25     3.5    0.96       116   50.8   8.0390e-04   50.8      329
 1324.9  7072.0   2.36     3.5    0.99       242   29.6   1.6797e-03   29.6      325
 1461.0  7798.2   2.51     6.7    0.82       437   17.8   3.0336e-03   17.8      328
 1764.2  9416.6   2.85     4.1    1.10       120   38.8   8.3419e-04   38.8      102
 1836.1  9800.1   2.94    32.0    1.52      9030    2.3   6.2709e-02    2.3       97
 2614.6 13955.0   3.81     5.2    0.88       224   18.8   1.5578e-03   18.8       46
 2733.5 14590.0   3.94     3.4    1.03        98   36.2   6.8016e-04   36.2       44

 ! indicates the Iterative Peak Width fitting reached a limiting value.
