
                       be used for evaluation purposes
                                                            14-Mar-2019  9:43
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AA011118_18cm_In01.Chn           
 Sample Title : Cs137                                            

 Spectrum saved on 25-Oct-2018 at 16:15    Collected on 12-Aug-2018 at 12:08
 Sample  Taken  on 12-Aug-2018 at 12:08    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 13-Mar-2019 at 17:27
            Peak Shape Calibration Performed on 13-Mar-2019 at 17:31

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.7   388.5   0.98    10.7    0.92      1462    8.0   5.5819e+00    8.0      669
   74.8   399.9   0.98    15.2    0.92      2639    4.8   1.0073e+01    4.8      744
   84.7   452.7   0.96     6.8    1.28       957   10.0   3.6521e+00   10.0      704
   87.3   466.5   0.96     3.5    1.28       304   27.3   1.1603e+00   27.3      634
  138.2   738.5   1.01    11.3    1.06      1548    7.5   5.9101e+00    7.5      875
  336.3  1795.4   1.29    37.2    1.12     13275    1.7   5.0666e+01    1.7      243
  355.4  1897.7   1.26     3.6    1.13       175   29.6   6.6752e-01   29.6      207
  391.7  2091.5   1.30     7.9    1.01       596   10.0   2.2739e+00   10.0      160
  416.9  2225.7   1.36    26.9    0.71      5987    2.4   2.2850e+01    2.4      160
  463.1  2472.2   1.39     3.3    1.02       153   28.5   5.8254e-01   28.5      149
  511.1  2728.6   2.88     3.6    0.82       338   22.1   1.2904e+00   22.1      269
  818.6  4369.8   1.78    13.9    1.24      1569    5.7   5.9879e+00    5.7      171
 1097.2  5856.5   2.11    27.2    1.37      5849    2.6   2.2325e+01    2.6      125
 1293.4  6903.7   2.38    28.2    1.16      7419    2.3   2.8316e+01    2.3       26
 1507.4  8045.8   2.56     7.9    0.71       710    7.2   2.7105e+00    7.2       17
 1752.0  9351.6   2.84     4.6    0.83       155   19.3   5.9210e-01   19.3       17
 2111.9 11272.1   3.09    10.1    0.80       926    6.3   3.5350e+00    6.3        6
