
                       be used for evaluation purposes
                                                            17-Apr-2019 10:01
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AI081618_10cm_Zn02.Chn           
 Sample Title : Cs137                                            

 Spectrum saved on 25-Oct-2018 at  8:30    Collected on 16-Aug-2018 at 14:38
 Sample  Taken  on 16-Aug-2018 at 14:38    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  16-Aug-2018 14:38
   Live:      8551.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   63.4   337.4   0.94     3.7    0.91       235   44.9   2.7458e-02   44.9      872
   73.0   388.5   0.96    10.0    0.95      1564    8.2   1.8292e-01    8.2     1032
   75.2   400.0   0.96    16.7    0.95      2547    5.4   2.9788e-01    5.4     1146
   85.0   452.7   0.96     6.4    1.38       920   11.4   1.0762e-01   11.4      860
   87.6   466.2   0.97     4.1    1.38       271   31.4   3.1730e-02   31.4      860
   91.5   487.2   0.97    12.4    1.38      1874    6.2   2.1914e-01    6.2      860
   93.6   498.0   0.97    22.2    1.38      4624    3.3   5.4078e-01    3.3      860
  185.1   985.5   1.09    35.6    1.15     11474    2.0   1.3419e+00    2.0     1037
  300.8  1602.0   1.21     3.4    0.69       172   52.7   2.0058e-02   52.7      803
  439.6  2341.5   1.39    23.7    1.00      4590    2.8   5.3678e-01    2.8      147
  508.8  2709.5   1.44     8.6    4.09       670   44.7   7.8337e-02   44.7     1062
  512.2  2727.8   2.90    21.4    4.09     43428    1.7   5.0787e+00    1.7     2047
  598.0  3185.2   1.56     3.8    1.03       108   29.0   1.2632e-02   29.0       51
 1117.8  5953.4   2.13    11.0    1.20      1272    5.8   1.4871e-01    5.8       42
 1348.3  7181.3   2.44     5.8    0.97       245   14.5   2.8635e-02   14.5       12
 1371.3  7304.0   2.47     9.0    0.80       738    7.2   8.6295e-02    7.2       14
 1734.9  9240.6   2.90     3.6    0.65        39   55.3   4.5561e-03   55.3       15
 2246.9 11967.9   3.50     3.5    0.54        43   55.2   5.0393e-03   55.2       13
 2758.9 14694.9   4.10     7.3    0.73       367   11.9   4.2873e-02   11.9        0
