
                       be used for evaluation purposes
                                                            19-Mar-2019 16:55
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: Sum_Spec.dat                     
 Sample Title : Cs137                                            

 Spectrum saved on 25-Oct-2018 at 16:26    Collected on 15-Aug-2018 at  1:01
 Sample  Taken  on 15-Aug-2018 at  1:01    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 13-Mar-2019 at 17:27
            Peak Shape Calibration Performed on 13-Mar-2019 at 17:31

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   54.5   291.3   0.88     8.8    1.17      1341    8.0   1.5970e+00    8.0      407
   55.6   297.5   0.88    15.5    1.17      2430    4.7   2.8929e+00    4.7      407
   63.0   337.0   0.93     9.4    1.09       933    9.1   1.1104e+00    9.1      423
   64.8   346.6   0.94     3.8    1.09       248   30.3   2.9481e-01   30.3      381
   72.6   388.1   0.95     4.8    0.91       322   20.3   3.8379e-01   20.3      379
   74.8   399.8   0.95     6.1    0.91       513   13.6   6.1109e-01   13.6      379
   84.6   452.1   0.96     3.3    0.79       200   25.9   2.3846e-01   25.9      352
   88.6   473.5   0.96     3.3    0.79        96   50.3   1.1408e-01   50.3      317
   93.2   498.1   0.97     7.1    0.79       559   11.8   6.6560e-01   11.8      352
  202.5  1081.4   1.11    11.4    1.10      1324    7.4   1.5756e+00    7.4      544
  325.5  1738.2   1.23     3.7    0.99       107   36.9   1.2743e-01   36.9      122
  380.8  2033.0   1.32    52.4    2.16     23686    1.3   2.8198e+01    1.3       69
  388.5  2074.0   1.33    18.5    1.27      3226    3.2   3.8404e+00    3.2       55
  426.3  2275.7   1.34     3.5    1.02       100   28.2   1.1954e-01   28.2       40
  479.4  2559.5   1.45     7.8    0.78       602    8.1   7.1624e-01    8.1       46
  484.7  2587.8   1.45    18.3    0.78      2955    3.4   3.5179e+00    3.4       43
  510.9  2727.4   2.88     5.7    1.17      1051    7.1   1.2510e+00    7.1       62
  897.8  4792.5   1.94    16.3    1.17      2478    4.0   2.9497e+00    4.0       19
 1368.3  7303.4   2.40     6.3    0.98       229   15.3   2.7274e-01   15.3       26
 1835.5  9797.2   3.07    12.3    0.68      1508    4.7   1.7948e+00    4.7        4
 2753.4 14696.1   3.96     4.6    0.47       111   25.7   1.3227e-01   25.7        2
