
                       be used for evaluation purposes
                                                            19-Mar-2019 14:51
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: Sum_Spec.dat                     
 Sample Title : Cs137                                            

 Spectrum saved on 25-Oct-2018 at 16:30    Collected on 15-Aug-2018 at  2:34
 Sample  Taken  on 15-Aug-2018 at  2:34    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 13-Mar-2019 at 17:27
            Peak Shape Calibration Performed on 13-Mar-2019 at 17:31

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   54.5   291.3   0.89     8.5    0.58      1415    7.6   1.3100e+00    7.6      507
   55.6   297.6   0.89    15.7    0.58      2701    4.4   2.5013e+00    4.4      507
   63.0   336.9   0.93     9.5    0.92      1087    8.8   1.0062e+00    8.8      462
   64.8   346.4   0.94     3.8    0.92       306   25.3   2.8298e-01   25.3      416
   72.6   388.1   0.95     5.0    0.75       376   18.4   3.4792e-01   18.4      449
   74.9   400.1   0.95     9.1    0.75       552   14.3   5.1152e-01   14.3      449
   84.6   452.1   0.96     3.8    0.93       225   32.0   2.0846e-01   32.0      459
   93.1   497.8   0.97     8.5    1.21       643   12.3   5.9569e-01   12.3      403
  103.6   553.6   0.98     3.5    0.84       145   43.2   1.3382e-01   43.2      397
  202.5  1081.5   1.01    11.7    1.07      1130    9.1   1.0466e+00    9.1      673
  380.8  2033.0   1.31    57.1    1.40     27800    1.1   2.5741e+01    1.1       70
  388.5  2074.0   1.35    20.6    0.85      4164    2.8   3.8556e+00    2.8       73
  426.2  2275.4   1.34     3.4    0.88        66   40.9   6.1134e-02   40.9       52
  479.4  2559.5   1.40     9.3    1.17       541    9.6   5.0093e-01    9.6       55
  484.8  2587.9   1.40    22.2    1.17      4105    2.8   3.8009e+00    2.8       59
  510.9  2727.4   2.88     5.7    1.37       960    8.1   8.8893e-01    8.1       88
  897.8  4792.5   1.97    18.0    0.99      3234    3.4   2.9940e+00    3.4       24
 1368.2  7302.7   2.40     4.1    0.87       277   13.7   2.5610e-01   13.7       31
 1835.6  9797.5   2.98    15.2    0.96      1914    4.3   1.7718e+00    4.3        3
 2752.9 14693.5   3.96     3.8    0.49       152   21.4   1.4056e-01   21.4        3
