
                       be used for evaluation purposes
                                                            18-Mar-2019 10:46
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: Sum_Spec.dat                     
 Sample Title : Cs137                                            

 Spectrum saved on 25-Oct-2018 at 16:30    Collected on 15-Aug-2018 at  3:39
 Sample  Taken  on 15-Aug-2018 at  3:39    Decayed      0 Days,     0 mins.

            Detector file number used:     1
            Energy     Calibration Performed on 13-Mar-2019 at 17:27
            Peak Shape Calibration Performed on 13-Mar-2019 at 17:31

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   40.7   217.8   0.82    11.4    0.44      2098   11.2   4.3715e-01   11.2     4519
   72.7   388.6   0.92    17.7    0.87      4430    6.5   9.2284e-01    6.5     6112
   74.8   399.9   0.92    26.0    0.87      8093    3.7   1.6861e+00    3.7     6791
   84.6   452.3   0.98     9.1    1.40      3168    8.0   6.5990e-01    8.0     5894
   87.2   466.1   0.98     5.5    1.40       993   22.0   2.0692e-01   22.0     5894
   91.2   487.1   0.99    17.1    1.40      4275    6.6   8.9058e-01    6.6     5894
   93.2   498.0   0.99    30.4    1.40     10479    2.9   2.1831e+00    2.9     5894
  184.5   985.4   1.10    48.4    1.24     25676    1.8   5.3492e+00    1.8     8892
  366.2  1955.3   1.28     6.0    0.86       806   23.9   1.6794e-01   23.9     3925
  393.9  2102.7   1.31     3.7    1.15       354   44.8   7.3782e-02   44.8     2380
  438.6  2341.4   1.41    66.3    1.43     41472    1.1   8.6401e+00    1.1     1188
  510.9  2727.4   3.09    63.5   94.91    488665    0.7   1.0181e+02    0.7    13411
  548.3  2927.3   1.61    11.5    1.11      1477    6.4   3.0772e-01    6.4      328
  596.5  3184.5   1.59    15.1    0.81      2167    5.0   4.5145e-01    5.0      315
  669.6  3574.2   1.62     5.0    0.83       264   23.7   5.4965e-02   23.7      295
  846.4  4518.3   1.82     3.4    0.97       129   45.1   2.6837e-02   45.1      241
  962.0  5135.2   1.95     3.4    1.57       200   31.6   4.1721e-02   31.6      232
 1039.2  5546.9   2.03     3.6    1.21       128   46.8   2.6707e-02   46.8      236
 1115.2  5952.9   2.23    18.0    1.23      2939    4.3   6.1232e-01    4.3      325
 1345.5  7181.6   2.48    17.5    1.01      3001    3.6   6.2530e-01    3.6       98
 1368.3  7303.3   2.49    23.6    1.15      5017    2.7   1.0452e+00    2.7       78
 1481.4  7907.3   2.66    12.6    0.77      1465    5.1   3.0524e-01    5.1       50
 1731.2  9240.5   2.81     3.4    0.90       215   20.9   4.4868e-02   20.9       89
 2241.8 11965.7   3.39     4.7    1.04       313   16.5   6.5185e-02   16.5       89
 2753.3 14695.3   4.03    17.8    0.96      2705    3.7   5.6354e-01    3.7       12
