
                       be used for evaluation purposes
                                                            21-Mar-2019 11:06
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AA03072019_FP09_10cm_HPGE1.Chn   
 Sample Title :                                                  

 Spectrum saved on  7-Mar-2019 at 14:46    Collected on  7-Mar-2019 at 12:37
 Sample  Taken  on  7-Mar-2019 at 12:37    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   68.4   364.0   0.95     3.5    1.61       303   59.1   4.2684e-02   59.1     4325
   70.4   375.0   0.95     3.6    1.61       608   32.1   8.5667e-02   32.1     4325
   74.5   396.8   0.96     4.1    1.61       776   24.3   1.0922e-01   24.3     4325
   76.7   408.2   0.96     6.7    1.61      1706   11.6   2.4028e-01   11.6     4325
   78.8   419.8   0.96     3.4    1.61       526   37.9   7.4055e-02   37.9     4325
   86.6   461.2   0.97     3.4    1.30       609   35.7   8.5707e-02   35.7     4433
  125.1   665.9   1.17!   11.0    0.95      3114    7.9   4.3840e-01    7.9     4955
  139.9   744.9   1.03     3.5    0.80       371   52.0   5.2278e-02   52.0     3920
  190.8  1016.1   1.09     3.5    1.39       373   39.0   5.2541e-02   39.0     2321
  195.3  1040.3   1.09     9.9    1.39      2144    7.8   3.0183e-01    7.8     2553
  245.0  1304.7   1.15     9.7    1.31      1474    9.9   2.0756e-01    9.9     1712
  303.1  1614.4   1.22     5.8    0.92       635   17.4   8.9357e-02   17.4     1097
  347.4  1850.0   1.27     3.4    0.79       244   39.4   3.4342e-02   39.4      895
  361.3  1924.3   1.28     9.9    0.84      1179    9.0   1.6598e-01    9.0      829
  523.8  2789.7   1.47     9.5    6.03      2282    8.1   3.2125e-01    8.1      710
  525.3  2797.6   1.47     7.6    6.03      2659    6.9   3.7440e-01    6.9      710
  573.5  3054.6   1.52     3.4    1.24       197   38.9   2.7761e-02   38.9      472
  598.7  3188.9   1.55     7.6    1.01       790   11.4   1.1127e-01   11.4      485
  625.5  3331.7   1.60    10.9    1.08      1369    7.5   1.9273e-01    7.5      463
  744.3  3964.5   1.72     3.8    1.23       232   27.5   3.2685e-02   27.5      283
  746.7  3977.3   1.72     3.5    1.23       187   34.6   2.6345e-02   34.6      283
  788.7  4200.7   1.77     4.8    1.10       143   42.4   2.0199e-02   42.4      266
  806.7  4296.5   1.79     3.4    0.71        74   58.7   1.0416e-02   58.7      223
  816.4  4348.0   1.80     3.4    0.71       118   38.5   1.6586e-02   38.5      236
  832.4  4433.6   1.72    30.0    0.94      6866    2.4   9.6675e-01    2.4      253
  857.6  4568.0   1.84     3.6    0.95       101   52.7   1.4151e-02   52.7      199
  883.5  4705.5   1.87     3.5    1.09       107   50.4   1.5096e-02   50.4      217
  933.3  4970.9   1.76    18.8    1.31      2792    4.1   3.9306e-01    4.1      188
  935.3  4981.8   1.77     8.3    1.31       465   14.9   6.5525e-02   14.9      188
  958.7  5106.1   1.96     3.5    0.92        81   59.1   1.1443e-02   59.1      167
  990.2  5274.2   2.00     3.7    1.23       100   47.3   1.4047e-02   47.3      152
  994.7  5298.2   2.00     5.0    1.23       332   17.0   4.6689e-02   17.0      152
 1144.9  6097.8   2.17     3.5    1.13        97   48.0   1.3613e-02   48.0      159
 1149.9  6124.8   2.18     7.0    1.13       455   13.3   6.4075e-02   13.3      159
 1271.3  6771.0   2.31     3.4    0.90       154   33.0   2.1703e-02   33.0      165
 1308.0  6967.0   2.36     4.3    1.05       148   32.3   2.0793e-02   32.3      117
 1414.0  7531.1   2.48     5.1    0.66       199   20.0   2.8070e-02   20.0       68
 1499.4  7986.3   2.22    22.1    1.28      3334    3.5   4.6940e-01    3.5       52
 1549.4  8252.5   2.63     3.4    1.11        76   37.3   1.0729e-02   37.3       37
 1635.0  8708.5   2.73     3.5    1.47        61   54.5   8.5379e-03   54.5       46
 1775.3  9455.7   2.88     3.4    0.99        67   39.3   9.3814e-03   39.3       25
 1811.2  9647.1   2.93     6.9    0.94       405   10.8   5.6966e-02   10.8       19
 1896.4 10100.6   3.02     3.6    0.54        55   43.8   7.7637e-03   43.8       25
 2159.2 11500.6   3.32     3.6    0.92        70   40.2   9.9138e-03   40.2       29
 2262.1 12048.8   3.44     3.6    0.74       106   28.3   1.4863e-02   28.3       23
 2512.4 13381.5   3.72     3.9    0.70        48   53.4   6.7730e-03   53.4       17
 2683.2 14291.7   3.33!   10.4    0.79       614    8.3   8.6401e-02    8.3        1

 ! indicates the Iterative Peak Width fitting reached a limiting value.
