
                       be used for evaluation purposes
                                                            29-Mar-2019 14:37
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AA03072019_FP09_10cm_HPGE1.Chn   
 Sample Title :                                                  

 Spectrum saved on  7-Mar-2019 at 14:46    Collected on  7-Mar-2019 at 12:37
 Sample  Taken  on  7-Mar-2019 at 12:37    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:   7-Mar-2019 12:37
   Live:      7102.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   68.4   364.1   0.94     3.4    1.62       302   58.7   4.2470e-02   58.7     4328
   70.4   374.9   0.94     3.5    1.62       605   32.0   8.5165e-02   32.0     4328
   74.5   396.7   0.95     4.0    1.62       771   24.3   1.0853e-01   24.3     4328
   76.7   408.2   0.95     6.6    1.62      1699   11.6   2.3920e-01   11.6     4328
   78.9   419.8   0.95     3.4    1.62       522   37.9   7.3442e-02   37.9     4328
   86.7   461.2   0.96     3.3    1.31       605   35.7   8.5255e-02   35.7     4434
  125.1   665.9   1.16!   10.9    0.95      3126    7.7   4.4013e-01    7.7     4943
  139.9   744.9   1.03     3.4    0.80       371   51.9   5.2206e-02   51.9     3920
  190.8  1016.1   1.09     3.5    1.40       374   38.8   5.2684e-02   38.8     2320
  195.4  1040.3   1.09     9.9    1.40      2146    7.8   3.0213e-01    7.8     2552
  245.0  1304.7   1.15     9.7    1.32      1477    9.9   2.0800e-01    9.9     1711
  303.2  1614.4   1.22     5.8    0.92       637   17.4   8.9648e-02   17.4     1096
  347.4  1850.0   1.27     3.5    0.79       245   39.3   3.4522e-02   39.3      895
  361.3  1924.3   1.29     9.9    0.84      1184    9.0   1.6667e-01    9.0      828
  524.7  2794.4   1.48     7.7   20.61      3578    7.7   5.0377e-01    7.7     1020
  573.5  3054.6   1.53     3.5    1.24       198   39.1   2.7890e-02   39.1      471
  598.7  3188.9   1.56     7.7    1.01       794   11.4   1.1186e-01   11.4      484
  625.6  3331.7   1.60    11.0    1.08      1369    7.5   1.9279e-01    7.5      462
  744.4  3964.5   1.73     3.8    1.25       232   27.8   3.2615e-02   27.8      285
  746.8  3977.3   1.74     3.5    1.25       184   35.4   2.5928e-02   35.4      285
  788.7  4200.8   1.79     4.8    1.11       144   42.9   2.0214e-02   42.9      266
  806.7  4296.8   1.81     3.5    0.71        74   58.7   1.0470e-02   58.7      223
  816.4  4348.0   1.82     3.5    0.71       118   38.6   1.6664e-02   38.6      236
  832.4  4433.6   1.72    30.6    0.94      6867    2.4   9.6696e-01    2.4      253
  857.7  4568.0   1.87     3.6    0.95       101   52.9   1.4225e-02   52.9      199
  883.4  4705.2   1.90     3.3    1.09       107   50.8   1.5100e-02   50.8      217
  933.3  4970.9   1.78    19.2    1.31      2795    4.2   3.9349e-01    4.2      190
  935.4  4981.8   1.78     8.2    1.31       457   15.4   6.4351e-02   15.4      190
  958.7  5106.0   1.99     3.3    0.91        82   59.4   1.1550e-02   59.4      175
  990.2  5274.2   2.02     3.8    1.26       100   48.0   1.4138e-02   48.0      151
  994.7  5298.2   2.03     5.1    1.26       332   17.3   4.6741e-02   17.3      159
 1144.9  6097.8   2.21     3.5    1.13        97   48.4   1.3662e-02   48.4      159
 1149.9  6124.8   2.21     7.2    1.13       455   13.3   6.4098e-02   13.3      159
 1271.2  6770.9   2.35     3.5    0.90       151   34.5   2.1327e-02   34.5      167
 1308.1  6967.0   2.40     4.3    1.05       145   33.5   2.0352e-02   33.5      120
 1413.9  7531.0   2.52     5.2    0.68       200   19.8   2.8210e-02   19.8       66
 1499.4  7986.2   2.28    22.8    1.32      3328    3.5   4.6859e-01    3.5       53
 1549.2  8251.2   2.68     3.5    1.09        74   38.1   1.0394e-02   38.1       38
 1630.6  8684.9   2.77     3.3    1.14        47   58.7   6.5858e-03   58.7       39
 1635.1  8708.8   2.78     3.5    1.14        64   47.8   8.9864e-03   47.8       39
 1775.3  9455.6   2.95     3.5    1.00        66   40.6   9.2776e-03   40.6       25
 1811.1  9646.7   2.99     7.2    0.94       400   11.0   5.6344e-02   11.0       21
 1896.4 10100.6   3.09     3.7    0.55        53   46.2   7.5326e-03   46.2       26
 2159.0 11499.6   3.40     3.7    0.93        68   41.7   9.6280e-03   41.7       29
 2262.0 12048.4   3.52     3.7    0.70       103   29.2   1.4540e-02   29.2       25
 2512.3 13381.5   3.81     4.0    0.70        47   55.2   6.6148e-03   55.2       17
 2683.1 14291.2   3.41!   11.7    0.74       606    8.5   8.5292e-02    8.5        5

 ! indicates the Iterative Peak Width fitting reached a limiting value.
