
                       be used for evaluation purposes
                                                            29-Mar-2019 14:57
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AA030719_FP07_10cm_HPGE2.Chn     
 Sample Title :                                                  

 Spectrum saved on  7-Mar-2019 at 14:40    Collected on  7-Mar-2019 at 12:33
 Sample  Taken  on  7-Mar-2019 at 12:33    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:   7-Mar-2019 12:33
   Live:      7608.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   68.7   365.8   0.94     3.4    0.96       268   55.4   3.5180e-02   55.4     2894
   70.6   375.6   0.94     3.7    0.96       429   32.7   5.6421e-02   32.7     2605
   74.6   397.2   0.95     3.4    0.96       509   29.7   6.6900e-02   29.7     2894
   76.8   408.9   0.95     5.8    0.96      1086   14.8   1.4270e-01   14.8     2894
  125.3   666.9   1.01     8.5    1.70      2497    9.1   3.2826e-01    9.1     3613
  195.4  1040.7   1.09     9.4    0.96      1801    9.6   2.3666e-01    9.6     2486
  215.5  1147.4   1.11     3.6    0.92       309   46.7   4.0623e-02   46.7     2075
  234.4  1248.1   1.14     5.2    0.69       562   23.6   7.3927e-02   23.6     1978
  245.2  1305.6   1.15     6.4    1.30       898   14.9   1.1801e-01   14.9     1634
  248.5  1323.5   1.15     3.4    1.30       288   41.8   3.7919e-02   41.8     1634
  285.2  1519.0   1.20     6.1    0.84       830   14.1   1.0915e-01   14.1     1230
  303.4  1615.5   1.22     5.1    0.78       731   15.7   9.6029e-02   15.7     1081
  347.7  1851.5   1.27     3.4    1.20       182   52.7   2.3898e-02   52.7      945
  361.5  1925.3   1.29     9.0    0.96      1312    8.4   1.7248e-01    8.4      825
  524.8  2795.1   1.48     5.9   14.55      2531    9.1   3.3272e-01    9.1      869
  573.6  3054.8   1.53     4.3    0.75       216   33.8   2.8368e-02   33.8      443
  599.0  3190.4   1.56     6.9    1.57       680   12.4   8.9353e-02   12.4      417
  625.8  3333.0   1.72    10.9    0.94      1474    7.1   1.9378e-01    7.1      456
  789.2  4203.4   1.79     3.5    1.03       126   49.7   1.6572e-02   49.7      270
  816.5  4348.7   1.82     3.6    1.46       103   54.3   1.3540e-02   54.3      207
  833.0  4436.4   1.77    22.8    0.96      4057    3.3   5.3328e-01    3.3      277
  934.2  4975.6   2.25!   13.8    2.48      2787    4.8   3.6633e-01    4.8      286
  990.8  5277.2   2.02     3.6    0.77       117   43.0   1.5436e-02   43.0      185
  995.6  5302.7   2.03     4.7    0.77       299   18.9   3.9340e-02   18.9      185
 1151.1  6130.8   2.21     6.3    0.95       428   15.4   5.6279e-02   15.4      217
 1272.2  6775.9   2.35     4.6    0.83       211   28.1   2.7792e-02   28.1      209
 1415.5  7539.3   2.52     3.4    0.94       173   24.3   2.2754e-02   24.3       90
 1500.9  7994.2   2.63    20.4    1.32      3670    3.3   4.8238e-01    3.3       92
 1550.6  8258.7   2.68     3.9    0.90        68   39.8   9.0033e-03   39.8       35
 1777.4  9466.9   2.95     4.2    0.89        87   32.3   1.1412e-02   32.3       28
 1813.0  9656.6   2.99     7.0    1.03       455   10.0   5.9775e-02   10.0       20
 1898.0 10109.5   3.09     3.8    0.81        65   39.1   8.5456e-03   39.1       24
 2161.1 11511.0   3.40     3.4    0.72        70   38.1   9.2263e-03   38.1       23
 2264.1 12059.3   3.52     4.1    0.84       127   25.0   1.6645e-02   25.0       25
 2686.2 14307.4   3.44    10.3    0.82       477   10.0   6.2704e-02   10.0       12

 ! indicates the Iterative Peak Width fitting reached a limiting value.
