
                       be used for evaluation purposes
                                                            21-Mar-2019 12:34
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AA030719_FP07_10cm_HPGE2.Chn     
 Sample Title :                                                  

 Spectrum saved on  7-Mar-2019 at 14:40    Collected on  7-Mar-2019 at 12:33
 Sample  Taken  on  7-Mar-2019 at 12:33    Decayed      0 Days,     0 mins.

            Detector file number used:     2
            Energy     Calibration Performed on 20-Mar-2019 at 15:12
            Peak Shape Calibration Performed on 20-Mar-2019 at 15:15

 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   68.7   365.8   0.95     3.4    0.95       269   55.5   3.5363e-02   55.5     2892
   70.5   375.6   0.95     3.8    0.95       432   32.8   5.6770e-02   32.8     2603
   74.6   397.2   0.96     3.4    0.95       513   29.7   6.7421e-02   29.7     2892
   76.8   408.9   0.96     5.9    0.95      1091   14.9   1.4337e-01   14.9     2892
  125.2   666.9   1.01     8.6    1.71      2502    9.2   3.2887e-01    9.2     3610
  195.4  1040.7   1.09     9.5    0.97      1798    9.7   2.3639e-01    9.7     2484
  215.5  1147.5   1.12     3.6    0.90       309   46.3   4.0610e-02   46.3     2072
  234.4  1248.1   1.14     5.3    0.70       563   23.8   7.3960e-02   23.8     1974
  245.2  1305.6   1.15     6.4    1.32       898   15.1   1.1808e-01   15.1     1631
  248.5  1323.5   1.15     3.4    1.32       288   42.2   3.7857e-02   42.2     1631
  285.2  1519.0   1.20     6.1    0.87       828   14.3   1.0885e-01   14.3     1229
  303.3  1615.5   1.22     5.1    0.78       728   15.7   9.5687e-02   15.7     1082
  347.6  1851.5   1.27     3.4    1.20       181   52.6   2.3801e-02   52.6      945
  361.5  1925.3   1.28     8.9    0.97      1306    8.4   1.7169e-01    8.4      827
  524.8  2795.4   1.47     5.9   13.56      2322   11.3   3.0515e-01   11.3     1081
  573.5  3054.8   1.52     4.3    0.76       216   33.8   2.8369e-02   33.8      441
  599.0  3190.4   1.55     6.8    1.61       675   12.5   8.8698e-02   12.5      420
  625.8  3333.0   1.72    10.7    0.94      1473    7.1   1.9365e-01    7.1      457
  789.2  4203.4   1.77     3.4    1.03       125   49.4   1.6491e-02   49.4      270
  816.5  4348.7   1.80     3.5    1.47       104   53.6   1.3731e-02   53.6      205
  832.9  4436.4   1.76    22.4    0.94      4062    3.3   5.3397e-01    3.3      275
  934.2  4975.7   2.22!   13.5    2.57      2780    4.8   3.6543e-01    4.8      286
  990.8  5277.2   2.00     3.6    0.77       118   42.0   1.5525e-02   42.0      184
  995.6  5302.7   2.00     4.6    0.77       299   18.7   3.9311e-02   18.7      184
 1151.1  6130.9   2.18     6.1    0.97       432   15.1   5.6771e-02   15.1      204
 1272.3  6776.6   2.31     4.6    0.81       214   27.2   2.8127e-02   27.2      208
 1415.5  7539.5   2.48     3.8    0.94       174   24.0   2.2847e-02   24.0       86
 1500.9  7994.3   2.54    19.7    1.19      3683    3.2   4.8410e-01    3.2       92
 1550.6  8258.7   2.63     3.3    0.92        68   39.8   8.9591e-03   39.8       37
 1777.4  9466.8   2.89     4.0    0.88        91   29.9   1.1989e-02   29.9       25
 1813.1  9657.0   2.93     6.7    1.02       458   10.0   6.0169e-02   10.0       20
 1898.1 10109.6   3.02     3.7    0.84        65   39.0   8.4788e-03   39.0       25
 2161.2 11511.3   3.32     3.3    0.73        71   37.5   9.3578e-03   37.5       23
 2264.2 12059.5   3.44     4.0    0.83       130   24.3   1.7109e-02   24.3       25
 2686.3 14307.8   3.33!   10.1    0.79       492    9.6   6.4608e-02    9.6        9

 ! indicates the Iterative Peak Width fitting reached a limiting value.
