
                       be used for evaluation purposes
                                                            29-Mar-2019 15:33
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AS022719_FP01_5cm_room131.Chn    
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 27-Feb-2019 at  8:15    Collected on 26-Feb-2019 at 18:52
 Sample  Taken  on 26-Feb-2019 at 18:52    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  26-Feb-2019 18:52
   Live:      47986.0 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   40.8   216.9   0.91     4.4    1.07       970   35.9   2.0211e-02   35.9    12372
   63.4   337.4   0.94     4.1    0.64      1059   37.0   2.2069e-02   37.0    13262
   72.9   387.8   0.93    30.0    1.00     12893    3.3   2.6868e-01    3.3    13621
   75.0   399.3   0.94    43.4    1.00     22095    2.2   4.6046e-01    2.2    13621
   84.9   451.7   1.10!   18.4    1.12      9883    3.9   2.0595e-01    3.9    15629
   87.4   465.5   1.11!    8.8    1.12      3010   12.1   6.2731e-02   12.1    15629
   91.4   486.6   1.11!    7.0    1.12      3230   10.8   6.7315e-02   10.8    15629
   93.4   496.9   1.11!   18.8    1.12      7958    5.3   1.6585e-01    5.3    15629
  122.2   650.6   0.99    37.3    0.90     16848    2.8   3.5110e-01    2.8    14697
  127.3   678.0   0.98    52.9    0.41     28274    1.8   5.8920e-01    1.8    14428
  136.7   727.6   1.02     8.3    1.14      2581   15.0   5.3795e-02   15.0    15223
  171.6   913.5   1.07    24.4    0.86     11035    4.5   2.2996e-01    4.5    17725
  184.8   984.0   1.11    30.4    2.95     15298    3.9   3.1880e-01    3.9    20485
  190.5  1014.3   1.09    41.3    0.95     24059    2.3   5.0138e-01    2.3    17345
  202.7  1079.6   1.14    19.3    1.08      8028    5.2   1.6730e-01    5.2    16566
  245.7  1308.2   1.12    25.4    0.90      9539    4.4   1.9880e-01    4.4    14035
  267.0  1422.0   1.17     3.4    1.21       798   45.8   1.6633e-02   45.8    13949
  336.6  1792.4   1.26   141.4    3.46    180293    0.7   3.7572e+00    0.7    14585
  388.9  2071.4   1.32     5.0    1.57       647   42.0   1.3485e-02   42.0     7365
  392.3  2089.2   1.32     3.6    1.57       908   29.9   1.8917e-02   29.9     7365
  439.0  2337.8   1.41    39.2    0.68     16693    2.2   3.4787e-01    2.2     6133
  479.9  2555.7   1.44    13.2    0.70      3450    7.6   7.1896e-02    7.6     5982
  511.3  2723.2   3.00    58.1   27.70    459774    0.6   9.5814e+00    0.6    19522
  528.2  2813.1   1.48     7.0    0.60      1437   16.5   2.9948e-02   16.5     5296
  548.8  2922.9   1.49     3.4    0.82       360   56.3   7.4998e-03   56.3     5358
  555.9  2960.5   1.49     6.2    0.82      1200   17.1   2.5004e-02   17.1     5740
  558.8  2976.1   1.50    11.1    0.82      2664    8.2   5.5523e-02    8.2     5358
  597.2  3180.7   1.56     3.4    0.83       469   54.3   9.7732e-03   54.3     6171
  658.6  3507.9   1.63     3.4    0.70       536   51.3   1.1177e-02   51.3     7334
  725.4  3863.7   1.71     7.1    1.51      2410   12.1   5.0232e-02   12.1     5929
  750.0  3994.5   1.74     3.5    0.76       418   49.0   8.7055e-03   49.0     4958
  757.1  4032.4   1.75     5.6    0.76       895   22.8   1.8656e-02   22.8     4958
  811.2  4320.4   1.84    56.0    0.97     29892    1.4   6.2293e-01    1.4     3246
  847.1  4511.9   1.86     4.7    1.15       368   44.5   7.6606e-03   44.5     3371
  857.8  4568.8   1.87     3.4    1.15       552   30.3   1.1510e-02   30.3     3371
  909.5  4844.3   1.95   171.0    8.96    254718    0.6   5.3082e+00    0.6     2804
 1116.0  5943.8   2.17     8.6    0.74      1293   21.6   2.6950e-02   21.6     6142
 1346.3  7170.7   2.44     8.0    1.09      1129   13.7   2.3529e-02   13.7     1329
 1369.1  7292.3   2.48   136.3    5.14    159792    0.8   3.3300e+00    0.8      770
 1378.1  7340.0   2.49    68.6    5.14     43392    1.1   9.0425e-01    1.1      803
 1409.2  7505.6   2.52     3.6    1.07       232   54.2   4.8377e-03   54.2     1015
 1713.9  9128.8   2.87     9.3    0.98      1193   12.3   2.4852e-02   12.3     1115
 1732.1  9225.5   3.33!   18.0    2.39      8176    3.3   1.7038e-01    3.3     1524
 1758.1  9364.3   3.00    14.6    1.00      2771    6.7   5.7753e-02    6.7     1363
 1888.8 10060.3   3.08     3.9    0.81       422   35.3   8.8003e-03   35.3     1481
 1920.0 10226.5   3.15    24.4    0.86      6047    3.6   1.2602e-01    3.6     1427
 2243.4 11949.1   4.02!   21.7    2.41     13384    2.7   2.7891e-01    2.7     2440
 2754.7 14672.5   4.05   100.8    3.93     86089    0.8   1.7940e+00    0.8      -39
 2805.4 14942.4   4.15     3.4    1.08        75   57.3   1.5557e-03   57.3       87

 ! indicates the Iterative Peak Width fitting reached a limiting value.
