
                       be used for evaluation purposes
                                                            29-Mar-2019 15:43
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: BC030119_FP05_5cm_room131.Chn    
 Sample Title :                                                  

 Spectrum saved on  1-Mar-2019 at  9:28    Collected on 28-Feb-2019 at 22:42
 Sample  Taken  on 28-Feb-2019 at 22:42    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  28-Feb-2019 22:42
   Live:      38687.0 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   63.4   337.3   0.94     6.8    1.08      1014   20.3   2.6219e-02   20.3     3388
   72.9   387.9   0.93    16.5    1.43      3676    6.7   9.5017e-02    6.7     4078
   75.0   399.3   0.93    24.6    1.43      6261    4.1   1.6184e-01    4.1     3670
   84.8   451.4   0.96     8.9    1.00      2551   12.2   6.5939e-02   12.2     4053
   87.5   465.7   0.96     4.7    1.00       648   45.4   1.6746e-02   45.4     4503
   93.1   495.4   0.97     5.2    1.38      1190   33.0   3.0767e-02   33.0     4856
  122.2   650.7   0.99    46.0    0.81     22775    1.5   5.8870e-01    1.5     3742
  127.4   678.1   0.99    34.4    1.21     14084    2.1   3.6405e-01    2.1     3624
  136.7   727.6   0.95    15.2    1.06      2688    7.5   6.9479e-02    7.5     3247
  143.8   765.5   1.03     3.3    0.73       338   54.4   8.7295e-03   54.4     3769
  171.6   913.7   1.06    24.3    0.71      6821    3.9   1.7631e-01    3.9     4061
  184.9   984.3   1.24!   18.0    3.47      5265    6.5   1.3609e-01    6.5     4698
  190.5  1014.4   1.09    37.1    0.61     14697    2.1   3.7990e-01    2.1     4137
  245.7  1308.3   1.15    22.9    0.95      6051    4.2   1.5640e-01    4.2     3635
  336.6  1792.5   1.26     8.1    1.03      1507   13.3   3.8961e-02   13.3     3943
  393.1  2093.5   1.32     5.6    0.78       712   21.4   1.8394e-02   21.4     2212
  439.0  2338.1   1.38     6.9    0.67       799   17.9   2.0642e-02   17.9     1993
  511.4  2723.6   3.00    29.9    3.36    117706    0.7   3.0425e+00    0.7     5158
  528.1  2812.5   1.48     3.4    0.90       462   31.3   1.1941e-02   31.3     2009
  558.9  2976.6   1.43    11.4    0.85      1551   10.1   4.0100e-02   10.1     1912
  725.5  3863.8   1.71     6.4    1.32      1510   11.1   3.9027e-02   11.1     1696
  757.2  4032.9   1.75     6.0    1.08       709   18.4   1.8318e-02   18.4     1194
  811.3  4320.9   1.85    58.9    1.70     31032    1.3   8.0213e-01    1.3      653
  847.3  4512.7   1.86     7.7    0.79       577   16.3   1.4910e-02   16.3      592
  864.4  4603.9   1.88     3.6    0.79       150   56.5   3.8885e-03   56.5      594
  909.6  4844.9   1.94   108.9    5.97    102375    0.9   2.6462e+00    0.9      301
 1116.2  5945.0   2.17     8.6    1.01       729   15.0   1.8855e-02   15.0      663
 1238.8  6598.2   2.32     3.3    0.76       256   27.3   6.6050e-03   27.3      317
 1369.3  7293.1   2.48    31.5    1.31      8732    2.2   2.2572e-01    2.2      120
 1378.2  7340.8   2.49    36.7    1.31     12194    1.8   3.1521e-01    1.8      120
 1461.7  7785.1   2.58     3.3    1.03       117   45.5   3.0342e-03   45.5      161
 1675.6  8924.9   2.83     3.7    1.27        96   52.8   2.4838e-03   52.8      138
 1714.1  9129.7   2.87     6.4    0.92       421   14.1   1.0886e-02   14.1      128
 1732.3  9226.6   2.90     3.5    1.35       391   15.5   1.0098e-02   15.5      139
 1758.3  9365.0   2.93     9.6    0.80       775    8.3   2.0035e-02    8.3      126
 1771.7  9436.6   2.94     3.3    0.80        74   52.0   1.9041e-03   52.0      121
 1888.5 10058.9   3.08     3.7    1.21       138   35.1   3.5747e-03   35.1      119
 1920.2 10227.8   3.08    14.4    1.19      1641    5.3   4.2408e-02    5.3       91
 2243.6 11950.3   3.50     6.6    1.33       703   10.2   1.8171e-02   10.2      136
 2755.0 14673.9   4.07    23.9    1.24      4485    3.0   1.1593e-01    3.0       16

 ! indicates the Iterative Peak Width fitting reached a limiting value.
