
                       be used for evaluation purposes
                                                            29-Mar-2019 15:45
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: BG030419_FP03_5cm_room131.Chn    
 Sample Title : Sr-25, p-5cm                                     

 Spectrum saved on  6-Mar-2019 at  9:52    Collected on  5-Mar-2019 at 10:10
 Sample  Taken  on  5-Mar-2019 at 10:10    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:   5-Mar-2019 10:10
   Live:      85226.0 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   46.5   247.6   0.92     3.8    1.03       569   34.0   6.6812e-03   34.0     3186
   53.5   284.6   0.92     3.3    0.88       447   45.5   5.2494e-03   45.5     3294
   63.3   337.0   0.91    10.1    1.12      1909   12.4   2.2395e-02   12.4     4384
   72.9   387.8   0.94    16.6    0.76      4321    5.6   5.0700e-02    5.6     4690
   75.0   399.2   0.94    26.2    0.76      7912    3.3   9.2836e-02    3.3     4690
   84.8   451.5   1.10!   10.7    1.12      3773    6.7   4.4276e-02    6.7     5312
   87.3   464.8   1.11!    5.1    1.12      1064   22.2   1.2487e-02   22.2     5312
   92.8   493.8   0.97     7.0    1.84      2352   17.0   2.7594e-02   17.0     5388
  122.2   650.6   0.98    79.3    0.86     51721    0.9   6.0687e-01    0.9     4224
  127.4   678.0   0.97    16.9    0.81      3539    6.2   4.1524e-02    6.2     3813
  136.6   727.4   0.99    24.4    1.12      6208    4.1   7.2845e-02    4.1     3703
  143.9   766.0   1.03     3.5    0.55       592   30.3   6.9453e-03   30.3     3523
  171.6   913.5   1.06    17.8    0.79      4315    5.2   5.0633e-02    5.2     3948
  184.8   983.9   1.06     8.0    1.11      2512    8.6   2.9477e-02    8.6     3716
  185.9   990.1   1.06     5.3    1.11      2057   10.1   2.4134e-02   10.1     3716
  190.5  1014.2   1.07    61.0    1.11     32347    1.3   3.7954e-01    1.3     4088
  238.9  1272.1   1.14     3.5    1.03       319   58.5   3.7458e-03   58.5     3936
  245.7  1308.1   1.14    15.7    0.53      3559    5.6   4.1762e-02    5.6     3791
  336.6  1792.8   1.26     6.5    1.12       860   21.9   1.0090e-02   21.9     3377
  393.1  2093.5   1.32     6.6    1.11      1107   14.9   1.2992e-02   14.9     2333
  511.3  2723.1   3.01    26.5    2.18     87754    0.8   1.0297e+00    0.8     5120
  558.8  2976.0   1.51    17.9    0.99      3644    5.3   4.2758e-02    5.3     2188
  725.4  3863.2   1.97!   13.2    0.75      3727    5.0   4.3727e-02    5.0     1788
  757.1  4032.3   1.75     8.6    0.80      1115    9.8   1.3079e-02    9.8     1143
  766.0  4079.9   1.76     3.8    0.80       362   27.2   4.2503e-03   27.2     1143
  811.1  4320.1   1.84    79.4    2.78     55561    1.1   6.5192e-01    1.1      567
  835.2  4448.3   1.84     5.6    1.15       355   24.9   4.1662e-03   24.9      494
  847.2  4512.1   1.86     8.1    1.27       821   12.0   9.6349e-03   12.0      527
  864.4  4604.0   1.88     3.7    0.91       318   26.8   3.7268e-03   26.8      524
  909.5  4844.0   1.94    98.9    5.46     83706    0.8   9.8217e-01    0.8      327
 1115.9  5943.5   2.14    13.2    0.97      1640    6.2   1.9247e-02    6.2      296
 1173.5  6250.5   2.24     3.5    1.20       114   53.7   1.3396e-03   53.7      237
 1238.8  6597.9   2.32     4.8    1.41       393   17.6   4.6130e-03   17.6      212
 1321.8  7040.4   2.41     3.8    0.77       202   23.3   2.3667e-03   23.3      180
 1332.8  7098.9   2.43     3.4    0.77       127   35.1   1.4893e-03   35.1      180
 1369.1  7292.4   2.55     4.3    1.19       173   30.3   2.0285e-03   30.3      137
 1378.0  7339.6   2.56    17.0    1.19      2849    3.8   3.3432e-02    3.8      137
 1461.3  7783.2   2.58     5.3    1.09       239   22.6   2.8068e-03   22.6      132
 1658.1  8831.3   2.81     3.6    1.19        81   49.0   9.4518e-04   49.0       77
 1675.1  8921.9   2.83     3.5    1.17       165   28.0   1.9332e-03   28.0       80
 1713.8  9128.4   2.87     6.0    0.80       392   12.6   4.6003e-03   12.6       73
 1758.0  9363.6   2.93     5.0    0.91       187   23.4   2.1993e-03   23.4       72
 1836.3  9780.6   3.02     3.5    1.01       101   34.3   1.1810e-03   34.3       50
 1919.8 10225.7   3.12     6.2    0.77       400   11.5   4.6947e-03   11.5       47
 2599.1 13844.0   3.91     3.3    0.80        73   34.2   8.6217e-04   34.2       25
 2615.2 13929.5   3.93     3.6    0.80       126   23.2   1.4808e-03   23.2       26
 2754.7 14672.3   4.09     3.4    0.70        59   49.2   6.9749e-04   49.2       31

 ! indicates the Iterative Peak Width fitting reached a limiting value.
