
                       be used for evaluation purposes
                                                            29-Mar-2019 15:35
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AU022819_FP01_5cm_room131.Chn    
 Sample Title :                                                  

 Spectrum saved on 28-Feb-2019 at 16:03    Collected on 28-Feb-2019 at 14:31
 Sample  Taken  on 28-Feb-2019 at 14:31    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  28-Feb-2019 14:31
   Live:      5415.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.8   387.6   0.94     6.7    1.36       636   16.1   1.1750e-01   16.1      682
   75.0   399.3   0.94    10.4    1.36      1042   10.0   1.9239e-01   10.0      682
   84.9   451.8   0.96     4.7    1.20       540   15.5   9.9801e-02   15.5      730
   87.4   465.3   0.96     3.5    1.20       153   47.4   2.8167e-02   47.4      730
   91.5   487.2   0.97     3.6    1.20       202   38.2   3.7345e-02   38.2      730
   93.3   496.6   0.97     5.1    1.20       572   15.4   1.0560e-01   15.4      657
  122.2   650.8   1.00    12.7    0.71      1878    5.6   3.4683e-01    5.6      706
  127.4   678.1   1.00    12.0    0.71      1546    6.3   2.8552e-01    6.3      706
  136.6   727.3   1.02     3.7    0.95       226   38.0   4.1704e-02   38.0      679
  171.6   913.5   1.06     8.8    1.53       905   12.1   1.6715e-01   12.1      746
  184.8   984.1   1.08     8.8    0.82      1121    9.7   2.0695e-01    9.7      773
  190.5  1014.5   1.13    15.1    0.63      2578    5.0   4.7605e-01    5.0      801
  245.7  1308.6   1.15     8.1    0.67       766   12.3   1.4154e-01   12.3      713
  336.5  1792.2   1.26     3.7    1.20       287   32.9   5.3042e-02   32.9      685
  439.1  2338.7   1.38     4.9    0.76       265   25.4   4.8943e-02   25.4      358
  511.4  2723.6   2.96    14.7    1.55     23167    1.4   4.2784e+00    1.4      961
  558.9  2976.4   1.52     4.4    0.99       306   23.1   5.6531e-02   23.1      351
  725.5  3864.1   1.71     4.1    1.14       265   26.1   4.8911e-02   26.1      328
  811.2  4320.8   1.79    21.4    1.11      3647    3.4   6.7359e-01    3.4      131
  909.6  4844.9   1.93    49.9    2.25     20400    1.5   3.7673e+00    1.5       93
 1116.0  5944.2   2.17     3.8    1.24       148   35.5   2.7321e-02   35.5      165
 1369.3  7293.1   2.49    19.6    1.00      3148    3.3   5.8140e-01    3.3       27
 1378.2  7340.8   2.50    15.8    1.00      2236    3.8   4.1301e-01    3.8       27
 1714.2  9130.5   2.87     3.8    0.62        86   30.8   1.5856e-02   30.8       23
 1731.9  9224.8   2.89     3.9    0.90       144   22.1   2.6683e-02   22.1       35
 1758.3  9365.3   2.93     4.7    0.65       139   22.2   2.5620e-02   22.2       27
 1920.4 10228.7   3.12     5.5    0.77       309   12.6   5.7122e-02   12.6       26
 2243.6 11950.0   3.50     3.9    0.82       239   16.5   4.4084e-02   16.5       38
 2754.9 14673.7   4.11    14.6    0.82      1646    4.9   3.0404e-01    4.9        4
