
                       be used for evaluation purposes
                                                            29-Mar-2019 15:36
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AV022819_FP02_5cm_room131.Chn    
 Sample Title :                                                  

 Spectrum saved on 28-Feb-2019 at 18:19    Collected on 28-Feb-2019 at 16:03
 Sample  Taken  on 28-Feb-2019 at 16:03    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  28-Feb-2019 16:03
   Live:      8024.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   63.3   337.0   0.94     3.8    1.09       192   54.3   2.3872e-02   54.3      923
   72.9   387.9   0.95     7.1    0.87       897   11.8   1.1175e-01   11.8      990
   75.1   399.5   0.95    13.0    0.87      1596    7.7   1.9894e-01    7.7      891
   84.8   451.3   0.96     3.5    1.05       644   17.4   8.0292e-02   17.4      981
   87.4   465.5   0.96     3.6    1.05       187   49.9   2.3308e-02   49.9      883
   93.4   496.9   0.97     5.8    1.14       679   16.5   8.4611e-02   16.5     1086
  122.2   650.8   0.97    17.2    0.73      2582    5.2   3.2176e-01    5.2      967
  127.4   678.3   1.04    13.7    0.76      2109    6.0   2.6281e-01    6.0      898
  136.6   727.4   1.02     5.0    0.69       329   29.1   4.1000e-02   29.1      970
  171.6   913.7   1.06     9.2    0.61      1232    9.3   1.5351e-01    9.3     1006
  184.8   984.1   1.08     9.7    1.36      1467   13.8   1.8288e-01   13.8     1125
  190.5  1014.4   1.07    17.2    0.90      3460    4.2   4.3120e-01    4.2     1024
  245.7  1308.3   1.15     9.1    0.87      1115    9.9   1.3901e-01    9.9      913
  336.5  1792.2   1.26     4.0    1.15       441   23.7   5.5002e-02   23.7      933
  439.1  2338.3   1.38     4.9    0.70       328   22.5   4.0855e-02   22.5      444
  511.4  2723.6   2.98    15.3    1.60     30279    1.2   3.7735e+00    1.2     1280
  558.9  2976.7   1.52     5.5    1.15       390   20.8   4.8558e-02   20.8      493
  725.5  3863.8   1.71     3.9    0.83       386   19.8   4.8059e-02   19.8      410
  757.2  4033.1   1.75     3.4    0.74       130   49.7   1.6225e-02   49.7      348
  811.3  4321.1   1.79    25.7    1.15      5208    2.8   6.4901e-01    2.8      173
  909.7  4844.9   1.94    56.5    1.98     27028    1.4   3.3684e+00    1.4      117
 1116.0  5943.8   2.17     3.5    0.88       217   25.3   2.7099e-02   25.3      188
 1369.3  7293.2   2.51    20.4    1.34      3833    2.9   4.7766e-01    2.9       25
 1378.2  7340.9   2.52    19.2    1.34      3087    3.7   3.8474e-01    3.7       25
 1714.1  9130.1   2.87     3.7    0.79       125   23.5   1.5632e-02   23.5       25
 1732.4  9227.4   2.90     3.8    1.01       158   22.8   1.9716e-02   22.8       46
 1758.5  9366.2   2.93     4.6    0.91       224   16.7   2.7924e-02   16.7       30
 1920.3 10227.9   3.12     7.1    0.84       434   10.3   5.4089e-02   10.3       29
 2243.6 11950.2   3.50     3.4    1.02       273   15.3   3.4045e-02   15.3       42
 2755.0 14674.0   4.04    16.0    0.66      1896    4.4   2.3633e-01    4.4        2
