
                       be used for evaluation purposes
                                                            29-Mar-2019 15:37
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AW022819_FP03_5cm_room131.Chn    
 Sample Title :                                                  

 Spectrum saved on 28-Feb-2019 at 19:33    Collected on 28-Feb-2019 at 18:20
 Sample  Taken  on 28-Feb-2019 at 18:20    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  28-Feb-2019 18:20
   Live:      4312.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   63.3   336.6   0.94     3.4    0.64       131   52.4   3.0306e-02   52.4      398
   72.9   388.0   0.95     6.0    0.72       442   17.0   1.0257e-01   17.0      487
   75.0   399.2   0.95     9.0    0.72       795   10.8   1.8444e-01   10.8      487
   84.9   451.8   0.96     3.8    0.80       362   21.4   8.3999e-02   21.4      499
   87.5   465.6   0.96     3.6    0.80       118   54.7   2.7344e-02   54.7      449
   93.3   496.4   0.97     3.4    1.01       165   46.0   3.8184e-02   46.0      458
  122.2   650.7   1.00    17.9    1.02      2569    4.3   5.9583e-01    4.3      428
  127.4   678.2   1.01    14.4    1.02      1791    5.6   4.1532e-01    5.6      428
  136.8   728.1   1.02     4.4    1.00       310   23.6   7.1789e-02   23.6      432
  171.5   913.3   1.06     7.9    1.07       753   11.4   1.7467e-01   11.4      488
  184.9   984.3   1.08     6.5    1.32       445   33.1   1.0311e-01   33.1      670
  190.5  1014.5   1.04    12.4    1.25      1792    5.9   4.1569e-01    5.9      501
  245.7  1308.3   1.15     7.0    1.05       584   13.5   1.3552e-01   13.5      449
  336.6  1792.8   1.26     4.9    0.94       263   27.4   6.0970e-02   27.4      449
  438.9  2337.5   1.38     3.9    0.77       145   34.8   3.3626e-02   34.8      208
  511.4  2723.7   3.03    10.8    1.24     14746    1.7   3.4198e+00    1.7      544
  558.9  2976.5   1.52     3.8    0.97       212   27.2   4.9134e-02   27.2      237
  725.6  3864.4   1.71     3.6    0.94       189   29.4   4.3886e-02   29.4      207
  811.3  4320.9   1.86    18.5    1.08      2910    3.6   6.7478e-01    3.6       88
  909.6  4844.9   1.95    38.2    1.45     12636    1.7   2.9304e+00    1.7       56
 1116.0  5944.1   2.17     3.4    0.69        71   54.1   1.6471e-02   54.1       95
 1369.3  7293.3   2.58    13.1    1.07      1629    4.9   3.7770e-01    4.9       11
 1378.2  7340.6   2.59    13.1    1.07      1563    5.0   3.6252e-01    5.0       12
 1714.0  9129.4   2.87     3.7    0.68        45   53.0   1.0474e-02   53.0       24
 1732.4  9227.5   2.90     3.6    0.85        61   41.6   1.4178e-02   41.6       22
 1758.3  9365.4   2.93     3.5    0.83        92   29.6   2.1338e-02   29.6       22
 1920.1 10227.2   3.12     4.3    0.76       231   15.5   5.3525e-02   15.5       16
 2243.6 11950.1   3.50     3.6    0.95       104   30.1   2.4178e-02   30.1       28
 2754.9 14673.8   4.10     9.6    0.78       861    6.9   1.9956e-01    6.9        0
