
                       be used for evaluation purposes
                                                            29-Mar-2019 15:38
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AX022819_FP04_5cm_room131.Chn    
 Sample Title :                                                  

 Spectrum saved on 28-Feb-2019 at 20:14    Collected on 28-Feb-2019 at 19:34
 Sample  Taken  on 28-Feb-2019 at 19:34    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  28-Feb-2019 19:34
   Live:      2335.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.9   387.9   0.95     4.0    1.33       210   25.2   8.9844e-02   25.2      221
   75.1   399.6   0.95     7.5    1.33       364   15.7   1.5580e-01   15.7      199
   84.7   450.8   0.96     3.6    0.33        98   50.5   4.2051e-02   50.5      259
   93.2   496.2   0.97     3.4    1.37       120   46.0   5.1184e-02   46.0      234
  122.2   650.7   1.01    11.1    0.85      1182    6.4   5.0612e-01    6.4      208
  127.4   678.3   0.96    10.3    0.85       833    7.9   3.5676e-01    7.9      203
  136.7   727.6   1.02     3.3    0.91       139   34.8   5.9365e-02   34.8      214
  171.6   913.5   1.06     7.8    1.23       386   16.0   1.6540e-01   16.0      217
  184.8   983.8   1.08     5.0    1.24       270   18.8   1.1560e-01   18.8      231
  190.5  1014.3   1.08     9.7    1.24       779    8.7   3.3353e-01    8.7      231
  245.7  1308.6   1.15     6.0    0.61       292   18.4   1.2500e-01   18.4      214
  336.7  1793.3   1.26     3.5    0.89       100   47.8   4.2930e-02   47.8      205
  511.4  2723.7   2.92     7.2    1.39      6448    2.7   2.7614e+00    2.7      280
  811.3  4320.9   1.87    11.5    1.11      1380    5.2   5.9099e-01    5.2       31
  909.7  4845.0   1.93    26.4    0.86      5519    2.4   2.3634e+00    2.4       23
 1369.2  7292.9   2.47     8.6    0.72       623    7.5   2.6690e-01    7.5        9
 1378.3  7341.3   2.48     8.7    0.72       666    7.3   2.8527e-01    7.3        9
 1758.6  9366.9   2.93     3.4    0.48        38   56.0   1.6158e-02   56.0        8
 1920.5 10228.9   3.12     3.6    0.57        68   34.3   2.9179e-02   34.3        6
 2755.1 14674.7   4.10     7.2    0.68       353   12.0   1.5109e-01   12.0       -2
