
                       be used for evaluation purposes
                                                            29-Mar-2019 15:40
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AZ022819_FP07_5cm_room131.Chn    
 Sample Title :                                                  

 Spectrum saved on 28-Feb-2019 at 21:26    Collected on 28-Feb-2019 at 20:51
 Sample  Taken  on 28-Feb-2019 at 20:51    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  28-Feb-2019 20:51
   Live:      2055.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.9   387.9   0.95     4.4    0.64       227   22.1   1.1051e-01   22.1      225
   75.1   399.6   0.95     5.9    0.64       421   13.1   2.0467e-01   13.1      203
   84.8   451.5   0.96     3.6    0.86       157   35.6   7.6369e-02   35.6      245
  122.2   650.6   1.01    12.3    0.99      1251    6.7   6.0869e-01    6.7      229
  127.4   678.1   1.01     9.0    0.87       800    8.6   3.8953e-01    8.6      226
  136.7   727.6   1.02     3.5    0.78       123   40.7   5.9884e-02   40.7      248
  171.5   913.1   1.06     4.2    1.09       350   16.6   1.7054e-01   16.6      214
  184.9   984.3   1.08     4.3    0.91       220   23.1   1.0718e-01   23.1      278
  190.5  1014.4   1.08     9.6    0.91       912    7.5   4.4402e-01    7.5      278
  245.8  1308.9   1.15     4.7    0.97       290   18.5   1.4113e-01   18.5      235
  336.6  1792.4   1.26     3.5    0.84       128   40.3   6.2180e-02   40.3      252
  511.4  2723.5   2.92     7.8    0.99      7282    2.4   3.5436e+00    2.4      311
  559.0  2977.3   1.52     3.4    0.79        84   45.6   4.1031e-02   45.6      117
  725.4  3863.5   1.71     3.5    1.19       114   33.1   5.5458e-02   33.1       90
  811.3  4320.9   1.81    18.2    1.05      2441    3.9   1.1877e+00    3.9       40
  909.6  4844.8   1.94    25.1    1.07      5788    2.4   2.8165e+00    2.4       26
 1369.2  7292.9   2.47     8.4    1.06       725    7.6   3.5266e-01    7.6       10
 1378.3  7341.3   2.48     8.2    1.06       644    7.7   3.1320e-01    7.7       10
 1920.5 10228.9   3.12     3.6    0.79        68   36.2   3.2954e-02   36.2       12
 2243.9 11951.5   3.50     3.4    0.72        45   55.6   2.1850e-02   55.6       18
 2755.2 14675.2   4.10     8.9    1.09       372   12.3   1.8089e-01   12.3       -0
