
                       be used for evaluation purposes
                                                            29-Mar-2019 15:41
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: BA022819_FP08_5cm_room131.Chn    
 Sample Title :                                                  

 Spectrum saved on 28-Feb-2019 at 21:59    Collected on 28-Feb-2019 at 21:27
 Sample  Taken  on 28-Feb-2019 at 21:27    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  28-Feb-2019 21:27
   Live:      1867.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.9   387.7   0.95     5.5    0.41       329   18.2   1.7637e-01   18.2      318
   75.0   399.4   0.95     6.2    0.41       513   12.6   2.7491e-01   12.6      287
   84.9   452.0   0.96     3.4    1.12       177   34.6   9.4912e-02   34.6      335
   93.2   496.4   0.97     3.7    1.40       140   44.2   7.5132e-02   44.2      331
  122.2   650.7   0.98    15.1    0.72      1754    5.4   9.3926e-01    5.4      336
  127.4   678.1   0.98    11.7    0.90      1164    6.9   6.2371e-01    6.9      300
  136.6   727.3   1.02     4.2    0.72       203   27.7   1.0896e-01   27.7      280
  171.6   913.9   1.06     4.2    1.06       377   18.0   2.0170e-01   18.0      327
  184.8   984.1   1.06     4.5    0.97       293   20.4   1.5716e-01   20.4      318
  190.5  1014.3   1.07    11.4    0.97      1162    6.7   6.2233e-01    6.7      349
  245.6  1308.0   1.15     5.5    0.82       329   18.7   1.7634e-01   18.7      328
  336.5  1792.0   1.26     3.4    0.51       100   55.7   5.3389e-02   55.7      306
  439.2  2339.2   1.38     3.7    1.13       102   41.8   5.4732e-02   41.8      153
  511.4  2723.7   3.04    10.5    1.69      9936    2.2   5.3217e+00    2.2      433
  558.8  2976.3   1.52     3.8    0.76       116   39.3   6.1967e-02   39.3      170
  725.2  3862.6   1.71     3.3    1.20       112   40.1   6.0030e-02   40.1      140
  811.2  4320.8   1.81    20.9    1.04      3599    3.1   1.9277e+00    3.1       36
  909.7  4844.9   1.93    29.6    0.76      7632    2.1   4.0877e+00    2.1       22
 1116.1  5944.5   2.17     3.4    0.94        61   50.6   3.2779e-02   50.6       56
 1369.3  7293.2   2.48    10.9    0.71      1004    5.7   5.3757e-01    5.7       12
 1378.2  7340.8   2.49    11.2    0.71       944    6.3   5.0549e-01    6.3       12
 1758.5  9366.3   2.93     3.3    0.82        47   49.2   2.5182e-02   49.2       13
 1920.6 10229.8   3.12     3.9    0.93       114   26.3   6.0819e-02   26.3       11
 2244.4 11954.2   3.50     3.3    0.78        70   38.7   3.7459e-02   38.7       13
 2755.2 14675.0   4.10     8.1    0.78       536    9.7   2.8698e-01    9.7        6
