
                       be used for evaluation purposes
                                                            29-Mar-2019 15:11
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AA022619_FP01_10cm_131.Chn       
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at  7:37    Collected on 26-Feb-2019 at  7:07
 Sample  Taken  on 26-Feb-2019 at  7:07    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  26-Feb-2019  7:07
   Live:       620.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.8   387.6   0.98    11.9    0.84      1766    8.0   2.8486e+00    8.0     1376
   75.0   399.1   0.99    16.5    0.84      3285    4.7   5.2979e+00    4.7     1376
   84.8   451.5   0.96     6.4    1.01      1175   10.6   1.8953e+00   10.6     1190
   87.5   466.0   0.96     3.4    1.01       343   30.6   5.5265e-01   30.6     1322
  127.3   677.7   1.01     3.5    0.90       209   56.4   3.3682e-01   56.4     1395
  138.5   737.2   1.06    11.4    1.07      1963    7.9   3.1664e+00    7.9     1364
  156.6   833.9   1.04     3.4    0.91       372   33.3   6.0064e-01   33.3     1480
  202.7  1079.5   1.10     9.8    0.63      1392    9.7   2.2459e+00    9.7     1662
  336.5  1792.2   1.29    36.8    0.71     12624    1.9   2.0361e+01    1.9     1261
  355.6  1893.9   1.28     3.7    0.65       202   44.6   3.2566e-01   44.6      797
  388.7  2070.0   1.32     3.5    0.86       196   40.0   3.1641e-01   40.0      608
  392.0  2087.4   1.32    18.1    0.86      2783    4.3   4.4888e+00    4.3      608
  417.2  2221.8   1.40    29.5    1.18      7959    2.3   1.2837e+01    2.3      444
  439.0  2337.9   1.38     3.5    0.92       189   36.8   3.0546e-01   36.8      451
  463.5  2468.5   1.41     3.3    0.89       190   36.2   3.0572e-01   36.2      395
  479.9  2555.8   1.42     7.6    1.27       755   11.3   1.2170e+00   11.3      378
  511.3  2723.0   2.87    21.7    3.84     48950    1.0   7.8952e+01    1.0     1513
  555.9  2960.8   1.51     6.5    0.83       386   18.5   6.2235e-01   18.5      361
  618.0  3291.3   1.59     4.5    1.11       293   23.9   4.7317e-01   23.9      325
  670.0  3568.7   1.65     9.4    1.07      1146    8.0   1.8484e+00    8.0      360
  819.0  4362.1   1.76    16.5    1.01      2023    5.3   3.2632e+00    5.3      385
  909.5  4844.1   1.99    12.0    1.25      1573    6.5   2.5366e+00    6.5      358
  962.4  5126.0   1.99     9.1    1.21       660   12.9   1.0648e+00   12.9      356
 1097.7  5846.4   2.15    29.5    1.21      7863    2.5   1.2682e+01    2.5      324
 1294.0  6892.1   2.42    33.1    1.15     10346    1.9   1.6687e+01    1.9       80
 1369.0  7291.8   2.52    14.7    0.97      1910    4.6   3.0801e+00    4.6       67
 1378.0  7339.3   2.53     6.6    0.97       284   15.8   4.5780e-01   15.8       67
 1412.2  7521.7   2.52     3.3    0.91        68   50.4   1.1043e-01   50.4       69
 1508.0  8032.1   2.62    10.8    0.99      1037    6.6   1.6723e+00    6.6       49
 1601.7  8531.0   2.74     3.4    0.99        83   37.4   1.3351e-01   37.4       50
 1731.8  9224.0   2.89     3.3    1.07        87   40.6   1.3985e-01   40.6       57
 1752.9  9336.5   2.92     5.8    1.17       209   20.8   3.3710e-01   20.8       50
 2112.7 11252.9   3.35    13.5    0.86      1176    6.0   1.8969e+00    6.0       22
 2242.7 11945.3   3.49     3.6    0.81       142   23.5   2.2968e-01   23.5       29
 2754.4 14670.9   3.90    11.3    0.89       948    6.6   1.5284e+00    6.6        5
