
                       be used for evaluation purposes
                                                            29-Mar-2019 15:13
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AB022619_FP02_5cm_131.Chn        
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at  7:27    Collected on 26-Feb-2019 at  7:21
 Sample  Taken  on 26-Feb-2019 at  7:21    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  26-Feb-2019  7:21
   Live:       297.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   67.5   359.0   0.99    11.0    1.06      1626    8.2   5.4750e+00    8.2      950
   72.8   387.6   0.88     8.1    1.06       687   24.6   2.3144e+00   24.6     1019
   75.0   399.0   0.88    11.3    1.06      1254   13.9   4.2226e+00   13.9     1019
   84.8   451.5   0.96     5.0    1.28       527   21.7   1.7734e+00   21.7      900
  122.1   649.9   1.00     3.3    0.85       184   45.5   6.1884e-01   45.5      991
  127.3   677.7   1.01     5.4    0.85       455   19.9   1.5305e+00   19.9      991
  138.4   737.1   1.03    14.5    1.07      2372    5.6   7.9881e+00    5.6      970
  156.8   834.7   1.05     3.8    0.93       312   35.0   1.0510e+00   35.0     1214
  202.7  1079.5   1.10     8.7    0.95      1336    9.1   4.4998e+00    9.1     1103
  336.5  1792.1   1.31    41.6    0.80     15907    1.6   5.3559e+01    1.6      852
  355.6  1893.7   1.28     4.2    0.67       280   28.3   9.4402e-01   28.3      584
  388.9  2070.9   1.36     3.6    0.78       221   32.3   7.4315e-01   32.3      502
  392.0  2087.5   1.36    17.6    0.78      3246    3.8   1.0928e+01    3.8      467
  417.2  2221.7   1.40    30.2    1.05      8910    2.1   2.9999e+01    2.1      422
  438.9  2337.4   1.38     3.7    0.73       184   34.2   6.1832e-01   34.2      331
  463.6  2469.0   1.41     3.3    1.04       223   29.4   7.5148e-01   29.4      348
  479.8  2555.4   1.42     7.0    1.16       650   11.7   2.1888e+00   11.7      345
  511.3  2722.9   2.93    15.1    3.11     25084    1.4   8.4457e+01    1.4     1120
  555.8  2960.3   1.51     4.9    1.21       315   21.0   1.0602e+00   21.0      298
  617.9  3291.1   1.59     3.5    0.73       216   30.7   7.2708e-01   30.7      341
  670.1  3568.7   1.65     9.4    0.93       893    9.2   3.0083e+00    9.2      323
  819.0  4362.1   1.89    15.7    1.23      2222    5.0   7.4814e+00    5.0      361
  909.5  4843.9   1.98    11.4    0.98      1571    6.5   5.2903e+00    6.5      357
  962.5  5126.2   1.99     6.4    0.77       476   15.9   1.6021e+00   15.9      326
 1097.7  5846.3   2.17    30.8    1.32      8713    2.3   2.9338e+01    2.3      299
 1294.0  6891.9   2.45    34.9    1.16     11096    1.9   3.7362e+01    1.9       71
 1369.0  7291.7   2.48    14.4    1.04      1885    4.5   6.3470e+00    4.5       52
 1378.0  7339.7   2.49     5.6    1.04       369   12.2   1.2409e+00   12.2       52
 1412.6  7523.9   2.52     3.4    1.01        66   43.7   2.2162e-01   43.7       45
 1508.0  8032.2   2.80    12.0    0.78      1195    5.7   4.0227e+00    5.7       48
 1601.8  8531.6   2.74     3.5    0.99        57   47.8   1.9188e-01   47.8       41
 1732.0  9224.9   2.89     3.6    1.05        73   45.3   2.4515e-01   45.3       56
 1752.9  9336.4   2.92     4.6    0.83       224   19.4   7.5311e-01   19.4       58
 2112.7 11253.1   3.38    12.1    0.88      1371    5.3   4.6176e+00    5.3       20
 2243.3 11948.4   3.49     3.8    0.84       141   23.5   4.7527e-01   23.5       30
 2391.1 12735.6   3.67     3.4    0.83        64   44.7   2.1621e-01   44.7       32
 2754.5 14671.4   4.12    10.1    0.82       942    6.5   3.1720e+00    6.5        0
