
                       be used for evaluation purposes
                                                            29-Mar-2019 15:17
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AE022619_FP05_5cm_131.Chn        
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at  7:50    Collected on 26-Feb-2019 at  7:44
 Sample  Taken  on 26-Feb-2019 at  7:44    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  26-Feb-2019  7:44
   Live:       332.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   67.4   358.8   0.92    11.3    0.78      1465    8.9   4.4124e+00    8.9      901
   72.8   387.7   1.01     6.9    0.77       948   11.7   2.8542e+00   11.7      956
   75.0   399.0   1.01    10.5    0.77      1496    8.0   4.5062e+00    8.0      956
   84.8   451.5   0.96     5.7    1.23       624   16.3   1.8792e+00   16.3      857
   87.2   464.4   0.96     3.8    1.23       189   50.8   5.6882e-01   50.8      857
  122.2   650.6   1.00     3.3    0.64       169   49.0   5.0765e-01   49.0     1007
  127.3   677.9   1.01     5.8    0.64       437   20.9   1.3177e+00   20.9     1007
  138.4   737.0   1.05    15.8    1.28      2683    5.4   8.0812e+00    5.4      997
  202.7  1079.4   1.15    10.3    1.00      1391    8.6   4.1902e+00    8.6     1074
  336.5  1792.1   1.31    47.9    0.65     22569    1.3   6.7979e+01    1.3      783
  355.8  1894.6   1.28     4.2    0.67       336   22.3   1.0111e+00   22.3      527
  388.9  2071.1   1.34     3.8    0.97       186   38.7   5.6115e-01   38.7      435
  392.0  2087.4   1.34    19.8    0.97      3656    3.5   1.1013e+01    3.5      435
  417.2  2221.7   1.39    32.4    0.99     10133    2.0   3.0522e+01    2.0      375
  438.9  2337.6   1.38     3.4    0.68       170   36.3   5.1118e-01   36.3      340
  463.7  2469.7   1.41     4.0    1.16       221   29.5   6.6508e-01   29.5      351
  479.8  2555.2   1.42     6.1    1.35       618   12.0   1.8620e+00   12.0      325
  511.3  2723.0   2.96    12.1    1.88     19034    1.7   5.7331e+01    1.7     1028
  555.9  2960.6   1.51     5.7    0.84       323   20.2   9.7344e-01   20.2      309
  617.8  3290.3   1.59     3.4    1.30       190   34.8   5.7203e-01   34.8      311
  670.0  3568.5   1.65     7.3    0.91       589   13.1   1.7737e+00   13.1      316
  810.8  4318.4   1.88     3.4    0.99       144   43.7   4.3369e-01   43.7      395
  819.0  4362.2   1.89    14.9    0.99      2506    4.6   7.5470e+00    4.6      395
  909.4  4843.8   2.03    12.5    0.73      1675    6.1   5.0456e+00    6.1      395
  962.5  5126.7   1.99     4.3    1.01       311   21.5   9.3732e-01   21.5      362
  972.9  5181.8   2.00     3.3    1.01       133   44.5   4.0001e-01   44.5      362
 1097.7  5846.3   2.21    33.1    1.18      9835    2.0   2.9623e+01    2.0      307
 1294.0  6892.0   2.45    36.7    1.23     12289    1.8   3.7014e+01    1.8       82
 1369.0  7291.8   2.62    13.5    1.12      1648    4.9   4.9646e+00    4.9       60
 1377.7  7338.2   2.63     6.5    1.12       372   12.8   1.1212e+00   12.8       60
 1508.0  8032.1   2.75    11.1    0.97      1295    5.5   3.9014e+00    5.5       50
 1601.4  8529.7   2.74     3.3    0.99        98   33.1   2.9653e-01   33.1       42
 1752.9  9336.2   2.92     5.4    1.18       249   17.7   7.4922e-01   17.7       61
 2112.7 11253.0   3.38    12.7    1.15      1428    5.6   4.3023e+00    5.6       28
 2243.4 11949.1   3.49     3.6    0.92       129   24.6   3.8881e-01   24.6       24
 2390.8 12734.4   3.67     3.8    0.68        86   33.8   2.5780e-01   33.8       25
 2754.5 14671.7   4.10     9.4    0.60       868    6.6   2.6145e+00    6.6        4
