
                       be used for evaluation purposes
                                                            29-Mar-2019 15:20
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AG022619_FP07_5cm_131.Chn        
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at  8:05    Collected on 26-Feb-2019 at  7:59
 Sample  Taken  on 26-Feb-2019 at  7:59    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  26-Feb-2019  7:59
   Live:       325.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   72.8   387.6   1.02     6.3    0.77       931   13.3   2.8658e+00   13.3     1332
   75.0   399.0   1.02    11.6    0.77      1713    7.6   5.2708e+00    7.6     1211
   84.8   451.1   0.96     4.3    1.46       635   19.5   1.9549e+00   19.5     1227
  138.4   736.9   1.04    15.9    1.07      2837    5.4   8.7283e+00    5.4     1251
  202.7  1079.4   1.10     8.0    0.99      1457    9.2   4.4828e+00    9.2     1355
  336.5  1792.0   1.32    58.7    1.11     33044    1.1   1.0167e+02    1.1      943
  355.6  1894.0   1.28     4.2    0.65       319   24.9   9.8028e-01   24.9      577
  388.8  2070.6   1.37     5.8    1.34       255   31.8   7.8317e-01   31.8      478
  391.9  2087.3   1.37    17.6    1.34      3539    3.7   1.0890e+01    3.7      478
  417.2  2221.7   1.39    30.1    0.97     11088    1.8   3.4116e+01    1.8      440
  438.9  2337.4   1.38     4.4    0.86       245   28.5   7.5423e-01   28.5      391
  463.5  2468.3   1.40     4.8    0.71       240   28.3   7.3812e-01   28.3      395
  479.8  2555.1   1.42     7.1    0.96       642   12.5   1.9761e+00   12.5      415
  511.3  2723.0   2.93    14.8    2.65     23368    1.5   7.1902e+01    1.5     1111
  555.8  2960.4   1.51     4.5    0.56       274   25.6   8.4169e-01   25.6      390
  617.6  3289.4   1.59     3.4    1.13       141   47.7   4.3322e-01   47.7      385
  670.1  3569.1   1.65     5.5    0.85       518   14.8   1.5953e+00   14.8      401
  811.2  4320.3   1.86     3.3    0.92       168   42.3   5.1633e-01   42.3      506
  819.0  4362.0   1.86    17.0    0.92      2934    4.4   9.0278e+00    4.4      506
  909.5  4844.1   1.93    12.2    1.01      1519    7.1   4.6751e+00    7.1      460
  962.3  5125.1   1.99     3.9    0.65       288   25.9   8.8610e-01   25.9      417
 1097.7  5846.3   2.19    35.0    1.20     11206    1.9   3.4481e+01    1.9      374
 1294.0  6892.0   2.42    40.1    1.88     14197    1.8   4.3684e+01    1.8       90
 1369.1  7292.0   2.60    15.1    1.09      2217    4.2   6.8211e+00    4.2       77
 1377.7  7338.2   2.61     6.8    1.09       301   15.6   9.2464e-01   15.6       77
 1508.0  8032.1   2.78    10.9    1.04      1431    5.5   4.4032e+00    5.5       68
 1601.8  8531.5   2.74     3.6    0.76        89   41.4   2.7355e-01   41.4       81
 1731.7  9223.6   2.89     3.3    0.99        77   45.7   2.3689e-01   45.7       61
 1752.9  9336.5   2.92     5.5    0.95       333   14.3   1.0238e+00   14.3       66
 2112.7 11252.9   3.40    12.5    0.89      1779    4.7   5.4735e+00    4.7       18
 2243.3 11948.5   3.49     3.4    1.19       124   28.6   3.8080e-01   28.6       41
 2390.8 12734.3   3.67     3.3    0.93        77   38.4   2.3545e-01   38.4       32
 2754.5 14671.3   4.03    12.2    0.67      1145    5.9   3.5221e+00    5.9        6
