
                       be used for evaluation purposes
                                                            29-Mar-2019 15:21
                       _________________________________

                       P E A K     F I T     R E P O R T
                       _________________________________

 Spectrum file Analysed: AH022619_FP08_5cm_131.Chn        
 Sample Title : Sr60-3_p40                                       

 Spectrum saved on 26-Feb-2019 at  8:12    Collected on 26-Feb-2019 at  8:07
 Sample  Taken  on 26-Feb-2019 at  8:07    Decayed      0 Days,     0 mins.

            Detector file number used:     3
            Energy     Calibration Performed on 27-Mar-2019 at 16:26
            Peak Shape Calibration Performed on 27-Mar-2019 at 16:29


   Datetime:  26-Feb-2019  8:07
   Live:       275.00 

   Reported Activity values were rounded     
   FitzPeaks Version: 3.71 23rd January 2014           

 Peak   Centre   FW@HM         Goodness   Peak      %      Gammas       %      2 Sigma
Energy  Channel  (KeV)  Signif  of Fit    Area   Uncert.  per sec.   Uncert. Background

   67.4   358.7   0.89    12.7    1.45      1570    9.0   5.7104e+00    9.0     1225
   72.8   387.4   0.95     7.5    0.87      1022   12.1   3.7174e+00   12.1     1238
   75.0   399.0   0.96    12.5    0.87      1912    7.0   6.9535e+00    7.0     1375
   84.8   451.2   0.96     4.3    1.08       638   19.5   2.3200e+00   19.5     1400
  122.2   650.7   1.00     3.4    0.47       184   51.7   6.6956e-01   51.7     1394
  127.2   677.3   1.01     5.3    0.47       508   20.0   1.8487e+00   20.0     1394
  138.4   737.0   1.07    16.6    0.80      3166    5.2   1.1514e+01    5.2     1421
  190.6  1015.0   1.08     3.5    1.24       237   56.1   8.6287e-01   56.1     1608
  202.7  1079.2   1.08    11.3    1.00      1555    8.4   5.6545e+00    8.4     1468
  336.5  1792.1   1.32    70.5    2.10     46259    0.9   1.6821e+02    0.9      896
  355.9  1895.1   1.28     4.5    0.87       359   22.8   1.3065e+00   22.8      555
  388.8  2070.6   1.34     3.6    1.02       259   32.0   9.4268e-01   32.0      492
  392.0  2087.4   1.35    22.5    1.02      4470    3.3   1.6255e+01    3.3      492
  417.1  2221.6   1.41    34.6    1.09     12033    1.8   4.3756e+01    1.8      464
  439.0  2338.0   1.38     3.6    0.65       206   32.6   7.5002e-01   32.6      412
  463.5  2468.4   1.41     5.0    0.91       305   23.6   1.1099e+00   23.6      370
  479.7  2554.9   1.42     7.6    0.90       700   11.2   2.5447e+00   11.2      399
  511.3  2722.9   3.04    12.2    2.26     17511    1.7   6.3676e+01    1.7     1062
  555.7  2959.7   1.51     3.8    0.71       290   24.3   1.0557e+00   24.3      408
  617.7  3289.8   1.59     3.4    1.20       168   41.5   6.1003e-01   41.5      373
  670.1  3568.9   1.65     3.7    0.95       414   18.5   1.5051e+00   18.5      404
  811.1  4320.1   1.84     3.7    1.15       365   20.4   1.3260e+00   20.4      495
  819.0  4362.3   1.84    17.0    1.15      2985    4.3   1.0856e+01    4.3      495
  909.4  4843.8   2.06    11.6    1.29      1873    6.1   6.8127e+00    6.1      473
  962.4  5125.8   1.99     3.3    0.91       209   37.4   7.6073e-01   37.4      470
 1097.6  5846.2   2.21    35.9    1.34     12061    1.9   4.3859e+01    1.9      396
 1236.4  6585.3   2.31     4.8    1.03        88   53.5   3.2025e-01   53.5      138
 1293.9  6891.9   2.46    39.9    1.22     15050    1.6   5.4727e+01    1.6      137
 1369.0  7291.9   2.58    16.4    1.05      2722    4.0   9.8969e+00    4.0       70
 1377.9  7339.3   2.59     6.5    1.05       488   11.0   1.7734e+00   11.0       70
 1508.0  8032.1   2.67    13.5    1.14      1635    5.2   5.9449e+00    5.2       64
 1601.6  8530.4   2.74     3.4    1.04        98   38.0   3.5716e-01   38.0       69
 1732.3  9226.8   2.89     3.9    0.83       127   28.8   4.6233e-01   28.8       59
 1752.8  9336.1   2.92     6.2    1.14       332   15.6   1.2065e+00   15.6       83
 2112.7 11252.8   3.44    14.2    1.17      1832    4.8   6.6627e+00    4.8       31
 2243.5 11949.6   3.49     4.6    1.06       209   19.0   7.5839e-01   19.0       38
 2390.5 12732.9   3.67     3.5    1.00        76   40.9   2.7610e-01   40.9       35
 2754.4 14670.9   4.10    13.5    0.91      1316    5.7   4.7854e+00    5.7        4
